ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_rank,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
196,0,187,0,SILVER_IV,40,15,14339,358,0,347,0,SILVER_III,45,14,11462,275,0,274,0,BRONZE_IV,45,14,11673,129,0,123,0,SILVER_II,46,15,13551,64,0,71,0,SILVER_IV,17,14,11849,612,0,592,0,SILVER_III,0,14,12740,209,0,213,0,BRONZE_I,20,13,11004,109,0,77,0,SILVER_IV,11,13,10718,67,0,71,0,BRONZE,I,49,13,11341,57,0,88,0,BRONZE_I,55,11,8550
219,0,211,0,SILVER_IV,53,15,13805,110,0,134,0,BRONZE_I,97,12,9404,336,0,336,0,SILVER_IV,74,13,11424,275,0,285,0,SILVER_IV,39,13,10447,229,0,218,0,SILVER_IV,82,12,9279,160,0,148,0,SILVER_IV,57,13,10912,37,0,45,0,BRONZE_II,78,13,10679,99,0,107,0,SILVER_IV,0,13,10956,67,0,71,0,BRONZE,I,49,11,8464,71,0,102,0,SILVER_IV,13,12,9526
33,0,32,0,BRONZE_I,59,18,19014,71,0,83,0,SILVER_IV,0,16,15427,490,0,451,0,SILVER_IV,75,15,14094,92,0,91,0,SILVER_IV,64,17,16520,146,0,147,0,SILVER_III,27,15,14523,26,0,31,0,SILVER_IV,51,18,21906,68,0,57,0,SILVER_IV,75,18,19489,185,0,195,0,SILVER_III,59,17,18183,67,0,71,0,BRONZE,I,49,16,15145,313,0,321,0,SILVER_III,30,17,18075
25,0,40,0,BRONZE_III,75,17,17665,99,0,90,0,SILVER_III,75,18,24801,6,0,6,0,BRONZE_IV,54,17,16987,17,0,19,0,SILVER_IV,38,18,18933,8,0,9,0,BRONZE_I,39,17,17470,8,0,10,0,BRONZE_III,83,17,16921,38,0,44,0,BRONZE_II,57,17,17202,29,0,32,0,SILVER_IV,68,18,18990,67,0,71,0,BRONZE,I,49,14,12646,17,0,24,0,BRONZE_I,36,17,16587
9,0,16,0,BRONZE_II,86,13,10158,22,0,15,0,BRONZE_I,52,12,8737,9,0,3,0,BRONZE_III,76,14,11985,18,0,12,0,SILVER_IV,29,11,8502,48,0,50,0,SILVER_IV,13,13,10226,8,0,10,0,BRONZE_III,83,12,8688,9,0,5,0,SILVER_I,23,14,12754,11,0,19,0,BRONZE_I,0,4,1548,67,0,71,0,BRONZE,I,49,10,6192,40,0,27,0,BRONZE_I,0,13,10088
158,0,176,0,SILVER_IV,30,16,15479,272,0,242,0,SILVER_II,73,16,15553,112,0,97,0,SILVER_IV,0,15,13163,64,0,59,0,BRONZE,I,97,13,10982,456,0,409,0,SILVER_I,4,14,12662,163,0,169,0,SILVER_IV,40,15,14556,296,0,281,0,SILVER_IV,96,13,10245,227,0,254,0,BRONZE_II,38,15,14280,64,0,60,0,SILVER_IV,44,14,11986,102,0,115,0,SILVER_IV,16,13,10218
8,0,2,0,SILVER_III,36,18,19076,35,0,27,0,GOLD_III,75,16,16396,35,0,26,0,SILVER_III,59,15,14102,24,0,28,0,SILVER_I,25,16,16326,259,0,227,0,GOLD_IV,12,14,12518,27,0,27,0,GOLD_IV,67,16,15909,24,0,36,0,SILVER_III,33,14,12862,8,0,5,0,SILVER_IV,79,15,14337,4,0,7,0,BRONZE,I,89,15,14405,7,0,14,0,SILVER_II,75,14,11771
30,0,28,0,GOLD_IV,58,15,14093,104,0,110,0,SILVER_III,58,14,12759,22,0,15,0,GOLD_IV,73,15,14186,72,0,75,0,GOLD_IV,50,14,11460,192,0,197,0,GOLD_IV,0,12,8663,33,0,68,0,GOLD_IV,7,11,8290,180,0,184,0,GOLD_IV,74,13,10562,1506,0,1490,0,GOLD_III,16,12,9285,4,0,7,0,BRONZE,I,89,13,10152,7,0,14,0,SILVER_II,75,12,8966
5,0,5,0,BRONZE_II,26,16,16344,9,0,9,0,BRONZE_I,26,17,18018,8,0,7,0,BRONZE_I,69,13,10943,68,0,64,0,GOLD_IV,30,16,16392,68,0,64,0,GOLD_IV,30,15,13512,13,0,21,0,BRONZE_I,6,15,13062,13,0,21,0,BRONZE_I,6,14,12737,8,0,8,0,BRONZE_I,84,18,18867,4,0,7,0,BRONZE,I,89,14,12340,4,0,7,0,BRONZE_I,89,13,10826
8,0,7,0,BRONZE_I,5,13,11156,5,0,7,0,BRONZE_II,14,13,10333,10,0,15,0,BRONZE_II,64,14,12995,11,0,10,0,BRONZE_I,52,13,11015,11,0,10,0,BRONZE_I,52,12,8643,18,0,30,0,BRONZE_II,45,15,14227,13,0,20,0,BRONZE_I,51,16,14848,7,0,8,0,BRONZE_III,73,13,11133,4,0,7,0,BRONZE,I,89,15,13859,4,0,7,0,BRONZE_I,89,14,11759
