rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_rank,main_player_league_points,main_player_champion_level,main_player_champion_experience
20,0,35,0,BRONZE_III,75,14,11484,43,0,60,0,BRONZE_III,42,15,13978,207,0,214,0,BRONZE_II,0,14,12329,96,0,92,0,BRONZE_II,28,14,12160,9,0,25,0,IRON,I,33,15,14169,61,0,76,0,BRONZE_III,92,17,17710,405,0,407,0,BRONZE_II,33,16,16043,78,0,83,0,SILVER_III,90,18,19091,58,0,61,0,BRONZE_I,100,15,13591,786,0,746,0,SILVER_III,33,14,11968
20,0,35,0,BRONZE_III,75,17,16613,263,0,249,0,SILVER_IV,0,18,19021,132,0,148,0,BRONZE_II,31,17,17413,139,0,147,0,BRONZE_III,81,16,15477,9,0,25,0,IRON,I,33,18,20271,200,0,186,0,SILVER_III,72,18,24154,93,0,102,0,BRONZE_I,6,18,19205,206,0,209,0,BRONZE_II,39,17,17218,68,0,65,0,SILVER_IV,0,16,15989,45,0,55,0,BRONZE_II,52,16,16018
58,0,79,0,BRONZE_IV,89,17,18014,523,0,517,0,IRON_II,6,16,15553,55,0,87,0,IRON_II,17,15,13639,133,0,167,0,BRONZE_III,10,14,12597,722,0,700,0,BRONZE_IV,45,15,13395,187,0,207,0,IRON_IV,0,16,14805,25,0,68,0,IRON_II,60,17,17187,21,0,37,0,BRONZE_IV,51,14,12730,11,0,30,0,BRONZE_IV,0,14,11671,27,0,41,0,IRON,I,18,14,12558
30,0,44,0,BRONZE_IV,14,13,10568,16,0,13,0,IRON_I,75,13,10892,33,0,39,0,BRONZE_IV,0,14,11583,85,0,86,0,BRONZE_IV,1,13,10644,73,0,100,0,IRON_I,63,13,10018,269,0,282,0,BRONZE_IV,0,14,11920,44,0,59,0,IRON_II,89,12,8993,285,0,299,0,BRONZE_IV,26,11,8224,102,0,133,0,IRON_IV,49,11,7969,27,0,41,0,IRON,I,18,12,9245
24,0,20,0,IRON_II,42,12,9495,104,0,107,0,IRON_III,76,11,7754,203,0,203,0,IRON_III,39,12,8699,66,0,77,0,BRONZE_III,0,13,10492,209,0,222,0,BRONZE_IV,0,12,9125,44,0,48,0,IRON_II,37,10,6816,28,0,46,0,IRON_IV,29,11,8327,12,0,25,0,BRONZE_IV,31,9,6087,130,0,128,0,IRON_I,43,10,6819,27,0,41,0,IRON,I,18,11,8243
246,0,265,0,IRON_I,23,11,7304,215,0,245,0,BRONZE_IV,25,9,5121,188,0,143,0,BRONZE_II,5,10,7117,444,0,442,0,SILVER_IV,0,8,4284,31,0,69,0,IRON_IV,0,7,3348,0,0,40,0,IRON_IV,0,8,4959,1,0,44,0,IRON_IV,0,5,2266,133,0,156,0,IRON_I,75,9,5824,127,0,147,0,BRONZE_IV,41,8,4518,27,0,41,0,IRON,I,18,10,6274
201,0,164,0,BRONZE_II,61,15,13483,251,0,282,0,IRON_I,41,15,13507,366,0,386,0,BRONZE_IV,0,14,12608,126,0,133,0,BRONZE_IV,25,12,9814,198,0,199,0,IRON_II,41,13,10586,75,0,94,0,IRON_I,13,15,13310,174,0,276,0,IRON_IV,27,14,11998,93,0,123,0,BRONZE_IV,0,16,15235,198,0,203,0,BRONZE_III,40,15,13661,27,0,41,0,IRON,I,18,13,11342
74,0,96,0,BRONZE_IV,16,18,23287,73,0,75,0,BRONZE_IV,14,18,18527,193,0,198,0,IRON_III,91,17,17328,12,0,22,0,IRON,I,58,12,9717,8,0,12,0,IRON_II,87,12,9675,130,0,185,0,IRON_II,46,15,14473,257,0,283,0,BRONZE_IV,1,7,4055,78,0,65,0,BRONZE_II,43,17,17275,387,0,405,0,BRONZE_IV,64,17,17633,456,0,456,0,BRONZE_IV,0,15,14586
52,0,65,0,IRON_II,5,17,17154,101,0,77,0,BRONZE_IV,40,18,22010,99,0,105,0,BRONZE_III,43,17,17038,12,0,22,0,IRON,I,58,18,19002,143,0,150,0,BRONZE_IV,41,16,15891,221,0,210,0,BRONZE_IV,71,18,22641,174,0,180,0,BRONZE_IV,53,16,15490,62,0,98,0,IRON_II,7,18,20511,184,0,165,0,BRONZE_III,59,18,18867,17,0,35,0,IRON_I,26,16,16105
14,0,22,0,BRONZE_III,26,15,13486,85,0,94,0,BRONZE_I,66,14,12340,35,0,42,0,BRONZE_II,75,15,14117,446,0,446,0,IRON_II,52,14,11598,6,0,8,0,BRONZE_IV,1,13,10973,10,0,16,0,BRONZE_IV,48,14,12057,5,0,6,0,BRONZE_IV,0,13,10378,11,0,17,0,IRON,I,100,12,8834,7,0,8,0,IRON_I,90,14,11870,9,0,20,0,BRONZE_IV,40,12,9334
6,0,14,0,BRONZE_III,41,13,10567,75,0,80,0,BRONZE_II,9,12,8860,50,0,51,0,BRONZE_II,29,13,10255,170,0,175,0,BRONZE_III,85,11,8069,146,0,161,0,BRONZE_III,43,10,6609,26,0,35,0,BRONZE_III,61,15,14007,436,0,436,0,BRONZE_I,26,14,12765,11,0,17,0,IRON,I,100,13,10803,308,0,333,0,BRONZE_II,46,14,12671,26,0,24,0,BRONZE_III,26,12,9251
115,0,120,0,GOLD_IV,17,18,25793,9,0,10,0,BRONZE_IV,74,17,18193,9,0,10,0,BRONZE_IV,74,18,20239,33,0,38,0,BRONZE_I,67,18,18840,122,0,145,0,BRONZE_IV,37,15,14517,159,0,131,0,GOLD_III,0,16,15572,5,0,5,0,IRON,I,90,16,16283,10,0,6,0,BRONZE_I,66,17,18267,178,0,187,0,SILVER_IV,35,18,20271,187,0,183,0,IRON_I,68,17,17074
37,0,39,0,SILVER_III,91,18,20556,100,0,97,0,SILVER_IV,37,18,20326,85,0,82,0,GOLD_IV,13,18,19774,7,0,11,0,BRONZE_I,0,17,17334,7,0,11,0,BRONZE_I,0,16,14908,159,0,131,0,GOLD_III,0,17,16740,5,0,5,0,IRON,I,90,15,14685,10,0,6,0,BRONZE_I,66,16,16398,3,0,12,0,BRONZE_IV,70,15,13070,37,0,39,0,SILVER_III,91,14,12587
411,0,398,0,BRONZE_IV,42,16,16128,140,0,151,0,IRON_II,15,13,9994,44,0,58,0,BRONZE_IV,12,13,11163,71,0,78,0,IRON_I,38,14,11879,542,0,554,0,BRONZE_IV,69,13,10090,26,0,35,0,IRON_I,16,17,16997,36,0,42,0,BRONZE_IV,23,15,13475,4,0,7,0,IRON,I,61,16,16392,651,0,730,0,IRON_IV,74,14,12428,25,0,50,0,IRON_IV,80,13,10987
317,0,322,0,BRONZE_III,14,11,8484,127,0,133,0,IRON_III,61,9,5362,128,0,104,0,SILVER_III,1,9,5574,78,0,189,0,IRON_IV,49,6,3147,115,0,150,0,BRONZE_IV,0,10,7230,10,0,16,0,IRON_II,41,9,5639,572,0,573,0,BRONZE_III,33,12,9680,4,0,7,0,IRON,I,61,12,9523,787,0,778,0,IRON_I,47,10,6751,25,0,50,0,IRON_IV,80,8,4764
172,0,198,0,BRONZE_III,26,18,18881,127,0,120,0,BRONZE_III,75,18,18859,277,0,260,0,BRONZE_II,27,17,18336,56,0,68,0,BRONZE_IV,39,16,15059,229,0,225,0,IRON_II,76,15,14382,140,0,155,0,IRON_III,0,13,11165,35,0,52,0,BRONZE_IV,3,17,16587,4,0,7,0,IRON,I,61,16,16122,241,0,241,0,BRONZE_III,31,16,15662,25,0,50,0,IRON_IV,80,14,11584
42,0,29,0,BRONZE_I,35,17,18140,68,0,56,0,BRONZE_II,0,18,19474,99,0,77,0,BRONZE_II,15,18,18472,338,0,352,0,BRONZE_IV,0,17,17177,197,0,145,0,SILVER_IV,55,15,14497,13,0,22,0,BRONZE_II,42,17,16522,171,0,185,0,BRONZE_IV,14,15,14126,4,0,7,0,IRON,I,61,16,15086,15,0,20,0,IRON_III,75,14,11804,3,0,11,0,BRONZE_III,61,14,11737
893,0,912,0,BRONZE_IV,0,14,12862,354,0,338,0,BRONZE_IV,91,13,11425,301,0,283,0,BRONZE_IV,30,13,10170,252,0,246,0,BRONZE_III,1,12,9325,127,0,146,0,BRONZE_IV,52,14,11949,384,0,365,0,BRONZE_III,51,15,13644,104,0,118,0,IRON_II,48,15,14026,4,0,7,0,IRON,I,61,16,14935,112,0,136,0,IRON_I,0,15,13749,270,0,269,0,BRONZE_III,26,15,13330
3,0,8,0,IRON_I,38,18,19106,6,0,15,0,IRON,I,100,14,12252,4,0,9,0,IRON_I,66,17,18023,65,0,70,0,BRONZE_IV,61,15,13455,7,0,18,0,BRONZE_IV,75,13,10400,93,0,74,0,SILVER_IV,35,16,16216,20,0,25,0,IRON_I,100,17,17036,10,0,5,0,BRONZE_II,0,18,20125,15,0,32,0,IRON_II,7,15,13953,15,0,32,0,IRON_II,7,16,15651
38,0,43,0,BRONZE_II,75,9,5399,6,0,15,0,IRON,I,100,7,3653,21,0,43,0,IRON_I,12,8,4446,48,0,53,0,BRONZE_II,65,8,4366,54,0,54,0,BRONZE_I,6,8,4105,40,0,48,0,BRONZE_II,48,9,5882,17,0,25,0,BRONZE_IV,75,6,3147,17,0,25,0,BRONZE_IV,75,8,4811,39,0,51,0,BRONZE_III,0,7,3286,56,0,56,0,BRONZE_II,11,5,1854
11,0,13,0,BRONZE_III,65,18,18630,6,0,15,0,IRON,I,100,15,14460,198,0,200,0,BRONZE_III,94,17,18300,136,0,158,0,BRONZE_IV,35,15,13644,140,0,147,0,BRONZE_II,15,13,10399,103,0,112,0,BRONZE_IV,54,17,16707,375,0,339,0,SILVER_II,54,15,13149,267,0,229,0,BRONZE_I,100,16,15704,153,0,192,0,IRON_I,45,14,11926,240,0,218,0,BRONZE_II,36,13,11215
96,0,94,0,BRONZE_II,81,1,0,6,0,15,0,IRON,I,100,3,768,113,0,131,0,SILVER_IV,0,3,965,13,0,24,0,BRONZE_II,27,2,545,13,0,13,0,BRONZE_I,17,2,457,51,0,71,0,BRONZE_III,32,3,1086,19,0,29,0,BRONZE_II,0,2,620,96,0,94,0,BRONZE_II,81,3,1086,96,0,94,0,BRONZE_II,81,2,598,96,0,94,0,BRONZE_II,81,2,508
8,0,11,0,BRONZE_IV,65,12,9345,6,0,15,0,IRON,I,100,9,5634,197,0,174,0,SILVER_IV,67,10,7152,263,0,270,0,BRONZE_II,0,11,7427,19,0,24,0,BRONZE_II,35,10,6474,190,0,177,0,SILVER_III,6,13,11176,33,0,41,0,BRONZE_IV,6,11,7705,54,0,43,0,SILVER_IV,75,13,10863,173,0,178,0,SILVER_IV,24,11,7330,38,0,30,0,BRONZE_I,96,9,5937
299,0,308,0,BRONZE_IV,50,18,19980,146,0,145,0,IRON,I,23,15,14289,120,0,163,0,IRON_IV,64,17,17352,210,0,226,0,BRONZE_IV,30,16,16017,254,0,243,0,BRONZE_IV,23,16,14925,229,0,236,0,IRON_II,81,17,17123,16,0,43,0,IRON_III,75,11,7518,71,0,96,0,BRONZE_IV,30,18,20434,51,0,67,0,BRONZE_IV,0,18,20582,88,0,94,0,BRONZE_III,78,17,17665
