rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_rank,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
259,0,297,0,SILVER_IV,54,10,6762,426,0,428,0,SILVER_III,0,9,5260,441,0,427,0,SILVER_III,0,10,6227,68,0,80,0,SILVER_IV,33,8,4612,372,0,378,0,BRONZE_III,59,7,3413,119,0,134,0,BRONZE_II,42,9,5132,57,0,82,0,SILVER_IV,22,7,3786,17,0,15,0,BRONZE_II,75,8,4302,58,0,51,0,BRONZE_I,58,6,2429,129,0,109,0,SILVER,IV,94,8,4649
8,0,6,0,SILVER,IV,0,12,8973,64,0,87,0,SILVER_III,27,11,8272,8,0,11,0,SILVER_IV,51,12,8681,26,0,39,0,SILVER_II,18,11,7314,24,0,30,0,SILVER_II,61,10,6408,15,0,7,0,SILVER_II,1,15,13522,34,0,30,0,GOLD_II,39,12,9702,34,0,30,0,GOLD_II,39,12,8635,29,0,28,0,SILVER_I,100,12,8641,52,0,47,0,GOLD_I,9,11,7364
8,0,6,0,SILVER,IV,0,10,6888,42,0,50,0,SILVER_I,75,13,10940,8,0,6,0,SILVER_IV,0,11,8318,10,0,6,0,BRONZE_I,73,11,8569,3,0,18,0,BRONZE_II,7,10,6887,52,0,47,0,GOLD_I,9,13,10415,8,0,11,0,SILVER_IV,51,14,12541,9,0,8,0,GOLD_III,70,12,8727,12,0,15,0,SILVER_III,82,13,10626,42,0,50,0,SILVER_I,75,10,6866
8,0,6,0,SILVER,IV,0,18,19645,16,0,12,0,SILVER_II,39,16,16387,27,0,26,0,SILVER_I,36,15,13780,13,0,7,0,SILVER_IV,47,16,15053,51,0,46,0,SILVER_III,96,15,13951,80,0,90,0,GOLD_IV,0,18,20471,6,0,7,0,SILVER_IV,47,14,12158,27,0,33,0,SILVER_III,20,13,10084,31,0,24,0,SILVER_I,90,15,13039,42,0,50,0,SILVER_I,75,12,9862
8,0,6,0,SILVER,IV,0,14,12752,10,0,12,0,BRONZE_I,24,11,8073,13,0,18,0,SILVER_III,40,13,10554,125,0,132,0,SILVER_II,35,11,7841,42,0,50,0,SILVER_I,75,11,8208,8,0,9,0,BRONZE_I,44,10,7045,8,0,9,0,BRONZE_I,94,12,9844,6,0,11,0,BRONZE_IV,0,10,6277,52,0,48,0,SILVER_II,39,11,8496,15,0,9,0,SILVER_I,93,12,9072
8,0,6,0,SILVER,IV,0,16,16075,30,0,30,0,BRONZE_I,100,16,15907,30,0,30,0,SILVER_II,3,14,12182,16,0,32,0,BRONZE_II,75,14,12561,3,0,7,0,SILVER_IV,44,14,11644,30,0,29,0,GOLD_III,62,17,17146,82,0,85,0,SILVER_I,36,16,15634,6,0,8,0,SILVER_IV,1,16,14995,86,0,61,0,PLATINUM_I,21,16,14822,12,0,9,0,SILVER_IV,84,14,12026
27,0,20,0,GOLD_IV,1,16,15389,324,0,313,0,GOLD_II,21,15,14202,30,0,38,0,SILVER_III,92,16,15781,20,0,21,0,SILVER_III,69,16,15121,6,0,11,0,SILVER,IV,86,13,11311,35,0,34,0,SILVER_I,38,16,14910,2,0,8,0,SILVER_IV,91,14,11505,109,0,97,0,GOLD_IV,59,12,9942,20,0,22,0,SILVER_II,68,15,13484,21,0,19,0,SILVER_I,63,11,7618
68,0,102,0,SILVER_IV,65,11,7358,32,0,27,0,GOLD_IV,48,12,9199,32,0,27,0,GOLD_IV,48,10,6317,14,0,17,0,SILVER_IV,11,9,5874,6,0,11,0,SILVER,IV,86,12,8831,246,0,215,0,PLATINUM_III,93,14,12972,9,0,15,0,SILVER_IV,37,13,10251,16,0,10,0,SILVER_I,63,12,9148,188,0,193,0,GOLD_IV,9,10,6747,51,0,61,0,SILVER_I,6,11,7903
165,0,152,0,GOLD_III,29,16,15387,3,0,7,0,BRONZE_I,47,16,15919,177,0,180,0,GOLD_IV,48,14,12695,26,0,29,0,SILVER_I,6,17,18033,6,0,11,0,SILVER,IV,86,13,10112,82,0,111,0,BRONZE_III,93,17,17586,133,0,146,0,SILVER_II,73,16,15646,95,0,107,0,GOLD_IV,0,18,18505,100,0,91,0,GOLD_IV,83,16,15502,8,0,5,0,SILVER_I,0,16,16199
24,0,28,0,SILVER_II,41,13,10876,40,0,45,0,SILVER_II,54,13,10802,6,0,12,0,SILVER_IV,69,14,11479,33,0,31,0,GOLD_III,39,12,9475,6,0,11,0,SILVER,IV,86,10,6405,9,0,8,0,SILVER_IV,23,12,9028,132,0,147,0,SILVER_II,50,10,7273,32,0,32,0,BRONZE_I,100,11,7884,18,0,40,0,SILVER_IV,69,10,6184,8,0,9,0,BRONZE_III,92,9,5556
16,0,15,0,SILVER_IV,71,18,28008,13,0,11,0,SILVER_II,1,18,23093,13,0,11,0,SILVER_II,1,18,20060,18,0,15,0,SILVER_II,1,17,17918,6,0,11,0,SILVER,IV,86,18,19653,33,0,37,0,SILVER_IV,61,18,27000,21,0,33,0,SILVER_IV,52,17,17113,33,0,31,0,GOLD_III,39,18,23549,33,0,31,0,GOLD_III,39,18,21145,36,0,32,0,GOLD_IV,32,17,17405
16,0,19,0,SILVER,IV,0,7,3904,92,0,102,0,SILVER_IV,14,14,12907,45,0,67,0,SILVER_I,7,14,12282,54,0,57,0,SILVER_I,55,14,11775,144,0,117,0,GOLD_II,55,14,12364,258,0,243,0,GOLD_IV,54,15,13281,73,0,60,0,GOLD_III,17,16,15110,97,0,92,0,GOLD_IV,73,16,15557,296,0,288,0,GOLD_IV,0,15,13152,76,0,83,0,SILVER_IV,88,14,12948
16,0,19,0,SILVER,IV,0,16,15088,67,0,63,0,GOLD_IV,90,16,15504,56,0,56,0,SILVER_I,59,15,13867,64,0,52,0,SILVER_I,100,14,12375,127,0,129,0,GOLD_III,4,12,9734,58,0,57,0,GOLD_IV,0,15,14057,33,0,30,0,SILVER_II,62,16,15015,40,0,41,0,SILVER_III,3,15,14465,59,0,62,0,GOLD_IV,59,17,16635,32,0,28,0,SILVER_I,41,13,11346
16,0,19,0,SILVER,IV,0,8,4723,58,0,45,0,GOLD_IV,49,7,4011,81,0,69,0,GOLD_III,7,9,5967,48,0,38,0,GOLD_IV,1,7,3759,15,0,18,0,SILVER_IV,0,7,3459,53,0,71,0,SILVER_III,15,6,3103,24,0,64,0,SILVER_IV,2,8,4218,61,0,43,0,GOLD_III,22,8,4856,19,0,20,0,SILVER_IV,43,7,3950,14,0,26,0,SILVER_IV,75,6,3154
72,0,46,0,SILVER_III,8,12,9007,73,0,62,0,PLATINUM_IV,1,10,7267,261,0,258,0,GOLD_IV,47,12,8859,145,0,136,0,SILVER_I,43,10,6222,140,0,135,0,SILVER_II,79,8,4938,14,0,17,0,SILVER_III,72,9,5465,4,0,7,0,BRONZE_III,78,8,4650,36,0,49,0,SILVER_III,47,10,6188,7,0,5,0,SILVER_IV,83,10,6706,127,0,143,0,SILVER,IV,0,9,5769
185,0,172,0,SILVER_IV,0,16,14731,16,0,25,0,SILVER_IV,26,15,13052,56,0,60,0,SILVER_IV,0,15,14282,115,0,99,0,SILVER_III,37,13,10489,115,0,99,0,SILVER_III,37,13,10024,177,0,203,0,SILVER_IV,0,16,15348,66,0,64,0,SILVER,IV,91,16,14825,207,0,220,0,SILVER_IV,81,16,15648,215,0,205,0,SILVER_IV,8,16,16279,43,0,49,0,SILVER_IV,41,15,14306
9,0,14,0,SILVER,IV,96,14,12010,44,0,41,0,SILVER_III,1,16,15029,88,0,91,0,SILVER_IV,78,16,15522,10,0,2,0,SILVER_IV,0,16,15655,235,0,200,0,BRONZE_I,18,16,15233,16,0,14,0,BRONZE_I,87,17,16863,57,0,54,0,SILVER_III,34,16,16268,10,0,10,0,BRONZE_I,41,15,14550,65,0,97,0,SILVER_IV,0,15,13309,198,0,195,0,BRONZE_I,0,14,12090
9,0,14,0,SILVER,IV,96,14,11863,296,0,304,0,SILVER_II,29,14,12454,62,0,86,0,SILVER_IV,10,16,15286,159,0,152,0,SILVER_II,6,14,12399,262,0,262,0,SILVER_IV,0,13,10524,282,0,275,0,GOLD_IV,59,17,17268,6,0,14,0,SILVER_IV,0,13,11263,222,0,204,0,SILVER_I,60,14,12518,59,0,80,0,SILVER_IV,0,15,13369,31,0,43,0,SILVER_III,37,12,9483
9,0,14,0,SILVER,IV,96,13,11139,16,0,20,0,SILVER_IV,0,15,13981,20,0,21,0,SILVER_III,76,13,10684,40,0,47,0,SILVER_II,32,16,15000,52,0,69,0,SILVER_IV,14,13,10198,25,0,33,0,SILVER_IV,49,17,17922,20,0,18,0,SILVER_II,82,17,18282,6,0,6,0,SILVER_IV,50,17,16654,44,0,42,0,SILVER_II,1,15,13465,37,0,28,0,SILVER_IV,4,13,10058
9,0,14,0,SILVER,IV,96,6,2838,16,0,23,0,SILVER_IV,39,7,3450,149,0,143,0,GOLD_IV,30,8,4645,72,0,60,0,GOLD_IV,1,4,1242,20,0,20,0,SILVER_IV,75,5,1781,55,0,65,0,SILVER_IV,61,8,4919,23,0,25,0,SILVER_III,0,7,3396,162,0,147,0,GOLD_IV,47,8,4294,13,0,10,0,SILVER_II,38,7,3459,67,0,70,0,SILVER_II,75,6,2776
9,0,3,0,SILVER,IV,57,15,13672,26,0,15,0,GOLD_IV,52,14,12942,32,0,26,0,GOLD_IV,0,15,13624,14,0,3,0,GOLD_IV,1,15,13720,21,0,6,0,SILVER_IV,0,13,10563,20,0,22,0,SILVER_II,56,14,11459,22,0,28,0,SILVER_II,0,13,10695,45,0,52,0,GOLD_IV,0,14,12655,24,0,30,0,SILVER_III,93,11,8018,70,0,90,0,SILVER_I,6,12,9257
