ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
75,0,67,0,PLATINUM_II,5,13,11214,226,0,200,0,PLATINUM_II,1,13,10379,135,0,91,0,PLATINUM_I,1,14,13009,98,0,94,0,DIAMOND_IV,15,12,8808,124,0,91,0,PLATINUM_II,37,13,11351,185,0,176,0,PLATINUM_II,74,16,15662,590,0,595,0,PLATINUM_II,2,13,10763,311,0,248,0,PLATINUM_II,75,16,15909,55,0,62,0,PLATINUM_II,70,15,13568,373,0,353,0,PLATINUM_I,8,13,10457
304,0,296,0,PLATINUM_II,75,18,20077,328,0,293,0,DIAMOND_IV,0,18,19988,83,0,54,0,PLATINUM_I,13,15,14504,184,0,164,0,PLATINUM_I,92,14,11732,124,0,91,0,PLATINUM_II,37,16,16318,88,0,85,0,PLATINUM_I,0,16,16056,77,0,71,0,PLATINUM_III,37,14,12166,57,0,52,0,PLATINUM_III,75,15,14592,597,0,585,0,PLATINUM_II,3,14,12671,195,0,170,0,PLATINUM_I,12,13,10065
39,0,48,0,PLATINUM_II,38,18,18598,590,0,562,0,PLATINUM_III,35,17,16833,101,0,84,0,PLATINUM_III,90,18,19363,83,0,101,0,PLATINUM_II,2,15,14243,124,0,91,0,PLATINUM_II,37,17,17059,112,0,108,0,PLATINUM_II,6,15,14425,375,0,374,0,PLATINUM_II,36,16,15363,328,0,318,0,PLATINUM_II,66,16,15566,47,0,40,0,PLATINUM_III,20,17,16545,69,0,65,0,PLATINUM_II,29,14,11597
295,0,292,0,PLATINUM_II,54,15,13521,378,0,365,0,PLATINUM_II,15,14,12305,217,0,201,0,PLATINUM_IV,90,13,10620,75,0,69,0,PLATINUM_II,90,13,10894,124,0,91,0,PLATINUM_II,37,14,11888,131,0,117,0,PLATINUM_II,0,14,11776,174,0,169,0,PLATINUM_III,66,12,9494,334,0,294,0,PLATINUM_II,44,12,8901,49,0,56,0,PLATINUM_II,0,11,7755,42,0,53,0,PLATINUM_III,67,10,7293
71,0,26,0,PLATINUM_I,75,13,10473,207,0,181,0,PLATINUM_II,44,11,8565,375,0,361,0,PLATINUM_III,45,11,7697,587,0,583,0,PLATINUM_III,6,10,6566,312,0,291,0,PLATINUM_II,83,10,6173,37,0,44,0,PLATINUM_IV,0,10,6872,197,0,184,0,PLATINUM_II,8,9,6043,447,0,434,0,PLATINUM_II,57,11,7973,441,0,422,0,PLATINUM_III,9,8,4721,247,0,224,0,PLATINUM_II,27,9,5408
37,0,31,0,PLATINUM_IV,24,13,10065,352,0,341,0,DIAMOND_III,8,12,9776,447,0,434,0,PLATINUM_II,57,14,11602,163,0,144,0,DIAMOND_III,41,12,9343,368,0,345,0,PLATINUM_III,5,11,8436,206,0,192,0,PLATINUM_III,0,15,13071,197,0,184,0,PLATINUM_II,8,13,11303,72,0,79,0,PLATINUM_I,3,14,12043,41,0,30,0,PLATINUM_IV,43,13,10934,60,0,35,0,PLATINUM_I,100,11,8390
244,0,230,0,PLATINUM_III,43,18,19680,382,0,326,0,DIAMOND_IV,0,18,25128,447,0,434,0,PLATINUM_II,57,18,27870,608,0,612,0,DIAMOND_IV,10,18,20827,49,0,50,0,PLATINUM_III,8,15,14489,328,0,342,0,GOLD_II,60,18,23610,197,0,184,0,PLATINUM_II,8,18,20957,1301,0,1285,0,PLATINUM_III,62,18,26022,181,0,179,0,PLATINUM_II,59,18,19331,290,0,271,0,PLATINUM_IV,32,18,20434
136,0,136,0,PLATINUM_IV,75,16,15019,123,0,122,0,PLATINUM_I,38,16,16242,326,0,297,0,PLATINUM_II,39,16,15949,51,0,50,0,DIAMOND_IV,38,15,14096,173,0,188,0,GOLD_III,56,15,13339,221,0,211,0,PLATINUM_III,17,14,12612,197,0,184,0,PLATINUM_II,8,14,11923,284,0,284,0,PLATINUM_IV,59,14,12599,228,0,227,0,PLATINUM_IV,3,14,11891,272,0,257,0,PLATINUM_III,74,13,10704
276,0,263,0,PLATINUM_IV,0,12,9046,286,0,274,0,PLATINUM_I,29,11,7951,50,0,57,0,PLATINUM_II,19,11,8473,223,0,223,0,PLATINUM_IV,0,10,6193,327,0,331,0,PLATINUM_IV,75,10,6268,311,0,347,0,PLATINUM_IV,50,13,10178,197,0,184,0,PLATINUM_II,8,12,9540,563,0,562,0,GOLD_II,66,13,10368,355,0,351,0,PLATINUM_IV,61,11,8313,580,0,530,0,DIAMOND_III,57,10,6570
229,0,230,0,PLATINUM_III,46,14,12299,69,0,72,0,PLATINUM_III,30,14,11506,129,0,101,0,PLATINUM_II,30,13,11036,233,0,210,0,PLATINUM_III,75,14,12855,98,0,99,0,PLATINUM_III,75,12,9156,307,0,299,0,PLATINUM_I,46,15,13263,694,0,721,0,PLATINUM_II,67,15,13473,258,0,239,0,PLATINUM_II,75,16,15463,94,0,88,0,PLATINUM_III,25,14,12997,113,0,100,0,PLATINUM_I,29,13,10746
