rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
13,0,15,0,PLATINUM_II,35,13,10122,7,0,10,0,SILVER_III,98,12,8943,28,0,37,0,SILVER_I,0,12,8786,28,0,37,0,SILVER_I,0,13,10372,23,0,27,0,GOLD_III,70,11,8297,136,0,112,0,PLATINUM_IV,27,14,13010,87,0,60,0,PLATINUM_IV,54,14,12541,121,0,123,0,GOLD_IV,83,14,11555,225,0,218,0,PLATINUM_IV,0,13,11069,17,0,15,0,GOLD_I,18,11,8432
68,0,46,0,PLATINUM_III,0,18,21175,129,0,150,0,PLATINUM_IV,58,18,19487,509,0,496,0,PLATINUM_II,12,18,18873,314,0,304,0,PLATINUM_III,96,17,17883,456,0,440,0,PLATINUM_IV,13,16,15010,127,0,164,0,GOLD_I,16,17,17649,121,0,156,0,PLATINUM_IV,47,16,15896,96,0,79,0,PLATINUM_IV,34,16,15142,112,0,105,0,PLATINUM_III,30,16,16429,61,0,73,0,PLATINUM_IV,0,14,11784
116,0,117,0,PLATINUM_IV,17,18,19990,541,0,523,0,PLATINUM_IV,13,17,16622,188,0,162,0,GOLD_I,100,18,20854,228,0,229,0,PLATINUM_IV,29,17,17798,194,0,162,0,PLATINUM_IV,26,15,14300,327,0,332,0,PLATINUM_IV,0,18,19695,351,0,328,0,GOLD_I,69,15,13712,158,0,139,0,PLATINUM_IV,0,17,16884,458,0,430,0,PLATINUM_IV,20,15,14459,251,0,232,0,PLATINUM_III,0,14,11936
28,0,23,0,GOLD_II,61,11,8052,22,0,15,0,SILVER_I,100,12,8762,22,0,26,0,GOLD_I,61,12,9545,7,0,5,0,GOLD_III,57,11,7613,14,0,23,0,GOLD_III,68,10,6308,39,0,35,0,GOLD_II,5,14,12543,43,0,37,0,GOLD_I,19,13,10059,23,0,16,0,GOLD_II,33,14,12428,458,0,430,0,PLATINUM_IV,20,12,9729,43,0,37,0,GOLD_I,19,12,9329
188,0,182,0,PLATINUM_IV,31,18,20743,242,0,221,0,PLATINUM_IV,14,18,19693,83,0,96,0,PLATINUM_IV,17,18,19953,170,0,171,0,PLATINUM_III,12,18,22770,111,0,103,0,PLATINUM_IV,89,17,17458,215,0,190,0,PLATINUM_IV,28,18,19056,56,0,66,0,PLATINUM_IV,24,17,17816,388,0,339,0,GOLD_I,38,18,20480,458,0,430,0,PLATINUM_IV,20,17,18063,110,0,130,0,PLATINUM_IV,0,16,16399
121,0,112,0,GOLD_II,91,15,13159,180,0,181,0,PLATINUM_IV,36,14,11517,292,0,281,0,PLATINUM_IV,73,14,11499,691,0,680,0,PLATINUM_III,17,13,10810,155,0,158,0,GOLD_I,8,12,8834,214,0,199,0,PLATINUM_III,58,16,15980,504,0,492,0,PLATINUM_IV,0,15,14240,147,0,162,0,PLATINUM_IV,0,16,15382,458,0,430,0,PLATINUM_IV,20,13,11059,162,0,147,0,GOLD_II,26,12,8723
252,0,239,0,PLATINUM_IV,63,14,11771,38,0,56,0,PLATINUM_IV,40,15,13820,245,0,229,0,PLATINUM_IV,22,14,12272,83,0,93,0,PLATINUM_III,6,15,13660,181,0,169,0,PLATINUM_IV,37,13,10717,230,0,222,0,PLATINUM_IV,93,17,16716,118,0,100,0,PLATINUM_III,5,17,17056,233,0,241,0,GOLD_II,0,17,17844,458,0,430,0,PLATINUM_IV,20,14,12268,256,0,261,0,PLATINUM_IV,67,14,12400
227,0,226,0,PLATINUM_IV,53,16,15129,74,0,56,0,PLATINUM_IV,0,16,14928,279,0,271,0,PLATINUM_IV,34,16,14950,458,0,446,0,PLATINUM_II,44,14,12387,378,0,380,0,GOLD_I,32,13,10473,102,0,107,0,PLATINUM_III,0,17,16985,389,0,387,0,PLATINUM_IV,29,17,17490,38,0,32,0,GOLD_I,18,17,16926,139,0,140,0,PLATINUM_IV,15,16,15112,119,0,117,0,PLATINUM_IV,56,14,12703
430,0,394,0,DIAMOND_IV,1,15,14595,74,0,56,0,PLATINUM_IV,0,15,13470,531,0,515,0,PLATINUM_IV,29,16,15198,91,0,90,0,GOLD_I,8,16,14792,164,0,157,0,PLATINUM_IV,43,12,9026,194,0,157,0,PLATINUM_III,46,17,16914,145,0,160,0,GOLD_II,72,16,15478,790,0,780,0,PLATINUM_II,25,17,16883,245,0,253,0,PLATINUM_IV,43,15,13606,658,0,661,0,PLATINUM_II,0,14,11983
431,0,436,0,PLATINUM_IV,28,13,10241,74,0,56,0,PLATINUM_IV,0,9,5777,141,0,122,0,PLATINUM_IV,59,12,9657,68,0,63,0,GOLD_I,96,11,7589,126,0,115,0,PLATINUM_II,57,10,6559,198,0,228,0,PLATINUM_IV,39,14,11820,394,0,378,0,PLATINUM_III,29,12,9164,217,0,205,0,PLATINUM_III,15,13,10942,414,0,408,0,PLATINUM_IV,60,12,9929,126,0,131,0,PLATINUM_IV,0,11,8376
