rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
166,0,162,0,DIAMOND_III,15,12,8724,224,0,195,0,DIAMOND_II,61,11,8064,1009,0,985,0,DIAMOND_III,32,12,8742,147,0,130,0,DIAMOND_II,6,11,7357,703,0,668,0,DIAMOND_II,47,10,6503,950,0,948,0,DIAMOND_II,90,14,11549,103,0,100,0,DIAMOND_III,38,13,11268,147,0,138,0,DIAMOND_III,91,14,11982,226,0,242,0,DIAMOND_III,46,13,10145,321,0,298,0,DIAMOND_I,5,12,9613
352,0,327,0,DIAMOND_I,33,15,13088,248,0,226,0,DIAMOND_II,64,13,10690,106,0,95,0,DIAMOND_II,29,12,9757,184,0,161,0,DIAMOND_III,19,13,10414,127,0,103,0,DIAMOND_IV,75,11,8104,246,0,221,0,DIAMOND_II,26,12,9396,103,0,100,0,DIAMOND_III,38,13,10177,147,0,138,0,DIAMOND_III,91,12,8978,74,0,58,0,DIAMOND_II,60,11,7715,51,0,50,0,DIAMOND_IV,97,10,7004
188,0,189,0,DIAMOND_IV,58,15,13839,285,0,269,0,DIAMOND_I,1,14,11737,273,0,267,0,DIAMOND_I,17,15,13644,272,0,265,0,DIAMOND_III,75,12,9767,45,0,48,0,DIAMOND_IV,7,11,8332,213,0,195,0,DIAMOND_IV,49,13,10295,315,0,313,0,DIAMOND_IV,60,12,9039,147,0,138,0,DIAMOND_III,91,12,8615,14,0,16,0,PLATINUM_I,23,13,10736,129,0,155,0,DIAMOND_IV,14,10,7193
156,0,139,0,DIAMOND_I,38,18,19155,159,0,131,0,DIAMOND_III,0,18,18602,136,0,109,0,DIAMOND_I,68,16,15683,266,0,275,0,DIAMOND_I,44,17,16944,28,0,17,0,DIAMOND_II,2,16,16423,436,0,456,0,DIAMOND_III,0,18,19077,545,0,534,0,DIAMOND_I,37,15,14342,147,0,138,0,DIAMOND_III,91,16,14856,174,0,168,0,DIAMOND_III,0,15,14094,39,0,44,0,PLATINUM_I,58,14,11635
311,0,265,0,DIAMOND_I,47,11,8423,139,0,134,0,DIAMOND_II,68,12,9429,377,0,345,0,DIAMOND_I,100,13,10079,120,0,112,0,DIAMOND_II,76,12,9588,89,0,78,0,DIAMOND_I,24,10,7071,496,0,468,0,DIAMOND_II,40,12,8905,103,0,100,0,DIAMOND_III,38,11,7887,147,0,138,0,DIAMOND_III,91,11,8076,425,0,396,0,DIAMOND_I,13,10,6226,554,0,547,0,DIAMOND_III,52,9,5554
624,0,589,0,DIAMOND_III,2,13,10750,219,0,215,0,DIAMOND_III,33,12,8594,585,0,556,0,DIAMOND_III,17,13,10895,99,0,90,0,DIAMOND_III,2,12,9063,172,0,167,0,DIAMOND_III,0,10,6517,120,0,93,0,PLATINUM_I,36,14,11810,181,0,172,0,DIAMOND_IV,46,13,11227,177,0,160,0,DIAMOND_III,30,14,12464,292,0,256,0,DIAMOND_III,34,12,9441,256,0,240,0,DIAMOND_II,30,12,9497
31,0,21,0,PLATINUM_I,25,16,15937,430,0,440,0,DIAMOND_IV,49,18,18698,585,0,556,0,DIAMOND_III,17,17,16928,393,0,362,0,DIAMOND_III,31,17,16785,54,0,45,0,PLATINUM_I,37,15,13786,178,0,146,0,DIAMOND_III,61,16,15595,612,0,544,0,DIAMOND_IV,63,17,17223,148,0,164,0,DIAMOND_III,21,18,19028,292,0,256,0,DIAMOND_III,34,16,16158,256,0,240,0,DIAMOND_II,30,14,12552
116,0,96,0,DIAMOND_II,40,11,7618,85,0,67,0,DIAMOND_IV,38,9,5596,585,0,556,0,DIAMOND_III,17,9,6110,443,0,429,0,DIAMOND_III,53,9,5530,71,0,67,0,DIAMOND_III,32,7,3842,284,0,262,0,DIAMOND_II,0,8,4594,216,0,237,0,DIAMOND_IV,67,7,3748,344,0,341,0,DIAMOND_II,0,5,1811,292,0,256,0,DIAMOND_III,34,8,4743,256,0,240,0,DIAMOND_II,30,6,2971
680,0,709,0,DIAMOND_III,59,17,17420,85,0,67,0,DIAMOND_IV,38,16,15397,585,0,556,0,DIAMOND_III,17,18,18667,168,0,138,0,DIAMOND_III,78,17,17354,144,0,129,0,DIAMOND_IV,49,15,14139,55,0,43,0,DIAMOND_III,80,18,18457,72,0,74,0,DIAMOND_IV,1,18,18993,284,0,262,0,DIAMOND_II,0,18,20152,154,0,172,0,DIAMOND_IV,76,18,18927,407,0,378,0,DIAMOND_II,17,17,17118
307,0,317,0,DIAMOND_III,46,11,8428,88,0,80,0,DIAMOND_III,17,13,11116,585,0,556,0,DIAMOND_III,17,11,8215,694,0,678,0,DIAMOND_IV,66,12,8590,35,0,46,0,PLATINUM_I,15,10,6437,343,0,344,0,DIAMOND_IV,0,13,10850,117,0,89,0,PLATINUM_I,19,12,9342,307,0,275,0,DIAMOND_III,1,12,9714,116,0,103,0,DIAMOND_II,0,10,6670,372,0,341,0,DIAMOND_III,9,8,4982
