main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
387,0,390,0,PLATINUM_III,0,10,7047,212,0,227,0,PLATINUM_IV,1,11,8418,248,0,243,0,PLATINUM_IV,48,13,10195,188,0,190,0,PLATINUM_IV,48,12,9432,376,0,359,0,PLATINUM_III,22,11,8477,138,0,132,0,PLATINUM_IV,90,13,10700,581,0,524,0,PLATINUM_II,1,13,10173,173,0,167,0,PLATINUM_III,40,13,10874,299,0,280,0,PLATINUM_III,68,13,11146,588,0,591,0,PLATINUM_III,20,11,7922
387,0,390,0,PLATINUM_III,0,12,9524,27,0,19,0,GOLD_I,55,14,11713,218,0,213,0,PLATINUM_III,43,15,13183,8,0,12,0,GOLD_II,62,14,11946,94,0,90,0,PLATINUM_III,15,12,8834,158,0,124,0,PLATINUM_I,35,14,12745,289,0,279,0,PLATINUM_III,0,16,15700,62,0,53,0,PLATINUM_IV,64,17,16733,179,0,194,0,PLATINUM_III,52,14,12785,99,0,91,0,GOLD_I,84,13,11002
315,0,282,0,PLATINUM_III,25,13,10009,623,0,613,0,PLATINUM_IV,79,12,9346,152,0,132,0,PLATINUM_II,29,12,9834,398,0,391,0,PLATINUM_IV,13,12,9515,186,0,158,0,PLATINUM_I,15,12,8739,347,0,361,0,PLATINUM_IV,67,15,13345,75,0,84,0,PLATINUM_II,53,15,13228,83,0,67,0,PLATINUM_III,61,16,15353,227,0,208,0,PLATINUM_II,14,14,11609,298,0,299,0,PLATINUM_IV,61,12,9004
24,0,23,0,GOLD_I,80,14,11785,57,0,48,0,GOLD_I,100,12,9164,296,0,303,0,PLATINUM_III,14,13,10731,46,0,48,0,GOLD_I,26,11,7987,327,0,331,0,PLATINUM_IV,75,11,7836,167,0,169,0,PLATINUM_III,0,16,14948,95,0,100,0,PLATINUM_III,29,13,10980,83,0,67,0,PLATINUM_III,61,16,15607,52,0,61,0,PLATINUM_III,18,12,9062,57,0,67,0,PLATINUM_IV,33,13,10126
43,0,43,0,SILVER_IV,34,14,12756,10,0,15,0,SILVER_IV,67,13,10898,23,0,26,0,SILVER_IV,88,14,12770,248,0,233,0,SILVER_II,0,13,10071,24,0,43,0,SILVER_IV,17,12,9437,110,0,106,0,SILVER_IV,13,15,13951,146,0,121,0,GOLD_III,58,17,16781,83,0,67,0,PLATINUM_III,61,18,19588,75,0,82,0,SILVER_I,0,15,13697,59,0,63,0,GOLD_IV,0,13,10020
71,0,54,0,PLATINUM_IV,0,15,13143,135,0,159,0,PLATINUM_IV,44,17,17640,43,0,32,0,GOLD_I,69,15,14179,49,0,55,0,PLATINUM_IV,0,14,11726,189,0,200,0,PLATINUM_III,14,13,11286,42,0,45,0,PLATINUM_IV,0,17,17434,58,0,70,0,PLATINUM_IV,73,13,10741,83,0,67,0,PLATINUM_III,61,15,13679,60,0,48,0,GOLD_II,75,13,10181,157,0,137,0,PLATINUM_IV,62,11,8247
107,0,109,0,GOLD_II,6,13,11434,192,0,174,0,PLATINUM_II,75,13,10557,410,0,399,0,PLATINUM_II,0,13,10989,92,0,88,0,PLATINUM_IV,92,11,8490,166,0,157,0,PLATINUM_IV,63,11,7512,51,0,50,0,GOLD_III,47,12,8904,289,0,291,0,PLATINUM_III,54,11,7745,83,0,67,0,PLATINUM_III,61,10,7167,60,0,48,0,GOLD_II,75,11,8014,153,0,140,0,PLATINUM_II,31,9,5901
310,0,298,0,PLATINUM_IV,0,10,7014,125,0,105,0,PLATINUM_III,0,10,6748,344,0,363,0,PLATINUM_IV,0,13,10200,32,0,42,0,PLATINUM_III,36,9,5764,68,0,90,0,GOLD_II,2,9,5306,347,0,322,0,PLATINUM_II,8,12,9610,153,0,129,0,GOLD_I,50,12,9595,60,0,48,0,PLATINUM_III,75,13,10044,79,0,82,0,PLATINUM_IV,90,12,9632,31,0,22,0,GOLD_II,34,11,7349
312,0,302,0,PLATINUM_IV,55,16,15297,114,0,125,0,PLATINUM_IV,59,14,11625,232,0,216,0,PLATINUM_IV,65,16,14808,16,0,13,0,GOLD_I,100,13,11226,49,0,56,0,GOLD_II,92,13,10722,153,0,129,0,GOLD_I,50,14,12836,180,0,176,0,PLATINUM_IV,40,12,9187,60,0,48,0,PLATINUM_III,75,13,10173,313,0,300,0,PLATINUM_IV,12,10,7224,177,0,164,0,PLATINUM_IV,0,11,7679
49,0,45,0,PLATINUM_IV,49,18,21231,136,0,129,0,PLATINUM_II,1,18,22003,45,0,38,0,GOLD_I,100,18,23635,139,0,128,0,PLATINUM_II,32,18,19446,78,0,90,0,GOLD_I,34,17,16528,163,0,159,0,PLATINUM_IV,75,18,24908,280,0,274,0,PLATINUM_IV,64,17,17052,60,0,48,0,PLATINUM_III,75,17,16516,77,0,67,0,PLATINUM_IV,18,16,15129,153,0,129,0,GOLD_I,50,15,13318
