rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience
182,0,206,0,SILVER_IV,0,18,19861,78,0,77,0,BRONZE_II,13,16,16245,28,0,55,0,BRONZE_IV,13,16,16284,19,0,27,0,BRONZE_II,36,15,14017,22,0,38,0,BRONZE_IV,44,14,12577,14,0,9,0,BRONZE_II,64,18,19742,173,0,167,0,SILVER_IV,33,16,14725,330,0,317,0,SILVER_IV,72,15,13941,112,0,119,0,BRONZE_III,0,16,15493,60,0,85,0,BRONZE_IV,70,14,11952
11,0,4,0,SILVER_II,50,15,13935,16,0,8,0,GOLD_I,15,17,16665,16,0,8,0,GOLD_I,15,14,12683,51,0,39,0,GOLD_I,60,16,14840,183,0,156,0,GOLD_II,37,15,13707,5,0,9,0,BRONZE_II,7,14,12717,5,0,9,0,BRONZE_II,7,13,10233,60,0,74,0,SILVER_II,48,14,12530,13,0,7,0,GOLD_IV,1,14,12535,262,0,265,0,SILVER_III,35,13,10410
346,0,348,0,SILVER_III,58,18,24071,8,0,6,0,BRONZE_II,16,18,20843,79,0,65,0,GOLD_II,20,18,19054,26,0,22,0,GOLD_IV,0,17,17090,26,0,22,0,GOLD_IV,0,17,18305,5,0,9,0,BRONZE_II,7,18,22270,72,0,52,0,PLATINUM_II,80,18,20710,60,0,74,0,SILVER_II,48,18,22035,60,0,74,0,SILVER_II,48,18,18518,346,0,348,0,SILVER_III,58,16,15325
17,0,13,0,GOLD_IV,1,13,11200,78,0,71,0,SILVER_III,2,12,9574,54,0,54,0,PLATINUM_IV,0,13,10840,65,0,70,0,SILVER_I,0,11,7762,3,0,12,0,SILVER_II,23,9,5113,5,0,9,0,BRONZE_II,7,12,9621,246,0,215,0,PLATINUM_III,14,10,6781,60,0,74,0,SILVER_II,48,12,8883,60,0,74,0,SILVER_II,48,11,8274,479,0,493,0,GOLD_IV,24,9,5364
18,0,25,0,BRONZE_II,11,16,15630,211,0,188,0,PLATINUM_IV,1,15,13401,169,0,104,0,DIAMOND_IV,25,18,19382,15,0,5,0,GOLD_IV,0,15,13394,75,0,58,0,SILVER_I,62,14,11517,5,0,9,0,BRONZE_II,7,17,17878,5,0,9,0,BRONZE_II,7,17,17864,60,0,74,0,SILVER_II,48,16,15155,60,0,74,0,SILVER_II,48,16,14886,60,0,74,0,SILVER_II,48,15,14079
35,0,37,0,SILVER_IV,67,16,15483,43,0,43,0,SILVER_II,60,15,14428,193,0,206,0,SILVER_III,35,14,12813,42,0,47,0,SILVER_IV,38,13,11151,7,0,6,0,BRONZE_II,82,13,10156,60,0,58,0,SILVER_III,99,15,14335,78,0,85,0,SILVER_III,39,14,13010,45,0,37,0,SILVER_II,22,15,13911,158,0,159,0,SILVER_III,41,15,13440,158,0,159,0,SILVER_III,41,15,13773
17,0,26,0,BRONZE_I,12,15,14100,75,0,73,0,GOLD_IV,14,14,11453,75,0,73,0,GOLD_IV,14,14,12072,42,0,47,0,SILVER_IV,38,15,13591,7,0,6,0,BRONZE_II,82,13,10919,20,0,14,0,SILVER_II,0,13,10452,9,0,8,0,BRONZE_II,0,12,9329,11,0,29,0,BRONZE_IV,71,13,11082,11,0,29,0,BRONZE_IV,71,12,8874,5,0,7,0,BRONZE_I,0,13,10934
7,0,6,0,BRONZE_II,82,12,9141,55,0,65,0,SILVER_III,16,13,10608,42,0,47,0,SILVER_IV,38,13,10612,18,0,14,0,SILVER_II,33,14,11947,7,0,6,0,BRONZE_II,82,11,7939,12,0,9,0,BRONZE_I,66,15,13138,19,0,28,0,BRONZE_I,17,14,11826,29,0,20,0,SILVER_III,45,15,13970,17,0,20,0,SILVER_IV,40,13,11295,20,0,19,0,SILVER_IV,66,13,10389
274,0,290,0,SILVER_IV,36,14,12027,260,0,250,0,SILVER_III,75,13,10643,355,0,351,0,SILVER_IV,16,14,12730,284,0,279,0,SILVER_IV,2,13,10928,73,0,95,0,BRONZE_II,35,12,8721,71,0,64,0,SILVER_III,14,14,11927,76,0,78,0,BRONZE_II,65,13,10098,181,0,188,0,SILVER_IV,35,14,11751,845,0,863,0,SILVER_III,1,14,11563,183,0,190,0,SILVER_IV,13,12,9191
309,0,274,0,SILVER_III,13,18,20595,387,0,367,0,SILVER_IV,0,17,18182,13,0,15,0,BRONZE_II,71,15,14675,229,0,211,0,SILVER_III,0,17,16800,116,0,124,0,SILVER_IV,14,15,13979,291,0,344,0,SILVER_IV,11,18,19940,76,0,78,0,BRONZE_II,65,18,19048,236,0,220,0,SILVER_IV,75,18,19016,34,0,41,0,SILVER_III,74,16,15407,252,0,258,0,SILVER_IV,41,15,13118
