rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
60,0,65,0,GOLD_IV,16,10,6988,11,0,15,0,SILVER_I,86,9,5939,33,0,46,0,GOLD_III,28,7,3439,18,0,15,0,GOLD_IV,19,9,5112,303,0,311,0,GOLD_II,34,8,4775,156,0,155,0,GOLD_III,39,12,8895,16,0,8,0,GOLD_II,1,9,6116,39,0,28,0,SILVER_I,100,12,9065,38,0,33,0,GOLD_III,19,9,5103,285,0,276,0,GOLD_II,0,8,4465
602,0,609,0,GOLD_IV,22,17,18119,77,0,75,0,GOLD_II,31,16,15619,363,0,341,0,PLATINUM_IV,59,17,16959,79,0,103,0,GOLD_II,28,17,17017,156,0,153,0,GOLD_II,0,15,13729,259,0,256,0,GOLD_I,0,18,20874,510,0,511,0,GOLD_II,41,17,18094,92,0,87,0,GOLD_II,42,17,16924,11,0,5,0,GOLD_II,56,16,16236,45,0,60,0,GOLD_IV,28,15,13352
95,0,106,0,GOLD_IV,54,17,16570,182,0,164,0,GOLD_III,87,14,13000,44,0,45,0,GOLD_II,75,17,16719,92,0,75,0,GOLD_III,26,14,12729,156,0,153,0,GOLD_II,0,13,11389,77,0,77,0,GOLD_II,0,15,13282,82,0,118,0,GOLD_III,77,14,12429,241,0,238,0,GOLD_III,16,13,10631,345,0,336,0,GOLD_II,5,13,11019,159,0,133,0,GOLD_III,60,12,8602
144,0,106,0,GOLD_I,80,14,12840,70,0,75,0,GOLD_IV,75,14,11518,188,0,184,0,GOLD_II,5,16,15059,65,0,74,0,GOLD_I,36,14,11503,60,0,65,0,GOLD_III,7,11,8526,66,0,54,0,GOLD_II,15,16,14809,266,0,264,0,GOLD_I,0,15,13400,393,0,405,0,GOLD_III,0,13,10498,47,0,34,0,GOLD_II,26,15,14521,344,0,329,0,PLATINUM_IV,12,14,11866
254,0,224,0,PLATINUM_IV,0,16,15391,422,0,412,0,GOLD_IV,75,15,14150,248,0,204,0,PLATINUM_II,0,16,15026,260,0,263,0,GOLD_II,15,15,14433,366,0,332,0,PLATINUM_IV,31,14,11820,66,0,54,0,GOLD_II,15,16,15132,63,0,64,0,GOLD_III,15,16,16327,147,0,126,0,PLATINUM_IV,0,15,14123,90,0,86,0,GOLD_IV,16,14,12824,113,0,131,0,GOLD_III,14,13,11319
171,0,179,0,GOLD_III,66,15,14112,278,0,277,0,GOLD_III,75,13,10108,158,0,139,0,GOLD_III,15,13,10755,222,0,205,0,PLATINUM_IV,15,11,8348,182,0,176,0,PLATINUM_IV,29,11,7995,66,0,54,0,GOLD_II,15,14,12124,100,0,107,0,GOLD_II,54,14,12490,197,0,196,0,GOLD_I,49,15,14260,121,0,102,0,PLATINUM_III,16,15,14036,533,0,520,0,GOLD_III,17,13,10834
182,0,175,0,GOLD_I,35,16,16150,217,0,222,0,GOLD_IV,38,15,13834,269,0,233,0,PLATINUM_IV,0,16,15263,251,0,257,0,GOLD_II,51,15,14323,203,0,214,0,GOLD_III,75,14,12796,66,0,54,0,GOLD_II,15,17,18069,127,0,142,0,GOLD_I,41,17,18211,72,0,80,0,GOLD_IV,55,16,15790,236,0,257,0,GOLD_IV,48,15,13233,135,0,129,0,GOLD_II,21,15,13459
91,0,90,0,GOLD_II,0,15,14276,794,0,797,0,GOLD_II,43,13,10615,93,0,114,0,GOLD_IV,62,15,14277,266,0,224,0,PLATINUM_III,74,13,11057,51,0,47,0,GOLD_IV,30,12,9355,66,0,54,0,GOLD_II,15,16,14801,366,0,362,0,GOLD_I,48,17,17617,274,0,242,0,GOLD_III,32,15,14568,77,0,76,0,GOLD_IV,18,17,17239,256,0,258,0,GOLD_IV,65,14,11567
184,0,140,0,PLATINUM_IV,30,16,15740,28,0,30,0,GOLD_I,68,15,14031,29,0,25,0,PLATINUM_IV,1,17,16530,18,0,14,0,GOLD_II,31,14,12452,61,0,49,0,PLATINUM_I,0,13,11171,50,0,41,0,PLATINUM_IV,33,18,18761,74,0,59,0,PLATINUM_III,75,18,19160,7,0,11,0,GOLD_II,90,18,19324,59,0,53,0,GOLD_I,41,17,17332,312,0,299,0,PLATINUM_IV,21,15,13103
43,0,44,0,PLATINUM_IV,0,14,12737,29,0,39,0,PLATINUM_IV,0,13,10441,50,0,49,0,PLATINUM_IV,0,13,11044,18,0,14,0,GOLD_II,31,12,9899,43,0,33,0,PLATINUM_IV,93,12,8768,16,0,17,0,PLATINUM_II,21,15,13832,300,0,276,0,PLATINUM_II,29,12,8889,23,0,25,0,PLATINUM_IV,79,13,11360,169,0,187,0,PLATINUM_III,75,11,8436,169,0,187,0,PLATINUM_III,75,12,9203
