ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
254,0,238,0,DIAMOND_I,75,14,12161,337,0,306,0,MASTER_I,128,13,11367,599,0,614,0,MASTER_I,18,14,12491,208,0,182,0,MASTER_I,122,13,10976,674,0,663,0,MASTER_I,430,11,8018,90,0,77,0,MASTER_I,353,17,16921,269,0,236,0,GRANDMASTER_I,548,15,14415,377,0,371,0,DIAMOND_I,75,16,16402,533,0,544,0,MASTER_I,33,16,14717,108,0,82,0,DIAMOND_I,72,13,10812
213,0,181,0,MASTER_I,70,17,16490,253,0,213,0,MASTER_I,370,18,19338,680,0,676,0,MASTER_I,334,17,17296,250,0,218,0,MASTER_I,322,16,14973,452,0,441,0,MASTER_I,178,14,12636,71,0,55,0,MASTER_I,110,15,14122,331,0,307,0,MASTER_I,222,15,13935,105,0,85,0,MASTER_I,17,14,11772,260,0,263,0,MASTER_I,29,14,11691,108,0,82,0,DIAMOND_I,72,12,9601
224,0,200,0,MASTER_I,201,18,18597,156,0,111,0,GRANDMASTER_I,529,18,19870,247,0,253,0,MASTER_I,43,18,19824,237,0,200,0,MASTER_I,248,16,16415,304,0,276,0,MASTER_I,379,16,14905,123,0,113,0,MASTER_I,270,18,22341,124,0,125,0,MASTER_I,151,17,16701,132,0,127,0,MASTER_I,323,17,17474,737,0,733,0,MASTER_I,201,15,14317,108,0,82,0,DIAMOND_I,72,17,18320
417,0,375,0,MASTER_I,58,15,13600,116,0,102,0,MASTER_I,31,13,10730,391,0,387,0,DIAMOND_I,40,13,11389,271,0,234,0,MASTER_I,163,14,11450,485,0,471,0,MASTER_I,26,11,8470,528,0,550,0,DIAMOND_I,26,14,11555,33,0,33,0,DIAMOND_I,30,12,9771,342,0,346,0,MASTER_I,1,13,10180,263,0,258,0,MASTER_I,39,11,7518,78,0,83,0,DIAMOND_I,78,10,7195
322,0,308,0,DIAMOND_I,66,15,14183,156,0,120,0,DIAMOND_I,100,14,12958,391,0,387,0,DIAMOND_I,40,14,13002,110,0,91,0,DIAMOND_I,100,14,11950,166,0,155,0,DIAMOND_I,38,13,10642,104,0,116,0,DIAMOND_II,3,13,10307,202,0,157,0,DIAMOND_I,60,12,9536,306,0,283,0,DIAMOND_II,75,14,12034,516,0,488,0,DIAMOND_I,99,11,8523,56,0,67,0,DIAMOND_II,69,12,9685
253,0,258,0,DIAMOND_II,26,9,5479,510,0,535,0,DIAMOND_II,27,10,6157,391,0,387,0,DIAMOND_I,40,10,6673,613,0,592,0,MASTER_I,58,8,4388,402,0,375,0,DIAMOND_II,50,8,4678,88,0,85,0,DIAMOND_II,48,11,8502,116,0,102,0,MASTER_I,31,10,6670,374,0,377,0,DIAMOND_I,14,11,8094,75,0,54,0,DIAMOND_II,5,11,7377,75,0,54,0,DIAMOND_II,5,9,6084
341,0,299,0,MASTER_I,90,15,14364,36,0,53,0,PLATINUM_I,44,17,16831,391,0,387,0,DIAMOND_I,40,15,14400,79,0,73,0,DIAMOND_I,0,14,11531,230,0,218,0,DIAMOND_II,45,12,9728,629,0,627,0,DIAMOND_I,56,17,17098,818,0,745,0,DIAMOND_I,94,17,17245,61,0,36,0,DIAMOND_I,50,18,20713,221,0,188,0,MASTER_I,41,15,13855,46,0,46,0,DIAMOND_III,66,12,9856
168,0,178,0,DIAMOND_I,36,10,7221,480,0,481,0,DIAMOND_I,44,11,8102,391,0,387,0,DIAMOND_I,40,10,7147,402,0,375,0,DIAMOND_II,50,10,7247,99,0,70,0,DIAMOND_I,17,8,4989,250,0,225,0,DIAMOND_I,100,12,9833,245,0,222,0,DIAMOND_I,49,12,9126,468,0,469,0,DIAMOND_II,77,13,11107,175,0,132,0,DIAMOND_I,100,12,8589,340,0,319,0,DIAMOND_I,9,10,6670
143,0,106,0,DIAMOND_II,6,13,10390,254,0,215,0,DIAMOND_II,38,13,10416,283,0,291,0,DIAMOND_III,28,12,9183,288,0,266,0,DIAMOND_I,0,12,9107,372,0,343,0,DIAMOND_III,36,10,7284,125,0,125,0,DIAMOND_I,49,14,12689,354,0,363,0,DIAMOND_III,76,14,12542,335,0,297,0,DIAMOND_II,67,15,13199,79,0,47,0,DIAMOND_IV,42,13,10713,76,0,79,0,DIAMOND_II,47,13,10639
110,0,105,0,DIAMOND_I,22,15,13894,66,0,64,0,PLATINUM_I,100,14,11748,53,0,41,0,DIAMOND_IV,0,12,9881,611,0,599,0,DIAMOND_II,9,14,11799,170,0,188,0,DIAMOND_II,18,12,9429,125,0,125,0,DIAMOND_I,49,16,15453,180,0,140,0,DIAMOND_II,71,14,11798,87,0,55,0,DIAMOND_I,66,14,12561,59,0,33,0,DIAMOND_II,52,14,11765,71,0,43,0,DIAMOND_I,100,13,10576
57,0,65,0,PLATINUM_I,65,13,10744,188,0,161,0,DIAMOND_IV,75,12,8630,468,0,469,0,DIAMOND_II,77,14,11773,119,0,122,0,DIAMOND_I,6,12,9519,242,0,217,0,DIAMOND_I,59,8,4901,228,0,186,0,DIAMOND_II,34,13,10167,92,0,82,0,DIAMOND_III,66,13,10647,60,0,55,0,DIAMOND_IV,0,14,11769,412,0,381,0,DIAMOND_III,68,13,10413,400,0,392,0,DIAMOND_II,70,11,7845
