ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
66,0,78,0,SILVER_III,31,15,14139,30,0,38,0,SILVER_II,8,14,12041,161,0,177,0,SILVER_II,0,14,11640,43,0,44,0,SILVER_II,47,14,11570,70,0,76,0,SILVER_I,1,15,13029,92,0,89,0,SILVER_III,24,17,16738,55,0,36,0,GOLD_IV,64,17,17993,227,0,230,0,SILVER_II,30,17,16851,331,0,329,0,SILVER_III,66,13,10254,70,0,78,0,GOLD_IV,6,14,12146
48,0,61,0,GOLD_IV,18,13,10541,30,0,38,0,SILVER_II,8,14,12191,349,0,344,0,GOLD_IV,0,13,10493,403,0,396,0,SILVER_I,15,13,10914,239,0,241,0,GOLD_IV,0,11,7944,341,0,339,0,SILVER_I,56,16,15156,323,0,306,0,GOLD_III,18,15,13785,91,0,91,0,GOLD_IV,71,15,14240,154,0,127,0,GOLD_I,52,14,12035,226,0,233,0,SILVER_I,0,13,10430
87,0,66,0,SILVER_III,19,10,6287,33,0,21,0,SILVER_IV,39,9,5102,65,0,73,0,SILVER_III,34,10,7007,79,0,96,0,SILVER_III,0,7,3811,116,0,128,0,SILVER_III,41,8,4633,71,0,86,0,SILVER_II,13,12,9856,738,0,743,0,SILVER_II,50,10,6789,150,0,144,0,GOLD_III,0,11,7933,93,0,95,0,SILVER_IV,19,11,7309,93,0,97,0,SILVER_II,34,9,5790
175,0,169,0,GOLD_III,22,18,22325,76,0,84,0,SILVER_III,65,18,20522,45,0,52,0,SILVER_IV,23,17,17918,81,0,87,0,SILVER_II,60,18,22811,389,0,370,0,SILVER_III,67,17,17372,71,0,86,0,SILVER_II,13,17,17910,147,0,151,0,SILVER_II,19,18,22140,177,0,169,0,SILVER_II,0,18,21077,240,0,256,0,SILVER_III,75,18,21238,93,0,97,0,SILVER_II,34,17,17214
47,0,28,0,GOLD_IV,23,18,21079,197,0,167,0,SILVER_III,59,18,19589,277,0,283,0,GOLD_IV,26,17,18107,97,0,98,0,SILVER_IV,58,16,15669,70,0,55,0,SILVER_I,28,16,15345,71,0,86,0,SILVER_II,13,17,16566,132,0,126,0,SILVER_II,74,18,19706,116,0,116,0,SILVER_II,19,17,18177,192,0,188,0,SILVER_II,17,18,18557,93,0,97,0,SILVER_II,34,17,16598
306,0,295,0,SILVER_III,59,16,15777,351,0,361,0,SILVER_I,28,16,14984,233,0,228,0,SILVER_I,69,17,16741,329,0,306,0,SILVER_II,46,12,9659,35,0,39,0,SILVER_II,61,13,10542,71,0,86,0,SILVER_II,13,14,11787,138,0,125,0,SILVER_I,39,14,12951,217,0,210,0,SILVER_III,42,15,13060,239,0,235,0,SILVER_II,41,14,12077,93,0,97,0,SILVER_II,34,13,10082
59,0,58,0,SILVER_IV,92,15,14498,467,0,450,0,SILVER_II,50,15,13520,258,0,258,0,SILVER_III,70,13,11056,252,0,263,0,SILVER_I,67,12,9896,311,0,306,0,GOLD_III,0,12,9170,71,0,86,0,SILVER_II,13,10,6592,107,0,107,0,GOLD_IV,61,14,12071,113,0,131,0,SILVER_II,59,14,13017,172,0,148,0,SILVER_III,17,14,11991,93,0,97,0,SILVER_II,34,10,7163
92,0,112,0,SILVER_II,21,14,12956,68,0,80,0,SILVER_II,0,13,10683,331,0,376,0,GOLD_III,38,13,10609,157,0,142,0,GOLD_IV,13,14,11507,147,0,149,0,GOLD_III,15,12,9552,125,0,106,0,DIAMOND_IV,0,16,16271,15,0,17,0,SILVER_IV,0,14,12788,92,0,112,0,SILVER_III,92,16,14942,161,0,178,0,GOLD_IV,23,13,11128,47,0,52,0,GOLD_IV,39,12,9700
92,0,112,0,SILVER_II,21,14,12178,979,0,980,0,SILVER_II,0,15,13910,168,0,163,0,SILVER_II,5,15,14654,326,0,338,0,SILVER_II,33,17,17038,185,0,167,0,SILVER_II,0,15,13031,132,0,145,0,SILVER_III,0,14,12055,200,0,192,0,SILVER_II,76,14,12779,251,0,270,0,SILVER_III,37,14,12300,271,0,267,0,SILVER_III,48,15,13041,233,0,255,0,SILVER_III,75,12,9078
192,0,152,0,GOLD_IV,0,7,3374,96,0,103,0,SILVER_II,67,7,3997,40,0,49,0,SILVER_IV,59,3,1113,205,0,212,0,SILVER_III,30,7,3387,56,0,73,0,SILVER_II,11,6,2569,68,0,83,0,SILVER_III,71,9,5312,73,0,80,0,SILVER_I,93,7,3705,305,0,306,0,SILVER_I,88,8,4782,43,0,36,0,SILVER_I,46,7,3252,157,0,178,0,SILVER_III,85,6,2747
