ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
245,0,255,0,IRON_III,16,18,22877,269,0,269,0,BRONZE_III,76,18,24508,417,0,415,0,BRONZE_IV,71,18,27377,45,0,55,0,IRON_I,18,18,18606,32,0,36,0,BRONZE_IV,38,18,21641,13,0,25,0,IRON_III,54,17,17141,176,0,207,0,BRONZE_III,2,11,7649,106,0,124,0,IRON_II,9,18,27571,105,0,104,0,BRONZE_II,1,18,26716,167,0,161,0,IRON_I,19,18,22553
51,0,67,0,BRONZE_IV,60,14,11635,346,0,326,0,BRONZE_III,39,14,12117,70,0,71,0,BRONZE_III,17,14,12463,10,0,28,0,BRONZE_IV,0,12,9847,190,0,192,0,IRON_II,46,12,8610,13,0,25,0,IRON_III,54,12,9297,191,0,176,0,BRONZE_IV,31,12,9785,121,0,153,0,BRONZE_IV,0,13,10388,198,0,203,0,BRONZE_III,40,12,9082,97,0,92,0,BRONZE_IV,65,10,6414
37,0,50,0,BRONZE_IV,25,14,12118,35,0,91,0,IRON_IV,32,14,12708,226,0,203,0,IRON_I,0,14,11645,16,0,40,0,BRONZE_II,25,13,10098,65,0,101,0,IRON_III,64,12,8686,13,0,25,0,IRON_III,54,14,11973,171,0,170,0,BRONZE_IV,22,15,13342,61,0,60,0,IRON_I,55,14,12537,134,0,128,0,IRON_I,1,13,11133,582,0,557,0,BRONZE_III,36,13,10618
96,0,91,0,BRONZE_IV,15,14,12181,80,0,88,0,BRONZE_III,90,15,13732,193,0,212,0,BRONZE_IV,33,14,12264,203,0,194,0,BRONZE_II,60,15,13138,266,0,270,0,BRONZE_II,57,13,9974,11,0,12,0,BRONZE_II,81,13,10753,211,0,229,0,BRONZE_IV,91,13,11009,96,0,84,0,IRON_III,60,13,10907,39,0,67,0,IRON_I,33,13,10719,129,0,113,0,BRONZE_II,21,12,9759
116,0,169,0,IRON_III,59,3,946,38,0,46,0,BRONZE_IV,0,1,0,154,0,169,0,IRON_II,43,3,1116,111,0,122,0,IRON_II,78,2,508,226,0,237,0,IRON_II,7,2,508,43,0,73,0,IRON_IV,0,1,211,147,0,218,0,IRON_III,65,2,635,96,0,84,0,IRON_III,60,3,875,475,0,490,0,BRONZE_IV,87,2,639,243,0,282,0,BRONZE_IV,0,2,639
23,0,31,0,IRON_I,13,15,13147,59,0,55,0,IRON_II,23,16,15959,401,0,376,0,BRONZE_I,54,16,15199,222,0,210,0,BRONZE_II,59,16,15300,256,0,280,0,IRON_III,61,14,12407,499,0,482,0,BRONZE_III,61,15,14589,45,0,43,0,IRON_I,37,12,9806,96,0,84,0,IRON_III,60,15,14332,216,0,197,0,BRONZE_IV,8,14,12846,143,0,153,0,IRON_II,56,11,8312
37,0,45,0,BRONZE_IV,56,18,21095,117,0,142,0,IRON_I,0,18,24471,186,0,227,0,BRONZE_IV,52,18,21895,23,0,28,0,BRONZE_IV,0,18,19772,19,0,59,0,IRON_IV,0,2,600,16,0,25,0,BRONZE_IV,13,18,24973,45,0,51,0,IRON_III,67,18,24177,102,0,109,0,BRONZE_III,0,18,22781,393,0,390,0,BRONZE_IV,0,18,24063,11,0,49,0,IRON_IV,0,4,1200
30,0,77,0,IRON_IV,2,12,9511,140,0,169,0,BRONZE_IV,43,11,8384,76,0,100,0,BRONZE_IV,27,13,10140,96,0,111,0,IRON_III,22,11,8276,37,0,37,0,IRON_I,5,11,8459,53,0,73,0,IRON_III,65,15,14001,45,0,51,0,IRON_III,67,13,10868,4,0,32,0,IRON_IV,31,16,16295,439,0,436,0,BRONZE_III,10,14,11705,111,0,127,0,IRON_I,22,14,11682
39,0,48,0,IRON_III,15,15,14454,457,0,435,0,BRONZE_IV,10,13,10514,745,0,777,0,IRON_II,0,13,9993,363,0,356,0,BRONZE_IV,0,12,9549,45,0,65,0,BRONZE_IV,2,10,6577,145,0,173,0,BRONZE_IV,44,15,13686,45,0,51,0,IRON_III,67,13,10762,170,0,204,0,IRON_II,5,14,11775,89,0,89,0,IRON_III,30,13,11358,21,0,35,0,BRONZE_IV,0,12,9894
190,0,197,0,BRONZE_IV,0,15,13550,183,0,203,0,BRONZE_IV,24,12,8660,44,0,45,0,IRON_II,70,14,12015,376,0,344,0,SILVER_IV,0,13,10065,15,0,46,0,IRON_IV,26,12,9456,130,0,149,0,IRON_III,25,14,11465,45,0,51,0,IRON_III,67,16,15938,79,0,111,0,BRONZE_IV,36,13,11132,133,0,147,0,BRONZE_IV,16,14,12519,257,0,274,0,BRONZE_III,42,13,11045
295,0,253,0,BRONZE_II,74,15,13660,128,0,148,0,IRON_IV,75,15,13873,136,0,157,0,IRON_I,13,15,14511,71,0,116,0,IRON_III,62,15,13287,278,0,284,0,BRONZE_IV,51,14,11852,157,0,167,0,IRON_III,73,16,15885,45,0,51,0,IRON_III,67,17,17120,94,0,127,0,IRON_III,46,14,12760,48,0,58,0,IRON_I,24,15,14576,366,0,336,0,BRONZE_III,23,15,13571
95,0,108,0,IRON_IV,62,17,16987,79,0,96,0,IRON_I,53,17,16863,108,0,116,0,BRONZE_IV,70,16,14907,148,0,155,0,BRONZE_IV,46,14,11710,32,0,28,0,IRON_III,51,13,11124,84,0,97,0,BRONZE_III,55,17,17012,132,0,176,0,IRON_I,1,12,9876,200,0,188,0,IRON_I,100,14,12557,352,0,356,0,BRONZE_III,21,15,13478,61,0,76,0,IRON_III,0,14,11786
