rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
338,0,288,0,GOLD_IV,74,13,10610,251,0,243,0,GOLD_IV,29,11,8454,48,0,72,0,GOLD_II,2,12,8967,398,0,371,0,PLATINUM_IV,56,10,6912,14,0,9,0,BRONZE_I,46,10,6667,100,0,68,0,GOLD_II,81,13,11272,258,0,232,0,GOLD_IV,0,12,9579,21,0,17,0,SILVER_I,20,13,11269,21,0,17,0,SILVER_I,20,11,8029,195,0,208,0,SILVER_IV,41,10,6792
104,0,113,0,BRONZE_II,57,15,14029,42,0,43,0,BRONZE_II,28,14,11674,32,0,38,0,BRONZE_III,22,14,11570,104,0,152,0,BRONZE_III,54,13,11133,14,0,9,0,BRONZE_I,46,11,7679,252,0,252,0,SILVER_III,39,13,10412,580,0,566,0,SILVER_IV,75,12,8721,238,0,235,0,BRONZE_III,26,13,10901,278,0,262,0,BRONZE_II,64,12,9190,202,0,206,0,BRONZE_II,75,11,7974
149,0,147,0,GOLD_II,93,16,14724,77,0,77,0,GOLD_IV,12,14,12088,48,0,72,0,GOLD_II,2,15,14114,32,0,38,0,BRONZE_III,22,12,9699,14,0,9,0,BRONZE_I,46,11,8354,134,0,144,0,GOLD_IV,3,16,15700,83,0,91,0,SILVER_III,71,17,16913,22,0,17,0,BRONZE_II,81,15,13969,8,0,9,0,SILVER_II,66,16,14928,87,0,83,0,GOLD_IV,68,12,9669
6,0,8,0,BRONZE_II,35,3,875,9,0,11,0,BRONZE_I,0,9,5947,21,0,20,0,BRONZE_I,100,10,6414,21,0,20,0,BRONZE_I,100,8,4663,4,0,6,0,BRONZE_II,89,9,5201,9,0,9,0,BRONZE_II,95,10,6834,9,0,9,0,BRONZE_II,95,10,7137,32,0,38,0,BRONZE_III,92,11,8070,14,0,11,0,BRONZE_I,83,8,4757,9,0,10,0,BRONZE_I,54,7,3244
41,0,57,0,SILVER_IV,37,13,11148,252,0,264,0,SILVER_III,0,13,10371,21,0,20,0,BRONZE_I,100,12,9809,298,0,299,0,SILVER_III,56,11,8084,92,0,116,0,SILVER_IV,75,10,6519,92,0,98,0,SILVER_III,0,13,10561,118,0,110,0,SILVER_III,0,10,6173,104,0,110,0,SILVER_III,0,12,9623,155,0,154,0,SILVER_III,45,10,7043,59,0,78,0,SILVER_IV,53,9,5758
49,0,58,0,SILVER_IV,38,13,10299,7,0,14,0,BRONZE_I,70,14,12811,21,0,20,0,BRONZE_I,100,15,13198,72,0,82,0,SILVER_III,0,13,10417,31,0,19,0,SILVER_IV,32,13,10922,60,0,53,0,SILVER_II,37,15,14277,103,0,88,0,SILVER_III,64,15,13386,93,0,66,0,SILVER_IV,30,14,12573,47,0,53,0,SILVER_III,37,15,13844,182,0,210,0,SILVER_III,31,13,11388
9,0,11,0,BRONZE_I,58,16,15670,9,0,11,0,BRONZE_I,58,17,16653,21,0,20,0,BRONZE_I,100,18,19396,7,0,5,0,BRONZE_II,79,15,13692,6,0,8,0,BRONZE_I,17,13,10385,35,0,39,0,SILVER_IV,35,16,14889,9,0,16,0,BRONZE_I,0,13,10992,10,0,16,0,BRONZE_I,38,16,16456,19,0,14,0,SILVER_IV,1,14,12715,26,0,22,0,BRONZE_I,92,14,12462
354,0,313,0,SILVER_II,29,18,20528,240,0,280,0,SILVER_II,52,18,19495,21,0,20,0,BRONZE_I,100,18,20326,284,0,272,0,SILVER_II,73,17,17942,63,0,80,0,SILVER_II,1,16,15445,109,0,111,0,SILVER_III,12,16,16298,600,0,571,0,SILVER_III,78,16,15289,184,0,159,0,SILVER_II,51,16,16374,290,0,294,0,SILVER_II,14,17,17107,237,0,221,0,SILVER_III,68,15,13652
235,0,212,0,SILVER_IV,54,18,23468,80,0,105,0,SILVER_IV,14,18,18654,392,0,378,0,SILVER_III,49,18,22220,39,0,33,0,BRONZE_II,32,17,17178,65,0,62,0,SILVER_IV,53,16,16330,75,0,89,0,SILVER_IV,70,18,22137,50,0,69,0,BRONZE_II,47,18,18379,24,0,27,0,BRONZE_I,70,18,21077,188,0,199,0,SILVER_III,0,18,20534,247,0,263,0,SILVER_IV,0,16,16434
26,0,14,0,GOLD_II,20,18,19846,9,0,5,0,BRONZE_I,45,18,18483,15,0,17,0,SILVER_II,37,16,14852,15,0,17,0,SILVER_II,37,16,14982,26,0,29,0,SILVER_I,63,16,16074,13,0,11,0,SILVER_II,68,18,23046,9,0,6,0,SILVER_I,0,17,17869,8,0,3,0,SILVER_III,17,18,22401,155,0,151,0,GOLD_IV,1,16,16238,65,0,65,0,GOLD_III,50,16,15994
12,0,19,0,SILVER_II,62,12,9419,9,0,5,0,BRONZE_I,45,13,11089,61,0,67,0,PLATINUM_IV,33,15,13515,155,0,151,0,GOLD_IV,1,13,10263,8,0,9,0,SILVER_II,28,12,9571,77,0,92,0,SILVER_III,31,13,10309,13,0,16,0,SILVER_III,22,11,8010,96,0,92,0,PLATINUM_IV,0,12,9425,25,0,28,0,SILVER_I,43,10,7228,15,0,11,0,SILVER_I,47,10,6943
