main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_rank,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
112,0,99,0,SILVER_III,62,13,10302,22,0,17,0,SILVER_III,19,11,8311,236,0,231,0,SILVER_II,41,10,7179,70,0,79,0,SILVER_IV,75,10,6740,79,0,86,0,SILVER_III,60,11,7590,131,0,111,0,SILVER_II,59,15,13945,63,0,73,0,SILVER,III,77,13,10744,342,0,322,0,SILVER_III,51,13,10434,333,0,317,0,SILVER_II,28,13,10090,104,0,114,0,SILVER_III,62,12,9715
219,0,202,0,PLATINUM_IV,0,17,17020,39,0,56,0,PLATINUM_IV,0,16,14736,108,0,90,0,GOLD_I,28,17,16931,39,0,36,0,SILVER_IV,17,15,13916,43,0,46,0,GOLD_I,5,14,12374,327,0,320,0,GOLD_IV,58,17,16825,63,0,73,0,SILVER,III,77,18,18728,120,0,111,0,PLATINUM_III,8,16,15975,197,0,149,0,PLATINUM_III,40,16,16310,144,0,136,0,GOLD_III,28,15,13066
152,0,134,0,GOLD_III,38,14,12069,303,0,300,0,GOLD_IV,7,13,10520,9,0,4,0,BRONZE_I,46,12,8676,23,0,20,0,SILVER_II,92,12,8655,23,0,20,0,SILVER_II,76,10,6479,24,0,25,0,SILVER,III,75,11,8360,277,0,268,0,GOLD_IV,72,11,7850,20,0,32,0,SILVER_II,18,10,6702,9,0,10,0,SILVER_I,58,11,7828,163,0,145,0,SILVER_III,89,11,7791
83,0,81,0,GOLD_III,44,16,15211,148,0,144,0,GOLD_II,31,15,14567,614,0,615,0,GOLD_III,48,17,16570,28,0,27,0,SILVER_II,18,14,12290,70,0,82,0,SILVER_II,39,14,11775,24,0,25,0,SILVER,III,75,12,8678,76,0,41,0,GOLD_I,13,15,14280,289,0,277,0,GOLD_III,53,13,11115,40,0,57,0,SILVER_IV,37,14,12291,111,0,114,0,SILVER_II,62,13,10454
68,0,62,0,GOLD_IV,0,10,7230,33,0,26,0,SILVER_II,23,9,5304,65,0,78,0,SILVER_II,2,8,4619,15,0,17,0,SILVER_II,15,9,5062,79,0,83,0,SILVER_I,42,5,2137,24,0,25,0,SILVER,III,75,11,7444,31,0,34,0,SILVER_II,72,10,6613,87,0,67,0,GOLD_IV,0,10,6714,155,0,140,0,GOLD_IV,57,9,5599,29,0,32,0,SILVER_I,9,7,3740
13,0,18,0,SILVER_IV,13,13,11283,209,0,195,0,GOLD_III,1,13,10657,24,0,41,0,SILVER_IV,23,16,15237,33,0,35,0,SILVER_I,82,14,12665,30,0,29,0,SILVER_III,87,13,11048,24,0,25,0,SILVER,III,75,15,13431,172,0,182,0,SILVER_I,9,16,15327,93,0,74,0,GOLD_III,65,15,14637,32,0,26,0,GOLD_I,33,14,11997,201,0,191,0,SILVER_III,60,13,10172
29,0,28,0,SILVER_II,38,15,13661,36,0,52,0,SILVER_II,16,14,12784,42,0,49,0,SILVER_III,60,14,12170,78,0,71,0,GOLD_IV,1,12,9331,78,0,71,0,GOLD_IV,1,10,6540,24,0,25,0,SILVER,III,75,11,7754,92,0,96,0,SILVER_III,7,12,8687,167,0,157,0,GOLD_III,60,13,11085,241,0,226,0,GOLD_IV,0,12,8839,33,0,47,0,SILVER_II,0,10,6335
202,0,212,0,GOLD_IV,0,18,19643,554,0,534,0,SILVER_I,13,18,19277,43,0,50,0,SILVER_II,37,16,15087,367,0,353,0,GOLD_III,49,16,16311,276,0,277,0,SILVER_III,16,15,13515,435,0,419,0,GOLD_IV,0,15,14113,103,0,85,0,GOLD_IV,84,15,14153,344,0,338,0,SILVER_III,70,16,16172,37,0,43,0,SILVER,III,12,16,16343,112,0,126,0,SILVER_III,75,15,14482
67,0,51,0,SILVER_I,5,14,12713,20,0,9,0,GOLD_IV,25,15,13173,609,0,622,0,SILVER_III,56,13,10121,16,0,22,0,SILVER_III,91,13,9973,27,0,34,0,SILVER_IV,75,10,6868,435,0,419,0,GOLD_IV,0,16,15695,352,0,359,0,GOLD_IV,17,15,13498,95,0,111,0,SILVER_I,45,15,13496,37,0,43,0,SILVER,III,12,14,11473,169,0,176,0,GOLD_IV,8,13,10313
305,0,281,0,SILVER_I,12,14,12468,50,0,47,0,SILVER_I,100,12,9218,143,0,152,0,GOLD_IV,26,14,11885,309,0,262,0,GOLD_III,83,11,7997,431,0,431,0,SILVER_II,87,11,7516,435,0,419,0,GOLD_IV,0,12,8700,188,0,185,0,GOLD_IV,45,11,7519,116,0,108,0,SILVER_II,32,10,6791,37,0,43,0,SILVER,III,12,10,7146,59,0,66,0,SILVER_II,3,10,6487
56,0,47,0,SILVER_I,76,14,12738,62,0,60,0,SILVER_I,15,14,12697,95,0,89,0,SILVER_I,43,15,13546,442,0,429,0,SILVER_I,42,12,9885,71,0,76,0,SILVER_II,45,12,9173,495,0,493,0,SILVER_II,71,12,9366,435,0,419,0,GOLD_IV,0,13,10445,209,0,208,0,SILVER_II,32,11,8305,37,0,43,0,SILVER,III,12,14,12161,196,0,203,0,SILVER_II,66,10,6623
16,0,7,0,BRONZE_I,81,12,9314,73,0,87,0,GOLD_III,25,10,6850,3,0,9,0,SILVER_I,15,12,8940,36,0,36,0,GOLD_IV,15,10,7109,40,0,40,0,SILVER_IV,0,10,7296,435,0,419,0,GOLD_IV,0,13,10179,319,0,316,0,GOLD_IV,14,11,8372,210,0,192,0,SILVER_I,0,12,9864,37,0,43,0,SILVER,III,12,11,7309,95,0,64,0,PLATINUM_IV,36,11,7758
71,0,88,0,SILVER,III,75,15,14431,289,0,296,0,GOLD_IV,80,14,12262,267,0,269,0,SILVER_II,33,15,14108,136,0,136,0,SILVER_IV,7,12,8873,93,0,99,0,SILVER_II,13,12,9758,96,0,105,0,SILVER_II,13,15,13282,411,0,388,0,SILVER_I,89,17,17238,211,0,226,0,SILVER_II,29,16,16066,256,0,269,0,SILVER_IV,27,15,13491,240,0,250,0,GOLD_III,31,15,13288
71,0,88,0,SILVER,III,75,17,17723,78,0,85,0,SILVER_III,39,17,16896,64,0,53,0,SILVER_III,75,17,17263,99,0,98,0,SILVER_II,42,18,20038,93,0,99,0,SILVER_II,13,16,15186,617,0,546,0,SILVER_II,45,18,22809,127,0,130,0,SILVER_II,4,18,23889,172,0,153,0,SILVER_II,28,18,19548,32,0,37,0,SILVER_II,67,18,19741,354,0,389,0,SILVER_II,80,16,15944
71,0,88,0,SILVER,III,75,12,9856,738,0,743,0,SILVER_II,50,10,6789,150,0,144,0,GOLD_III,0,11,7933,93,0,95,0,SILVER_IV,19,11,7309,93,0,99,0,SILVER_II,13,9,5790,87,0,66,0,SILVER_III,19,10,6287,33,0,21,0,SILVER_IV,39,9,5102,65,0,73,0,SILVER_III,34,10,7007,79,0,96,0,SILVER_III,0,7,3811,116,0,128,0,SILVER_III,41,8,4633
71,0,88,0,SILVER,III,75,17,17910,147,0,152,0,SILVER_II,5,18,22140,177,0,169,0,SILVER_II,0,18,21077,240,0,256,0,SILVER_III,75,18,21238,93,0,99,0,SILVER_II,13,17,17214,175,0,169,0,GOLD_III,22,18,22325,76,0,84,0,SILVER_III,65,18,20522,45,0,52,0,SILVER_IV,23,17,17918,82,0,87,0,SILVER_II,75,18,22811,389,0,370,0,SILVER_III,67,17,17372
71,0,88,0,SILVER,III,75,17,16566,132,0,126,0,SILVER_II,74,18,19706,116,0,116,0,SILVER_II,19,17,18177,192,0,188,0,SILVER_II,17,18,18557,93,0,99,0,SILVER_II,13,17,16598,47,0,28,0,GOLD_IV,23,18,21079,197,0,167,0,SILVER_III,59,18,19589,277,0,283,0,GOLD_IV,26,17,18107,97,0,98,0,SILVER_IV,58,16,15669,70,0,55,0,SILVER_I,28,16,15345
514,0,493,0,SILVER_III,19,14,11647,75,0,76,0,SILVER,III,75,13,10882,33,0,49,0,SILVER_II,24,14,12217,377,0,363,0,GOLD_IV,0,12,9780,58,0,64,0,SILVER_II,25,12,8828,47,0,57,0,SILVER_II,6,15,13928,276,0,269,0,SILVER_II,75,15,13246,185,0,196,0,GOLD_IV,11,14,12361,127,0,123,0,SILVER_I,100,14,12543,112,0,118,0,SILVER_I,24,14,11679
43,0,34,0,SILVER,III,50,11,7874,354,0,328,0,SILVER_II,65,10,6305,177,0,165,0,SILVER_III,39,10,6272,139,0,139,0,SILVER_III,57,9,5764,71,0,75,0,SILVER_III,61,7,3204,475,0,509,0,SILVER_III,12,10,6779,56,0,57,0,SILVER_III,54,10,7298,129,0,119,0,SILVER_III,67,12,8922,268,0,274,0,SILVER_III,75,11,7468,128,0,101,0,SILVER_II,12,9,5726
43,0,34,0,SILVER,III,50,14,11454,47,0,47,0,SILVER_III,58,14,11978,649,0,665,0,SILVER_II,47,14,12426,227,0,221,0,SILVER_II,8,13,10341,141,0,139,0,SILVER_II,38,12,9443,65,0,80,0,SILVER_III,72,14,11668,104,0,115,0,SILVER_III,31,12,8940,33,0,40,0,SILVER_III,16,12,9033,200,0,190,0,SILVER_II,0,10,7283,469,0,442,0,SILVER_II,37,10,7068
216,0,245,0,SILVER_III,86,15,14158,497,0,530,0,SILVER,III,40,15,13688,46,0,45,0,SILVER_IV,61,15,13682,107,0,111,0,SILVER_III,66,16,15921,996,0,985,0,SILVER_III,16,13,10874,246,0,241,0,SILVER_II,37,18,20093,210,0,255,0,SILVER_II,39,17,17782,191,0,181,0,SILVER_II,0,17,18052,80,0,100,0,SILVER_III,29,17,16879,136,0,156,0,SILVER_III,94,16,16020
168,0,167,0,SILVER_III,73,17,16869,497,0,530,0,SILVER,III,40,16,14887,159,0,180,0,SILVER_III,61,17,17202,229,0,213,0,SILVER_III,7,15,13319,287,0,249,0,SILVER_II,21,14,12571,46,0,38,0,SILVER_III,27,18,18504,46,0,58,0,SILVER_IV,36,16,15051,74,0,92,0,SILVER_III,98,17,18222,71,0,71,0,SILVER_III,39,16,15569,152,0,144,0,SILVER_III,56,15,13232
191,0,187,0,SILVER_II,21,12,8900,497,0,530,0,SILVER,III,40,11,8359,138,0,148,0,SILVER_II,10,12,9235,264,0,247,0,SILVER_II,38,11,7897,287,0,249,0,SILVER_II,21,11,7600,529,0,534,0,SILVER_IV,75,11,7942,99,0,120,0,SILVER_II,26,11,7586,68,0,80,0,SILVER_III,16,12,9859,181,0,210,0,SILVER_III,62,9,5378,152,0,144,0,SILVER_III,56,9,5225
75,0,77,0,SILVER_III,0,18,20911,497,0,530,0,SILVER,III,40,18,20864,99,0,82,0,SILVER_II,3,18,22782,72,0,71,0,SILVER_III,68,18,19306,475,0,497,0,SILVER_IV,45,16,15289,224,0,232,0,SILVER_III,72,16,15364,233,0,230,0,SILVER_IV,90,18,19534,463,0,465,0,SILVER_III,52,18,20607,34,0,36,0,SILVER_IV,57,16,16178,269,0,235,0,SILVER_IV,75,15,13188
274,0,283,0,SILVER_III,0,14,12745,497,0,530,0,SILVER,III,40,16,14753,80,0,90,0,SILVER_III,15,15,13786,200,0,198,0,SILVER_III,13,14,12586,311,0,320,0,SILVER_II,43,13,10652,334,0,331,0,SILVER_III,61,17,17373,75,0,106,0,SILVER_IV,81,16,14953,253,0,244,0,SILVER_II,0,15,14351,204,0,200,0,SILVER_II,24,15,14594,91,0,86,0,SILVER_III,75,13,11368
86,0,59,0,SILVER_III,75,15,14447,116,0,145,0,SILVER_III,42,14,12024,220,0,224,0,SILVER_III,0,17,17506,41,0,35,0,SILVER_IV,62,16,15408,102,0,102,0,SILVER_III,75,13,11305,278,0,276,0,SILVER,III,57,14,11530,160,0,146,0,SILVER_II,1,15,13512,219,0,227,0,SILVER_III,37,14,12338,471,0,467,0,SILVER_IV,16,12,9881,238,0,249,0,SILVER_IV,48,13,10627
