rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
17,0,22,0,GOLD_IV,56,10,6674,41,0,34,0,GOLD_II,64,10,6125,10,0,19,0,GOLD_III,40,10,6251,60,0,68,0,GOLD_II,50,9,5238,20,0,23,0,GOLD_II,60,8,4690,30,0,29,0,GOLD_III,79,12,9000,16,0,17,0,GOLD_I,17,10,6645,22,0,6,0,GOLD_II,62,12,9368,51,0,46,0,PLATINUM_IV,48,9,5563,62,0,71,0,GOLD_IV,20,8,4616
31,0,25,0,PLATINUM_III,8,9,5404,42,0,40,0,PLATINUM_IV,54,7,3654,15,0,8,0,GOLD_II,65,9,5943,78,0,58,0,PLATINUM_IV,1,7,3238,63,0,50,0,PLATINUM_II,56,6,2626,59,0,44,0,PLATINUM_II,95,7,3272,16,0,17,0,GOLD_I,17,6,2473,44,0,36,0,GOLD_I,13,7,3312,22,0,27,0,GOLD_III,75,7,3286,27,0,46,0,GOLD_II,82,7,3202
37,0,9,0,GOLD_I,12,8,4782,465,0,434,0,PLATINUM_II,2,7,3969,82,0,94,0,PLATINUM_II,42,8,5028,37,0,31,0,PLATINUM_III,0,7,3305,295,0,277,0,PLATINUM_II,57,6,3066,360,0,339,0,PLATINUM_II,50,8,4695,123,0,132,0,PLATINUM_II,55,7,3357,152,0,165,0,PLATINUM_II,44,9,5477,20,0,19,0,PLATINUM_IV,0,4,1615,148,0,143,0,PLATINUM_III,56,6,2900
37,0,9,0,GOLD_I,12,14,11871,465,0,434,0,PLATINUM_II,2,12,8661,210,0,209,0,PLATINUM_IV,46,12,9398,266,0,257,0,PLATINUM_II,0,12,9318,134,0,103,0,PLATINUM_III,36,10,7050,109,0,91,0,PLATINUM_II,78,12,9899,38,0,29,0,PLATINUM_IV,75,11,7603,226,0,198,0,PLATINUM_IV,0,13,10297,408,0,384,0,PLATINUM_II,0,10,6882,576,0,545,0,PLATINUM_III,16,10,6611
37,0,9,0,GOLD_I,12,18,19951,465,0,434,0,PLATINUM_II,2,16,15900,76,0,74,0,GOLD_II,93,16,16301,15,0,20,0,PLATINUM_I,16,16,16399,154,0,142,0,PLATINUM_III,75,14,12838,168,0,157,0,PLATINUM_IV,69,16,16122,203,0,194,0,PLATINUM_II,0,16,16304,150,0,129,0,PLATINUM_III,0,17,17104,408,0,384,0,PLATINUM_II,0,18,19759,42,0,31,0,GOLD_I,86,16,15038
77,0,76,0,PLATINUM_III,79,18,21148,36,0,27,0,GOLD_I,100,17,17691,7,0,4,0,GOLD_I,55,18,20619,61,0,45,0,PLATINUM_III,55,17,18227,45,0,57,0,PLATINUM_II,80,16,15613,58,0,46,0,DIAMOND_IV,62,18,19460,58,0,43,0,PLATINUM_III,77,18,24359,40,0,43,0,PLATINUM_IV,13,18,18794,25,0,15,0,GOLD_I,95,18,20311,35,0,21,0,PLATINUM_II,17,16,15490
34,0,25,0,PLATINUM_IV,98,14,12750,109,0,83,0,PLATINUM_II,9,16,15245,13,0,16,0,GOLD_I,100,16,16076,73,0,55,0,DIAMOND_IV,6,17,18045,36,0,21,0,PLATINUM_IV,1,15,13355,58,0,46,0,DIAMOND_IV,62,18,20264,9,0,7,0,PLATINUM_III,81,17,16782,12,0,18,0,GOLD_II,27,17,17249,25,0,15,0,GOLD_I,95,18,18625,53,0,50,0,PLATINUM_II,16,14,12946
184,0,164,0,PLATINUM_I,46,18,18990,31,0,22,0,GOLD_I,53,14,12518,42,0,32,0,GOLD_I,80,18,18473,44,0,18,0,PLATINUM_IV,74,15,14168,44,0,18,0,PLATINUM_IV,74,16,14923,25,0,15,0,GOLD_I,95,14,11593,58,0,46,0,DIAMOND_IV,62,17,18103,20,0,19,0,PLATINUM_IV,47,13,11167,25,0,15,0,GOLD_I,95,16,15122,9,0,7,0,GOLD_I,0,13,11061
10,0,7,0,GOLD_I,16,18,18374,30,0,19,0,GOLD_II,72,15,13311,12,0,12,0,GOLD_I,20,18,20734,33,0,25,0,GOLD_I,46,18,18495,202,0,207,0,PLATINUM_IV,2,14,11803,6,0,6,0,GOLD_I,35,15,14580,30,0,26,0,GOLD_II,7,15,13216,7,0,11,0,GOLD_III,6,15,13617,25,0,15,0,GOLD_I,95,16,14731,10,0,7,0,SILVER_I,39,15,13710
23,0,36,0,GOLD_II,0,17,17825,7,0,7,0,GOLD_III,73,16,15269,11,0,11,0,GOLD_I,64,17,17245,32,0,18,0,PLATINUM_IV,0,18,19027,32,0,18,0,PLATINUM_IV,0,17,17040,56,0,43,0,PLATINUM_IV,34,17,17400,25,0,17,0,GOLD_I,1,18,19125,25,0,17,0,GOLD_I,1,18,20321,25,0,15,0,GOLD_I,95,16,16285,10,0,7,0,SILVER_I,39,16,14976
