rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience
46,0,48,0,SILVER_II,55,18,21091,54,0,41,0,GOLD_I,36,18,21452,51,0,46,0,SILVER_II,34,18,19498,30,0,35,0,SILVER_I,25,16,15529,71,0,87,0,SILVER_III,88,16,15486,75,0,63,0,PLATINUM_IV,31,16,15998,106,0,131,0,SILVER_I,70,16,15507,103,0,167,0,BRONZE_IV,0,16,15578,48,0,56,0,SILVER_IV,91,17,17790,41,0,45,0,GOLD_IV,62,17,17827
91,0,71,0,GOLD_III,75,12,9780,29,0,14,0,SILVER_I,52,12,9469,24,0,24,0,GOLD_IV,28,13,10356,318,0,290,0,PLATINUM_I,11,10,6562,37,0,50,0,SILVER_IV,64,10,6161,156,0,125,0,GOLD_III,37,11,8267,22,0,27,0,SILVER_I,0,11,7538,32,0,11,0,PLATINUM_III,17,11,8099,7,0,3,0,BRONZE_I,98,9,5993,7,0,3,0,BRONZE_I,98,9,5064
12,0,19,0,SILVER_II,43,11,8087,29,0,14,0,SILVER_I,52,15,13219,89,0,67,0,GOLD_IV,20,13,10106,111,0,110,0,PLATINUM_IV,31,11,7945,91,0,71,0,GOLD_III,75,14,12760,69,0,83,0,GOLD_III,32,12,9499,77,0,86,0,PLATINUM_IV,9,13,10737,459,0,427,0,PLATINUM_IV,5,13,10665,16,0,17,0,BRONZE_IV,48,14,12090,12,0,19,0,SILVER_II,43,12,9542
91,0,71,0,GOLD_III,75,15,14043,29,0,14,0,SILVER_I,52,14,12984,89,0,67,0,GOLD_IV,20,14,12487,111,0,110,0,PLATINUM_IV,31,13,11026,111,0,110,0,PLATINUM_IV,31,13,10399,77,0,86,0,PLATINUM_IV,9,14,12045,16,0,17,0,BRONZE_IV,48,12,8892,69,0,83,0,GOLD_III,32,14,11917,459,0,427,0,PLATINUM_IV,5,12,9830,12,0,19,0,SILVER_II,43,12,9335
91,0,71,0,GOLD_III,75,15,14144,29,0,14,0,SILVER_I,52,15,13239,33,0,36,0,GOLD_IV,61,17,16811,31,0,33,0,GOLD_IV,61,16,14812,5,0,7,0,BRONZE_II,12,13,11341,18,0,13,0,BRONZE_I,100,15,13704,28,0,35,0,PLATINUM_IV,0,18,20633,77,0,69,0,GOLD_I,11,17,17821,36,0,24,0,SILVER_III,3,16,16207,13,0,25,0,SILVER_IV,73,15,14030
52,0,62,0,SILVER_III,21,14,11816,29,0,14,0,SILVER_I,52,14,12226,467,0,468,0,GOLD_III,10,15,14339,127,0,118,0,GOLD_II,18,13,10798,178,0,178,0,GOLD_IV,16,10,6793,37,0,35,0,GOLD_IV,10,12,9390,30,0,30,0,SILVER_I,77,11,7627,30,0,30,0,SILVER_I,68,11,7884,107,0,102,0,GOLD_III,8,12,8781,62,0,53,0,GOLD_IV,92,11,7874
335,0,329,0,GOLD_IV,0,13,10048,275,0,278,0,GOLD_IV,0,12,9315,237,0,232,0,GOLD_IV,11,14,11540,266,0,258,0,GOLD_IV,0,13,10104,111,0,120,0,GOLD_IV,23,10,6992,251,0,261,0,SILVER_I,38,15,13240,198,0,149,0,SILVER_I,34,14,11552,156,0,140,0,GOLD_IV,27,14,12824,225,0,235,0,GOLD_IV,28,14,11926,92,0,121,0,GOLD_IV,13,13,10886
546,0,532,0,SILVER_II,71,15,14563,228,0,236,0,SILVER_II,38,16,15320,101,0,91,0,SILVER_III,60,15,14115,184,0,187,0,SILVER_II,50,15,14500,69,0,73,0,SILVER_III,92,12,9614,251,0,261,0,SILVER_I,38,18,18416,228,0,204,0,SILVER_II,73,16,15192,292,0,300,0,SILVER_I,57,17,17874,67,0,91,0,SILVER_II,37,15,14450,62,0,56,0,SILVER_II,0,16,15415
78,0,92,0,SILVER_I,55,18,20128,66,0,69,0,GOLD_III,14,16,14939,103,0,94,0,SILVER_III,17,16,15327,121,0,124,0,SILVER_I,5,17,17956,450,0,458,0,GOLD_IV,1,15,14041,251,0,261,0,SILVER_I,38,18,19369,411,0,428,0,GOLD_IV,12,15,13783,132,0,169,0,GOLD_IV,0,17,17720,351,0,343,0,SILVER_I,68,15,13684,51,0,50,0,SILVER_III,57,14,11492
109,0,117,0,SILVER_II,67,12,9573,24,0,25,0,SILVER_II,15,13,10882,172,0,145,0,SILVER_II,26,13,10420,30,0,29,0,SILVER_II,0,10,7163,58,0,62,0,SILVER_II,55,10,6717,251,0,261,0,SILVER_I,38,15,13426,27,0,21,0,SILVER_II,34,14,11489,143,0,131,0,SILVER_I,72,14,12886,167,0,163,0,SILVER_I,49,14,11841,187,0,185,0,SILVER_I,0,11,7416
114,0,96,0,SILVER_II,28,17,16606,478,0,434,0,SILVER_II,10,18,19046,229,0,181,0,GOLD_IV,14,17,17806,518,0,537,0,SILVER_I,47,17,18283,11,0,12,0,SILVER_II,1,16,14747,251,0,261,0,SILVER_I,38,16,16056,249,0,242,0,SILVER_II,6,15,14122,475,0,488,0,SILVER_III,39,15,14636,40,0,47,0,SILVER_III,13,16,15066,144,0,111,0,GOLD_IV,49,13,11267
258,0,258,0,GOLD_IV,28,12,8802,50,0,50,0,SILVER_II,3,12,8644,114,0,99,0,GOLD_IV,0,12,9196,54,0,57,0,SILVER_I,0,10,7192,87,0,89,0,SILVER_II,75,10,6340,161,0,172,0,GOLD_IV,57,13,10836,58,0,57,0,SILVER_I,37,13,10897,139,0,130,0,GOLD_IV,15,15,13397,173,0,165,0,GOLD_IV,45,12,8639,108,0,111,0,GOLD_IV,77,10,6879
108,0,111,0,GOLD_IV,77,16,15252,50,0,48,0,SILVER_III,87,14,12779,35,0,34,0,GOLD_II,9,14,12937,9,0,7,0,BRONZE_I,38,14,12277,9,0,7,0,BRONZE_I,38,13,10839,12,0,26,0,IRON_II,51,15,14673,92,0,91,0,SILVER_IV,3,18,20480,87,0,84,0,SILVER_I,50,16,16257,6,0,13,0,BRONZE_III,67,14,11630,6,0,13,0,BRONZE_III,67,13,10593
50,0,47,0,GOLD_III,4,12,9186,47,0,56,0,GOLD_III,52,13,10235,38,0,41,0,GOLD_III,40,13,10843,33,0,48,0,GOLD_IV,0,11,8577,17,0,16,0,SILVER_I,15,10,6684,21,0,15,0,SILVER_I,92,15,13912,29,0,25,0,SILVER_I,24,13,10867,41,0,30,0,PLATINUM_II,38,14,12737,154,0,149,0,GOLD_III,17,14,12384,251,0,263,0,GOLD_IV,42,12,9858
70,0,59,0,GOLD_II,61,18,21823,28,0,32,0,GOLD_IV,0,18,20131,17,0,17,0,GOLD_IV,17,18,18386,55,0,64,0,GOLD_IV,0,16,16419,25,0,24,0,GOLD_IV,45,15,13433,21,0,15,0,SILVER_I,92,16,16189,14,0,8,0,SILVER_I,69,16,15928,7,0,3,0,GOLD_IV,71,17,17461,76,0,78,0,GOLD_I,34,16,15294,20,0,31,0,SILVER_I,18,14,12219
96,0,100,0,GOLD_III,92,15,14351,96,0,100,0,GOLD_III,92,14,11818,38,0,24,0,GOLD_I,53,16,15565,183,0,207,0,PLATINUM_IV,0,13,10900,105,0,126,0,GOLD_IV,75,12,8988,21,0,15,0,SILVER_I,92,17,18185,63,0,54,0,GOLD_I,46,16,15790,55,0,52,0,GOLD_I,30,15,14470,202,0,208,0,SILVER_I,0,15,14209,37,0,32,0,GOLD_I,100,14,11870
158,0,171,0,GOLD_II,36,8,5004,31,0,21,0,GOLD_IV,48,7,3493,31,0,33,0,GOLD_I,60,9,5965,48,0,62,0,SILVER_I,0,7,3842,48,0,50,0,GOLD_III,49,7,3372,21,0,15,0,SILVER_I,92,11,8433,38,0,33,0,GOLD_II,20,10,6403,128,0,121,0,PLATINUM_IV,30,10,6515,48,0,32,0,GOLD_I,60,10,7268,50,0,34,0,PLATINUM_III,7,9,5527
33,0,29,0,GOLD_IV,29,16,14764,27,0,36,0,GOLD_IV,91,16,15413,61,0,30,0,PLATINUM_II,37,17,17482,43,0,41,0,GOLD_IV,55,16,16097,51,0,40,0,GOLD_I,0,15,13347,21,0,15,0,SILVER_I,92,17,17503,31,0,38,0,GOLD_IV,3,15,13578,98,0,91,0,GOLD_IV,18,15,14111,208,0,224,0,GOLD_III,46,17,16808,99,0,97,0,PLATINUM_IV,0,15,13154
8,0,11,0,SILVER_I,6,13,10397,11,0,11,0,SILVER_I,24,12,9352,8,0,13,0,BRONZE_I,0,11,7997,29,0,33,0,SILVER_IV,51,10,7160,32,0,27,0,SILVER_III,96,10,7086,8,0,10,0,SILVER_IV,69,14,12554,14,0,5,0,BRONZE_I,67,15,14111,28,0,17,0,SILVER_I,1,14,12478,37,0,41,0,SILVER_II,36,13,11043,11,0,9,0,SILVER_II,40,11,7749
17,0,16,0,SILVER_II,76,17,16722,17,0,12,0,SILVER_II,66,16,14989,17,0,12,0,SILVER_II,66,17,16796,122,0,120,0,SILVER_I,52,15,14117,8,0,11,0,SILVER_IV,73,15,13796,30,0,29,0,SILVER_II,31,16,16050,14,0,5,0,BRONZE_I,67,15,14608,28,0,17,0,SILVER_I,1,15,14069,15,0,14,0,SILVER_IV,42,14,12692,17,0,18,0,SILVER_I,32,15,13817
12,0,14,0,SILVER_IV,52,13,10496,6,0,4,0,BRONZE_II,64,12,9040,25,0,26,0,SILVER_III,84,13,10873,163,0,177,0,SILVER_III,50,12,9630,163,0,177,0,SILVER_III,50,13,10191,9,0,4,0,BRONZE_I,45,15,13670,14,0,5,0,BRONZE_I,67,16,15400,28,0,17,0,SILVER_I,1,15,14038,13,0,10,0,SILVER_IV,61,14,12185,15,0,17,0,SILVER_IV,56,13,10617
18,0,16,0,SILVER_II,80,18,19323,14,0,9,0,SILVER_I,7,17,17232,30,0,29,0,SILVER_II,31,18,19228,13,0,11,0,GOLD_IV,47,17,17651,37,0,37,0,SILVER_III,16,15,13887,11,0,10,0,SILVER_II,0,16,15715,14,0,5,0,BRONZE_I,67,16,14822,28,0,17,0,SILVER_I,1,14,12720,28,0,35,0,SILVER_II,74,15,13923,24,0,25,0,SILVER_II,14,14,11691
92,0,87,0,SILVER_III,45,14,12347,6,0,7,0,SILVER_IV,99,12,9933,10,0,3,0,SILVER_II,57,14,12413,21,0,10,0,SILVER_II,1,13,10003,10,0,3,0,SILVER_II,41,13,9980,16,0,19,0,SILVER_IV,65,12,9853,14,0,5,0,BRONZE_I,67,12,9740,28,0,17,0,SILVER_I,1,12,9240,18,0,22,0,SILVER_II,0,12,9137,20,0,23,0,SILVER_II,11,10,6697
81,0,84,0,GOLD_IV,72,13,9993,311,0,297,0,PLATINUM_III,55,11,8425,65,0,77,0,PLATINUM_IV,0,12,9473,23,0,21,0,SILVER_I,100,10,7188,35,0,39,0,GOLD_II,50,10,6768,70,0,61,0,PLATINUM_IV,45,14,12381,70,0,61,0,PLATINUM_IV,45,12,9777,165,0,164,0,GOLD_III,38,14,11685,121,0,111,0,PLATINUM_IV,6,12,9048,129,0,98,0,PLATINUM_I,14,12,9424
406,0,403,0,PLATINUM_III,9,15,13029,114,0,118,0,GOLD_II,17,15,13794,13,0,21,0,SILVER_I,33,14,12991,23,0,21,0,SILVER_I,100,16,15314,74,0,74,0,GOLD_II,11,13,11315,194,0,209,0,SILVER_I,48,14,12883,126,0,116,0,PLATINUM_IV,34,14,11671,68,0,70,0,PLATINUM_IV,0,15,14303,38,0,33,0,GOLD_II,32,13,10952,76,0,66,0,GOLD_IV,31,13,10334
222,0,201,0,PLATINUM_IV,0,14,12221,125,0,116,0,GOLD_III,43,15,13284,28,0,37,0,GOLD_IV,0,11,7870,23,0,21,0,SILVER_I,100,14,12432,273,0,235,0,PLATINUM_II,31,13,10106,41,0,34,0,GOLD_III,11,15,13436,86,0,58,0,PLATINUM_III,91,13,10603,67,0,51,0,PLATINUM_IV,1,14,12723,13,0,22,0,SILVER_I,32,14,12540,22,0,26,0,SILVER_I,44,12,9756
149,0,137,0,PLATINUM_II,42,15,13086,144,0,131,0,GOLD_III,59,12,8835,22,0,22,0,GOLD_IV,59,11,8453,23,0,21,0,SILVER_I,100,12,9893,61,0,58,0,GOLD_II,8,10,6135,61,0,58,0,GOLD_II,8,16,14869,42,0,39,0,GOLD_III,0,14,12307,47,0,47,0,GOLD_II,42,15,13966,66,0,63,0,GOLD_I,33,14,11561,79,0,77,0,PLATINUM_IV,74,13,10753
31,0,35,0,SILVER_II,92,15,13643,25,0,14,0,SILVER_I,0,15,13697,197,0,199,0,GOLD_IV,74,15,14694,121,0,123,0,GOLD_IV,27,14,12958,198,0,198,0,GOLD_IV,47,13,10949,48,0,47,0,GOLD_IV,37,16,15597,135,0,135,0,GOLD_IV,0,16,16173,66,0,91,0,GOLD_III,36,15,13380,49,0,42,0,GOLD_IV,99,15,13388,29,0,26,0,SILVER_II,13,15,13169
75,0,86,0,GOLD_IV,13,18,20531,25,0,14,0,SILVER_I,0,17,18027,103,0,109,0,GOLD_IV,71,18,21574,18,0,27,0,SILVER_III,39,17,18080,121,0,123,0,GOLD_IV,27,16,15458,409,0,402,0,GOLD_III,37,18,24040,126,0,103,0,PLATINUM_IV,0,18,21597,444,0,459,0,SILVER_III,69,18,24053,84,0,96,0,GOLD_III,12,18,18922,43,0,47,0,GOLD_IV,28,17,16606
194,0,182,0,GOLD_III,0,15,13190,25,0,14,0,SILVER_I,0,18,20684,56,0,60,0,GOLD_IV,17,15,13668,121,0,123,0,GOLD_IV,27,14,11787,19,0,17,0,SILVER_I,84,12,8878,97,0,97,0,SILVER_I,51,15,14676,38,0,46,0,GOLD_IV,0,15,14241,215,0,213,0,GOLD_IV,60,16,15631,50,0,69,0,GOLD_IV,29,15,13427,694,0,699,0,GOLD_IV,30,15,13267
79,0,61,0,GOLD_III,44,16,14864,25,0,14,0,SILVER_I,0,16,15932,220,0,222,0,GOLD_III,5,16,16194,121,0,123,0,GOLD_IV,27,15,13043,340,0,328,0,GOLD_IV,64,13,11340,68,0,71,0,GOLD_III,0,16,15887,75,0,63,0,GOLD_IV,15,13,10744,176,0,177,0,GOLD_II,11,14,12254,80,0,86,0,SILVER_II,41,12,9851,90,0,90,0,GOLD_IV,90,12,9829
