rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
219,0,200,0,MASTER_I,11,15,13807,338,0,304,0,MASTER_I,27,14,12837,108,0,115,0,PLATINUM_I,75,16,16185,511,0,482,0,DIAMOND_III,48,14,12849,89,0,104,0,PLATINUM_I,25,14,12014,229,0,177,0,PLATINUM_I,75,18,20789,67,0,52,0,PLATINUM_I,75,16,14800,153,0,134,0,DIAMOND_III,8,15,14672,226,0,178,0,DIAMOND_I,91,16,15868,66,0,78,0,DIAMOND_III,0,14,11604
168,0,159,0,DIAMOND_III,9,17,16792,174,0,207,0,DIAMOND_III,1,15,13179,108,0,115,0,PLATINUM_I,75,14,11834,55,0,52,0,PLATINUM_I,72,14,12311,89,0,104,0,PLATINUM_I,25,13,11048,147,0,125,0,DIAMOND_III,47,18,18947,163,0,148,0,DIAMOND_I,41,16,15473,526,0,541,0,DIAMOND_II,16,17,18106,312,0,300,0,DIAMOND_III,43,15,14225,158,0,148,0,PLATINUM_I,75,14,12623
215,0,229,0,DIAMOND_IV,75,18,18380,163,0,148,0,DIAMOND_I,41,18,20014,108,0,115,0,PLATINUM_I,75,18,19849,279,0,269,0,DIAMOND_III,0,18,18755,234,0,229,0,DIAMOND_III,2,15,13231,147,0,125,0,DIAMOND_III,47,18,18971,270,0,220,0,DIAMOND_I,0,18,22452,326,0,306,0,DIAMOND_IV,75,17,17994,272,0,236,0,MASTER_I,0,18,19897,336,0,317,0,DIAMOND_II,44,16,16155
293,0,272,0,DIAMOND_II,92,16,15258,92,0,111,0,DIAMOND_IV,93,13,11238,108,0,115,0,PLATINUM_I,75,14,11779,265,0,271,0,DIAMOND_IV,0,12,9766,487,0,493,0,DIAMOND_II,3,12,8845,394,0,373,0,DIAMOND_III,33,14,12393,126,0,96,0,PLATINUM_I,75,15,13176,127,0,155,0,DIAMOND_IV,75,16,16088,342,0,345,0,PLATINUM_I,41,13,11064,336,0,317,0,DIAMOND_II,44,14,11772
394,0,373,0,DIAMOND_III,33,18,18658,264,0,266,0,DIAMOND_IV,24,15,14669,108,0,115,0,PLATINUM_I,75,17,17241,753,0,710,0,DIAMOND_I,55,15,13303,549,0,539,0,DIAMOND_IV,35,15,14328,74,0,80,0,DIAMOND_III,41,16,15302,820,0,749,0,DIAMOND_I,48,14,12188,469,0,463,0,PLATINUM_III,16,16,15536,347,0,318,0,DIAMOND_III,27,14,12601,483,0,481,0,DIAMOND_II,61,13,11058
111,0,79,0,DIAMOND_IV,41,18,27926,41,0,22,0,PLATINUM_I,90,18,21449,150,0,120,0,DIAMOND_I,3,18,24209,50,0,45,0,DIAMOND_IV,37,18,27042,77,0,61,0,DIAMOND_I,100,18,21428,165,0,137,0,DIAMOND_I,36,18,27614,313,0,295,0,DIAMOND_I,0,18,23305,201,0,185,0,PLATINUM_I,75,18,19108,37,0,29,0,DIAMOND_IV,93,16,16459,200,0,138,0,DIAMOND_I,13,17,17479
31,0,31,0,PLATINUM_I,36,16,15207,25,0,26,0,PLATINUM_I,12,16,15257,61,0,64,0,PLATINUM_II,90,18,18605,342,0,324,0,DIAMOND_IV,76,16,16072,109,0,100,0,DIAMOND_IV,80,13,10938,62,0,48,0,PLATINUM_I,65,17,17837,46,0,42,0,DIAMOND_IV,19,14,12835,5,0,17,0,PLATINUM_I,0,14,11703,131,0,113,0,PLATINUM_I,38,16,14890,54,0,57,0,PLATINUM_I,100,13,10505
138,0,136,0,DIAMOND_IV,67,16,14703,623,0,641,0,PLATINUM_II,43,15,13179,411,0,381,0,PLATINUM_I,38,15,13744,184,0,186,0,DIAMOND_IV,0,14,11981,43,0,57,0,PLATINUM_I,75,13,11150,60,0,65,0,PLATINUM_II,68,16,15323,296,0,303,0,PLATINUM_I,75,18,19886,269,0,252,0,DIAMOND_II,55,16,16420,412,0,360,0,DIAMOND_III,42,17,17261,583,0,565,0,DIAMOND_IV,0,16,14773
578,0,597,0,PLATINUM_IV,79,15,13347,537,0,533,0,MASTER_I,0,14,12101,76,0,88,0,PLATINUM_II,31,13,11162,53,0,53,0,PLATINUM_II,22,13,11186,43,0,57,0,PLATINUM_I,75,12,8624,327,0,295,0,DIAMOND_IV,45,16,15081,335,0,311,0,DIAMOND_III,33,15,14455,635,0,613,0,PLATINUM_I,42,15,14181,137,0,140,0,DIAMOND_IV,27,14,12858,63,0,54,0,PLATINUM_II,30,12,9672
90,0,65,0,DIAMOND_I,75,16,14968,170,0,162,0,DIAMOND_IV,18,13,11210,44,0,51,0,DIAMOND_IV,75,12,9877,391,0,383,0,DIAMOND_III,30,13,10679,43,0,57,0,PLATINUM_I,75,11,7879,400,0,394,0,DIAMOND_I,2,15,13854,275,0,243,0,DIAMOND_IV,44,15,13372,648,0,615,0,MASTER_I,77,15,14432,93,0,70,0,DIAMOND_III,53,15,13243,69,0,77,0,PLATINUM_I,76,14,11890
64,0,45,0,PLATINUM_I,75,12,8643,216,0,227,0,DIAMOND_IV,92,10,7063,44,0,51,0,DIAMOND_IV,75,10,6955,391,0,383,0,DIAMOND_III,30,9,5482,43,0,57,0,PLATINUM_I,75,9,5577,43,0,57,0,PLATINUM_I,75,13,10513,46,0,47,0,PLATINUM_I,75,11,8029,94,0,63,0,PLATINUM_I,75,12,8856,166,0,108,0,DIAMOND_I,19,11,7534,60,0,68,0,PLATINUM_I,60,10,6125
98,0,89,0,PLATINUM_I,75,15,14546,228,0,211,0,PLATINUM_I,75,15,14694,328,0,305,0,DIAMOND_I,91,16,15579,340,0,341,0,DIAMOND_II,9,16,15479,43,0,57,0,PLATINUM_I,75,13,10422,351,0,317,0,DIAMOND_III,74,16,16175,144,0,149,0,PLATINUM_I,75,16,15912,262,0,228,0,PLATINUM_I,75,18,18962,168,0,146,0,DIAMOND_II,0,16,15294,460,0,445,0,PLATINUM_I,78,15,14070
51,0,45,0,DIAMOND_IV,38,16,15880,95,0,68,0,DIAMOND_I,0,14,12574,28,0,23,0,PLATINUM_I,75,14,12236,19,0,13,0,PLATINUM_I,70,13,10155,153,0,131,0,PLATINUM_II,99,12,8602,40,0,42,0,DIAMOND_III,18,13,10784,779,0,741,0,DIAMOND_II,75,9,5728,13,0,10,0,PLATINUM_I,77,12,9661,29,0,15,0,PLATINUM_I,75,12,9798,396,0,334,0,DIAMOND_IV,31,11,8332
615,0,662,0,PLATINUM_II,69,13,10798,193,0,214,0,DIAMOND_II,48,14,12114,304,0,255,0,DIAMOND_I,30,12,9320,8,0,19,0,PLATINUM_I,19,13,10386,31,0,24,0,PLATINUM_I,100,11,8358,70,0,59,0,DIAMOND_II,45,16,14931,73,0,79,0,DIAMOND_IV,52,14,11967,102,0,95,0,DIAMOND_IV,61,14,12099,29,0,15,0,PLATINUM_I,75,13,11089,396,0,334,0,DIAMOND_IV,31,13,10128
52,0,55,0,DIAMOND_III,9,16,15215,75,0,57,0,PLATINUM_I,75,17,16679,86,0,71,0,DIAMOND_IV,25,16,15535,24,0,17,0,PLATINUM_I,75,15,13279,41,0,49,0,DIAMOND_II,25,13,10442,70,0,59,0,DIAMOND_II,45,14,12824,34,0,22,0,PLATINUM_I,75,14,11845,126,0,126,0,DIAMOND_III,58,14,12063,29,0,15,0,PLATINUM_I,75,12,9465,396,0,334,0,DIAMOND_IV,31,11,8451
80,0,47,0,DIAMOND_III,0,12,9858,41,0,49,0,DIAMOND_II,25,12,8588,96,0,82,0,DIAMOND_II,57,12,9432,117,0,130,0,DIAMOND_IV,63,12,9071,89,0,105,0,DIAMOND_IV,48,9,6078,52,0,55,0,DIAMOND_III,9,14,12962,34,0,22,0,PLATINUM_I,75,16,14820,126,0,126,0,DIAMOND_III,58,14,12377,29,0,15,0,PLATINUM_I,75,13,10291,396,0,334,0,DIAMOND_IV,31,11,8344
109,0,111,0,DIAMOND_III,37,16,14830,548,0,548,0,DIAMOND_II,0,16,14949,121,0,93,0,MASTER_I,20,17,16868,97,0,95,0,PLATINUM_II,18,14,12214,267,0,267,0,DIAMOND_III,16,14,12204,338,0,308,0,DIAMOND_II,75,15,13986,764,0,757,0,DIAMOND_I,15,14,12126,99,0,103,0,PLATINUM_I,6,13,11088,29,0,15,0,PLATINUM_I,75,13,10013,396,0,334,0,DIAMOND_IV,31,12,8772
9,0,8,0,GOLD_I,1,15,13990,454,0,440,0,GRANDMASTER_I,565,14,12600,261,0,245,0,PLATINUM_II,27,14,12830,107,0,100,0,DIAMOND_I,49,14,11690,143,0,131,0,PLATINUM_II,27,14,11493,5,0,8,0,PLATINUM_I,4,18,18791,50,0,34,0,DIAMOND_II,17,15,13361,24,0,33,0,PLATINUM_III,75,18,19036,173,0,135,0,DIAMOND_II,61,16,16086,168,0,143,0,DIAMOND_I,1,14,12709
