rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
194,0,208,0,BRONZE_III,88,12,8757,30,0,31,0,BRONZE_II,17,11,7564,78,0,90,0,BRONZE_III,20,10,6994,121,0,116,0,BRONZE_III,65,10,6929,177,0,176,0,SILVER_IV,71,9,5072,33,0,41,0,BRONZE_II,15,13,10657,202,0,197,0,BRONZE_II,46,12,8767,162,0,121,0,BRONZE_I,16,13,10926,61,0,46,0,BRONZE_II,36,11,7562,63,0,75,0,BRONZE_II,46,10,7187
194,0,208,0,BRONZE_III,88,15,14699,23,0,27,0,BRONZE_IV,94,14,12170,15,0,25,0,BRONZE_III,55,14,12711,18,0,21,0,BRONZE_IV,93,13,11437,115,0,119,0,BRONZE_III,31,13,10758,23,0,42,0,BRONZE_III,32,13,11307,32,0,42,0,BRONZE_IV,82,13,11243,99,0,95,0,BRONZE_III,83,13,11374,35,0,34,0,BRONZE_III,0,12,8905,39,0,58,0,BRONZE_III,39,12,8729
7,0,14,0,IRON_I,43,13,10272,12,0,28,0,BRONZE_IV,12,12,9763,147,0,141,0,BRONZE_II,56,14,12069,292,0,316,0,BRONZE_III,72,12,8918,154,0,164,0,BRONZE_III,51,11,8405,67,0,77,0,BRONZE_III,38,14,11591,327,0,330,0,BRONZE_III,66,16,15654,14,0,36,0,BRONZE_IV,15,14,12780,55,0,74,0,IRON_II,62,15,13525,31,0,45,0,SILVER_II,5,13,11063
106,0,93,0,BRONZE_III,48,15,13747,81,0,71,0,SILVER_III,14,13,10048,47,0,55,0,BRONZE_II,52,15,14170,27,0,37,0,BRONZE_II,0,13,10761,27,0,36,0,BRONZE_IV,44,12,9401,67,0,77,0,BRONZE_III,38,12,9887,84,0,89,0,BRONZE_II,29,10,7286,58,0,70,0,BRONZE_III,47,12,8698,158,0,143,0,SILVER_III,25,12,8928,10,0,20,0,BRONZE_II,8,10,7033
177,0,167,0,BRONZE_II,57,17,17637,668,0,707,0,BRONZE_IV,77,15,14473,165,0,169,0,BRONZE_II,68,16,15894,216,0,248,0,BRONZE_II,16,17,16488,258,0,253,0,BRONZE_III,64,16,16181,67,0,77,0,BRONZE_III,38,15,13583,143,0,133,0,SILVER_IV,8,16,16059,72,0,92,0,BRONZE_IV,80,15,13149,257,0,237,0,SILVER_III,14,18,21381,91,0,86,0,BRONZE_II,10,15,13448
13,0,25,0,BRONZE_IV,82,11,8326,43,0,52,0,BRONZE_II,93,12,8625,191,0,206,0,SILVER_IV,55,12,9700,1,0,13,0,BRONZE_IV,85,10,6279,17,0,59,0,IRON_IV,0,9,6056,67,0,77,0,BRONZE_III,38,12,8903,43,0,64,0,IRON_I,49,13,10981,12,0,23,0,BRONZE_III,49,11,7498,15,0,12,0,BRONZE_II,86,13,10326,306,0,298,0,SILVER_III,31,13,10345
182,0,195,0,BRONZE_II,57,16,15240,143,0,150,0,SILVER_IV,80,15,14266,308,0,354,0,BRONZE_IV,11,18,20046,45,0,49,0,BRONZE_IV,99,14,12401,246,0,229,0,BRONZE_II,54,13,11343,67,0,77,0,BRONZE_III,38,18,22036,121,0,120,0,BRONZE_II,6,17,16986,97,0,81,0,BRONZE_III,82,16,15382,111,0,127,0,BRONZE_III,66,18,21009,42,0,51,0,BRONZE_III,23,16,15608
36,0,53,0,BRONZE_IV,43,17,16767,161,0,213,0,BRONZE_IV,92,14,12104,26,0,29,0,BRONZE_III,65,15,13270,62,0,80,0,BRONZE_I,75,13,10567,90,0,111,0,BRONZE_IV,0,13,10638,107,0,99,0,BRONZE_II,38,17,18125,80,0,96,0,BRONZE_III,69,16,15472,33,0,28,0,BRONZE_III,27,15,14538,50,0,69,0,BRONZE_III,61,15,14452,60,0,67,0,BRONZE_II,6,14,12841
10,0,19,0,BRONZE_III,34,17,16588,30,0,37,0,BRONZE_III,32,18,18976,86,0,108,0,BRONZE_III,35,16,16304,185,0,167,0,BRONZE_III,46,16,15403,230,0,222,0,BRONZE_III,63,16,15664,240,0,216,0,BRONZE_III,48,17,17428,80,0,96,0,BRONZE_III,69,16,15730,97,0,87,0,BRONZE_II,17,18,19641,184,0,196,0,BRONZE_III,48,16,15100,13,0,22,0,BRONZE_IV,49,14,12729
20,0,25,0,BRONZE_II,60,9,5969,29,0,24,0,BRONZE_II,93,8,4459,13,0,19,0,BRONZE_III,77,9,5196,27,0,33,0,BRONZE_I,78,8,4581,59,0,59,0,SILVER_IV,0,7,3410,23,0,26,0,BRONZE_I,9,8,4254,117,0,117,0,BRONZE_II,71,7,3551,7,0,4,0,BRONZE_III,74,3,723,6,0,12,0,BRONZE_II,53,7,3309,449,0,423,0,SILVER_IV,0,6,2693
