result,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
1,30,24,SILVER_I,21,18,26459,63,42,GOLD_II,24,18,26595,63,42,GOLD_II,24,18,24955,5,6,BRONZE_II,12,18,22946,93,90,SILVER_III,42,18,20008,70,64,SILVER_IV,0,18,25481,17,15,SILVER_I,62,18,23696,205,204,BRONZE_I,41,18,19920,12,13,GOLD_IV,43,18,23436,35,47,SILVER_II,59,18,18376
1,14,11,SILVER_I,52,7,3264,30,24,SILVER_I,21,8,4622,117,161,SILVER_IV,0,7,3410,5,6,BRONZE_II,12,8,5026,58,66,SILVER_II,51,6,3164,25,21,SILVER_II,40,1,0,18,3,SILVER_II,86,7,3335,122,83,GOLD_III,50,8,4914,127,113,SILVER_I,20,5,2376,127,113,SILVER_I,20,6,2582
0,33,33,SILVER_II,7,17,16737,610,591,SILVER_I,39,18,19941,17,19,SILVER_IV,21,17,17016,5,6,BRONZE_II,12,18,18418,7,10,SILVER_IV,0,16,15518,26,25,SILVER_IV,75,18,22436,26,25,SILVER_IV,75,18,22162,23,33,SILVER_III,59,18,22133,42,43,SILVER_I,62,18,19460,90,102,SILVER_II,46,17,16633
0,33,33,SILVER_II,7,13,11357,610,591,SILVER_I,39,13,10344,46,49,SILVER_I,40,13,10764,5,6,BRONZE_II,12,13,10178,95,142,SILVER_III,16,11,8377,76,88,SILVER_II,31,16,14786,76,88,SILVER_II,31,14,12616,60,78,SILVER_IV,56,15,14498,15,16,SILVER_II,0,14,12435,15,9,SILVER_III,11,14,12628
0,37,45,SILVER_III,41,11,8422,69,56,GOLD_III,32,9,6004,55,49,SILVER_I,61,9,6101,5,6,BRONZE_II,12,8,4437,17,22,BRONZE_I,51,8,4850,95,142,SILVER_III,16,12,8640,16,21,SILVER_III,52,10,7200,16,21,SILVER_III,52,12,8639,7,7,BRONZE_II,78,9,5225,10,8,BRONZE_I,42,8,4391
1,7,5,BRONZE_II,81,15,13741,46,46,GOLD_III,78,16,15242,46,46,GOLD_III,78,18,21872,46,46,GOLD_III,78,14,12420,46,46,GOLD_III,78,13,11317,40,47,BRONZE_I,16,14,12000,22,32,SILVER_IV,35,16,15851,22,32,SILVER_IV,35,16,14989,22,32,SILVER_IV,35,14,12616,95,114,SILVER_IV,11,13,11126
1,7,5,BRONZE_II,81,15,14119,52,58,SILVER_II,11,16,15150,70,48,PLATINUM_IV,0,18,20802,141,147,SILVER_I,55,16,15180,10,10,SILVER_IV,1,14,12094,24,25,SILVER_II,87,16,15366,7,18,BRONZE_I,0,15,13840,28,44,BRONZE_II,0,14,12263,39,26,GOLD_I,34,14,12315,9,21,SILVER_IV,0,11,8144
0,7,5,BRONZE_II,81,13,10200,44,52,SILVER_IV,72,11,7321,63,76,SILVER_II,63,12,9032,186,197,BRONZE_I,21,11,7881,5,6,BRONZE_I,22,10,6689,5,6,BRONZE_I,22,15,13178,94,75,PLATINUM_IV,0,14,12631,63,83,BRONZE_I,38,13,11187,39,46,SILVER_III,42,13,11093,62,75,SILVER_II,47,10,7064
0,7,5,BRONZE_II,81,11,8522,11,19,BRONZE_I,11,11,7312,12,41,BRONZE_IV,0,11,7453,154,160,SILVER_III,75,11,7359,154,160,SILVER_III,75,11,7898,62,75,SILVER_II,47,13,10416,14,9,SILVER_IV,19,13,11362,9,5,BRONZE_I,40,14,11819,41,28,GOLD_III,18,11,8087,54,61,GOLD_IV,0,12,9143
1,7,5,BRONZE_II,81,13,10791,60,75,SILVER_IV,0,12,9088,7,3,BRONZE_II,98,12,9527,45,49,GOLD_IV,12,13,10335,150,146,GOLD_IV,36,10,6726,146,140,GOLD_III,0,14,11497,15,17,SILVER_IV,17,11,7308,19,30,SILVER_IV,89,12,9382,19,30,SILVER_IV,89,9,6067,19,30,SILVER_IV,89,9,5955
0,7,5,BRONZE_II,81,16,15230,7,5,BRONZE_II,81,15,13676,3,8,BRONZE_III,48,14,11625,13,8,SILVER_II,27,16,14831,13,8,SILVER_II,27,14,12614,6,6,BRONZE_III,57,18,18784,23,34,SILVER_IV,17,16,15779,6,6,BRONZE_I,57,17,17683,19,30,SILVER_IV,89,14,12717,49,69,BRONZE_I,81,13,11302
1,7,5,BRONZE_II,81,11,7308,39,41,SILVER_II,92,13,10494,59,73,BRONZE_II,55,12,9243,60,53,GOLD_IV,1,12,9799,60,53,GOLD_IV,1,11,8477,336,310,PLATINUM_II,71,14,12086,5,6,BRONZE_I,1,11,7755,11,16,SILVER_IV,46,12,8597,29,14,GOLD_IV,26,12,8582,23,24,SILVER_III,47,10,7059
0,10,7,BRONZE_I,46,15,14364,210,176,SILVER_I,57,15,14595,89,77,BRONZE_II,59,14,12657,99,97,BRONZE_II,72,12,8830,122,129,SILVER_IV,75,12,9455,16,18,BRONZE_II,13,13,11274,217,212,BRONZE_II,5,11,7391,30,46,BRONZE_IV,56,12,8790,6,8,BRONZE_II,20,11,8550,19,17,SILVER_IV,62,12,9414
1,41,61,IRON_I,51,18,21166,19,31,BRONZE_II,66,18,20429,36,63,BRONZE_IV,61,18,22635,73,89,BRONZE_I,75,18,21437,17,23,BRONZE_II,1,17,17876,16,18,BRONZE_II,13,18,25319,16,18,BRONZE_II,13,18,21312,68,73,SILVER_IV,0,18,25683,334,333,BRONZE_II,48,18,22317,220,205,SILVER_IV,0,17,17105
1,220,233,SILVER_III,29,15,13312,32,40,BRONZE_II,32,12,9521,155,180,BRONZE_II,59,14,12761,222,200,SILVER_III,89,16,15701,76,115,BRONZE_IV,2,9,6108,16,18,BRONZE_II,13,16,15782,19,16,SILVER_I,42,17,17942,23,17,BRONZE_IV,53,16,15198,183,195,BRONZE_III,31,14,12928,156,170,SILVER_IV,41,13,11098
0,219,187,GOLD_IV,15,17,18034,62,59,BRONZE_II,74,17,16514,10,7,IRON_I,90,18,18743,10,7,IRON_I,90,18,22179,174,175,SILVER_IV,0,17,18083,16,18,BRONZE_II,13,18,21880,21,19,SILVER_II,0,17,17561,266,302,BRONZE_III,5,17,18046,266,302,BRONZE_III,5,16,15134,21,34,BRONZE_IV,0,15,14326
1,62,82,BRONZE_III,0,16,15740,18,14,BRONZE_II,88,15,13307,111,143,BRONZE_II,51,17,17423,100,124,SILVER_IV,14,14,12135,211,212,SILVER_IV,0,14,12080,16,18,BRONZE_II,13,15,14321,359,339,SILVER_I,79,18,20543,214,236,SILVER_IV,25,15,14599,69,68,SILVER_I,1,16,16192,294,285,BRONZE_I,65,15,13727
0,86,98,SILVER_IV,34,18,24084,41,51,BRONZE_II,25,18,18602,37,52,BRONZE_II,4,17,17691,41,44,SILVER_II,80,18,22593,35,30,BRONZE_III,41,17,16585,16,18,BRONZE_II,13,18,20021,28,25,SILVER_IV,19,17,17887,29,25,SILVER_IV,17,18,24220,299,306,BRONZE_II,61,17,16773,65,73,BRONZE_I,15,15,14603
1,88,74,PLATINUM_III,59,15,13135,57,44,PLATINUM_IV,78,12,9837,111,101,GOLD_II,73,14,12131,5,5,GOLD_IV,3,11,7695,4,9,SILVER_II,51,11,7452,16,18,BRONZE_II,13,14,12877,74,85,PLATINUM_IV,60,15,14261,71,68,SILVER_I,15,15,13299,96,87,SILVER_I,13,13,11308,28,24,SILVER_III,10,13,11197
1,45,61,BRONZE_II,20,18,19214,15,22,BRONZE_II,57,18,23369,48,61,BRONZE_II,77,18,23050,6,19,BRONZE_III,75,17,17032,17,25,BRONZE_II,68,17,17204,59,48,SILVER_IV,34,17,17726,50,49,SILVER_IV,5,17,17577,11,10,BRONZE_I,22,18,19334,23,24,BRONZE_I,100,18,20443,56,65,BRONZE_III,4,16,16217
0,56,68,BRONZE_II,24,12,8923,49,47,BRONZE_II,72,11,7857,69,59,SILVER_III,70,10,6647,26,40,BRONZE_III,44,10,6150,17,25,BRONZE_II,68,9,5079,230,200,SILVER_IV,0,11,7706,97,93,SILVER_IV,0,13,11360,126,117,SILVER_IV,75,12,9804,458,425,BRONZE_II,12,11,7919,43,43,SILVER_IV,1,11,8061
1,87,102,BRONZE_II,27,16,15643,62,55,BRONZE_I,0,18,18385,209,216,BRONZE_II,20,16,15398,487,489,SILVER_IV,73,15,14128,17,25,BRONZE_II,68,17,17921,27,36,BRONZE_II,0,17,17747,150,124,BRONZE_III,27,16,16375,57,64,SILVER_IV,5,15,14541,34,32,SILVER_II,21,18,19291,121,110,SILVER_IV,34,15,14532
0,38,47,BRONZE_I,31,14,12938,52,71,BRONZE_II,11,11,8055,71,81,BRONZE_II,77,13,10481,26,40,BRONZE_III,44,12,9220,17,25,BRONZE_II,68,12,9066,70,72,SILVER_IV,0,15,13749,89,92,SILVER_IV,84,14,12054,334,315,SILVER_III,0,14,12466,355,357,BRONZE_IV,0,13,10613,287,299,SILVER_IV,78,12,8857
0,112,109,SILVER_III,46,18,19807,240,239,SILVER_IV,11,18,24458,108,114,BRONZE_III,27,17,17350,26,40,BRONZE_III,44,18,22254,17,25,BRONZE_II,68,17,16878,22,28,BRONZE_II,81,18,23853,72,87,SILVER_IV,13,16,16187,74,86,BRONZE_II,17,18,18783,107,101,BRONZE_III,7,18,20438,106,81,SILVER_I,14,16,15967
0,95,92,SILVER_III,2,14,12904,33,24,BRONZE_I,41,14,12504,42,37,BRONZE_I,20,15,14190,45,61,BRONZE_II,20,14,11573,17,25,BRONZE_II,68,13,10223,17,14,BRONZE_I,100,14,11636,46,48,IRON_I,43,14,12548,72,76,SILVER_IV,24,16,15440,48,51,BRONZE_II,74,14,12734,5,5,BRONZE_II,30,13,11324
0,160,148,SILVER_IV,57,12,9089,61,49,BRONZE_II,29,10,7061,18,39,BRONZE_IV,26,12,9172,45,61,BRONZE_II,20,10,7010,17,25,BRONZE_II,68,10,6204,271,297,SILVER_IV,0,14,12617,29,38,BRONZE_II,53,12,8807,127,98,SILVER_II,54,14,12004,60,69,BRONZE_II,54,11,7658,121,101,SILVER_IV,33,11,8037
0,9,8,BRONZE_II,82,17,16658,84,91,BRONZE_II,51,15,13784,55,60,SILVER_III,36,12,9594,24,24,BRONZE_I,100,14,11704,750,760,IRON_I,98,14,12771,214,205,BRONZE_II,28,15,14676,166,167,SILVER_IV,37,16,16273,34,31,SILVER_II,6,16,16065,96,137,BRONZE_II,75,14,12956,61,68,SILVER_III,1,15,13335
1,9,8,BRONZE_II,82,14,11943,17,16,BRONZE_I,30,14,12447,36,36,SILVER_IV,23,13,11328,374,332,BRONZE_II,29,13,10718,361,362,BRONZE_IV,62,11,8284,120,105,BRONZE_II,31,13,10534,120,105,BRONZE_II,31,10,7033,40,48,BRONZE_III,72,14,11727,39,47,BRONZE_III,36,11,8027,20,34,BRONZE_IV,75,11,7695
0,9,8,BRONZE_II,82,18,27477,2,20,BRONZE_IV,72,18,19856,73,73,BRONZE_I,80,18,25876,13,21,BRONZE_I,18,18,22009,73,64,SILVER_III,0,17,17631,27,33,SILVER_III,19,18,21284,188,204,BRONZE_IV,38,18,24605,16,13,BRONZE_I,22,18,21451,50,47,SILVER_III,4,18,19677,83,89,SILVER_IV,42,18,19541
0,9,8,BRONZE_II,82,15,13521,150,142,SILVER_II,13,16,15386,331,299,SILVER_III,44,18,18986,10,3,BRONZE_III,90,17,17860,86,86,BRONZE_II,90,15,14559,24,20,SILVER_I,0,18,21263,26,43,BRONZE_II,27,17,16705,130,157,BRONZE_III,37,17,17853,72,81,SILVER_IV,59,17,16487,337,336,SILVER_III,32,16,14729
1,9,8,BRONZE_II,82,14,12525,100,126,SILVER_IV,0,14,13003,28,46,BRONZE_III,55,15,13153,294,300,SILVER_II,65,15,13565,211,200,SILVER_III,0,13,10516,42,69,SILVER_IV,30,18,19363,401,424,SILVER_IV,33,12,9912,56,85,BRONZE_I,23,13,10820,48,56,SILVER_IV,16,16,14920,194,205,SILVER_IV,10,13,10775
1,9,8,BRONZE_II,82,16,15794,150,161,GOLD_II,25,18,19927,56,60,SILVER_I,47,16,15800,8,15,SILVER_IV,27,14,12141,307,282,GOLD_IV,13,16,15071,307,282,GOLD_IV,13,16,16030,26,29,SILVER_III,94,15,13087,26,29,SILVER_III,94,17,17502,5,6,SILVER_II,23,18,19303,16,17,GOLD_IV,24,15,14050
1,9,8,BRONZE_II,82,18,19547,24,30,BRONZE_I,78,18,18753,41,30,SILVER_III,42,18,19094,31,29,SILVER_IV,0,17,16713,40,35,SILVER_IV,38,15,14064,8,14,BRONZE_II,29,16,16168,76,79,SILVER_III,44,16,15336,76,79,SILVER_III,44,18,18567,5,9,BRONZE_III,75,16,15272,370,368,SILVER_IV,53,15,14377
1,218,214,BRONZE_I,16,17,16568,271,248,BRONZE_II,73,15,14020,748,752,BRONZE_III,43,17,17250,243,208,SILVER_IV,63,14,11539,84,93,BRONZE_II,49,15,13218,376,364,BRONZE_III,30,16,14837,256,246,BRONZE_I,17,14,12204,362,385,BRONZE_I,3,13,11392,367,378,BRONZE_II,15,13,11348,92,96,SILVER_IV,12,11,7980
