rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
120,0,117,0,GOLD_III,0,18,21279,180,0,189,0,GOLD_IV,15,16,15755,75,0,68,0,GOLD_III,0,18,20618,231,0,227,0,GOLD_II,46,16,15691,390,0,361,0,PLATINUM_IV,37,15,13570,204,0,205,0,GOLD_III,15,18,23550,46,0,38,0,GOLD_III,29,18,19602,253,0,227,0,GOLD_IV,75,18,19727,231,0,222,0,PLATINUM_IV,28,18,20142,140,0,173,0,GOLD_IV,0,15,13626
216,0,230,0,GOLD_IV,23,14,11641,402,0,390,0,GOLD_IV,75,15,13396,75,0,68,0,GOLD_III,0,15,13784,166,0,151,0,GOLD_II,56,10,7092,124,0,117,0,GOLD_III,14,14,11647,205,0,200,0,PLATINUM_IV,16,16,16007,235,0,229,0,GOLD_III,15,15,14314,88,0,61,0,GOLD_III,77,16,15018,42,0,41,0,GOLD_III,33,14,12633,162,0,178,0,GOLD_III,53,12,9945
183,0,177,0,GOLD_II,97,15,14426,46,0,52,0,GOLD_III,26,14,12557,75,0,68,0,GOLD_III,0,15,14213,116,0,121,0,GOLD_II,13,14,12738,93,0,99,0,GOLD_III,19,14,11502,68,0,81,0,GOLD_IV,14,13,11121,110,0,92,0,GOLD_II,39,13,10680,384,0,406,0,SILVER_I,69,13,11311,145,0,148,0,PLATINUM_IV,0,14,11939,47,0,45,0,GOLD_IV,40,11,8327
170,0,163,0,GOLD_II,5,12,9046,666,0,627,0,PLATINUM_IV,39,10,6534,75,0,68,0,GOLD_III,0,11,7573,217,0,218,0,GOLD_III,94,11,7624,369,0,376,0,GOLD_IV,46,11,7838,394,0,331,0,PLATINUM_III,56,13,10140,528,0,529,0,PLATINUM_IV,0,15,13941,368,0,369,0,PLATINUM_IV,39,13,11241,399,0,372,0,GOLD_I,0,13,10086,394,0,403,0,GOLD_II,0,13,10039
50,0,52,0,GOLD_II,92,18,24995,24,0,22,0,GOLD_II,40,18,20442,71,0,64,0,GOLD_I,6,18,23706,54,0,40,0,GOLD_II,59,18,19533,45,0,36,0,GOLD_II,14,18,18988,65,0,64,0,GOLD_I,47,18,26947,112,0,107,0,GOLD_III,79,18,22521,82,0,77,0,PLATINUM_IV,76,18,26217,211,0,198,0,PLATINUM_IV,14,18,24853,256,0,279,0,PLATINUM_IV,0,17,17645
149,0,141,0,GOLD_III,5,16,15587,57,0,74,0,GOLD_II,59,15,13856,118,0,101,0,PLATINUM_IV,0,15,14695,23,0,20,0,GOLD_II,5,14,12522,340,0,312,0,GOLD_I,37,13,10112,106,0,82,0,PLATINUM_IV,13,17,18064,112,0,107,0,GOLD_III,79,16,15619,82,0,77,0,PLATINUM_IV,76,17,17327,186,0,163,0,PLATINUM_IV,1,16,16211,68,0,62,0,GOLD_I,18,16,15624
269,0,264,0,PLATINUM_IV,7,18,23168,68,0,83,0,GOLD_III,29,16,15990,351,0,351,0,GOLD_II,64,13,10404,140,0,134,0,PLATINUM_IV,13,18,18545,191,0,164,0,GOLD_I,15,16,15880,261,0,252,0,PLATINUM_IV,13,18,20761,112,0,107,0,GOLD_III,79,18,19968,82,0,77,0,PLATINUM_IV,76,18,19505,127,0,124,0,PLATINUM_IV,26,18,19074,245,0,231,0,GOLD_I,37,15,14131
71,0,79,0,GOLD_I,67,15,13479,509,0,483,0,PLATINUM_I,1,12,9887,527,0,527,0,GOLD_II,0,16,14988,171,0,176,0,PLATINUM_IV,37,13,10631,33,0,27,0,GOLD_I,47,11,7409,320,0,287,0,GOLD_II,60,13,9970,112,0,107,0,GOLD_III,79,13,11156,82,0,77,0,PLATINUM_IV,76,14,12827,123,0,108,0,PLATINUM_IV,28,12,9543,172,0,151,0,PLATINUM_IV,0,11,7407
110,0,126,0,GOLD_III,59,15,14359,144,0,139,0,GOLD_III,80,17,16640,35,0,37,0,GOLD_IV,9,15,13675,248,0,263,0,GOLD_III,74,15,14545,314,0,298,0,GOLD_II,4,13,10014,450,0,451,0,GOLD_IV,26,14,12627,17,0,14,0,SILVER_II,68,13,10634,90,0,108,0,GOLD_III,0,14,11807,16,0,15,0,SILVER_I,18,13,10457,45,0,39,0,GOLD_IV,60,13,10281
929,0,923,0,GOLD_III,73,18,24361,144,0,139,0,GOLD_III,80,18,27212,153,0,157,0,GOLD_III,15,18,20112,32,0,36,0,GOLD_IV,34,18,20058,175,0,170,0,GOLD_III,35,18,19664,324,0,324,0,GOLD_III,0,18,21214,85,0,70,0,GOLD_III,67,18,19592,237,0,222,0,GOLD_IV,75,18,21779,197,0,186,0,GOLD_IV,61,18,20695,395,0,382,0,GOLD_IV,72,18,18378
62,0,49,0,PLATINUM_IV,1,18,18784,144,0,139,0,GOLD_III,80,18,23116,146,0,121,0,SILVER_I,66,17,17467,25,0,23,0,GOLD_IV,26,14,12689,75,0,81,0,GOLD_IV,16,15,13103,387,0,385,0,GOLD_IV,0,16,16400,182,0,167,0,GOLD_II,15,15,13672,115,0,112,0,GOLD_IV,41,16,16422,119,0,125,0,GOLD_IV,96,16,15540,319,0,310,0,PLATINUM_IV,0,13,10971
208,0,169,0,GOLD_IV,0,15,13291,144,0,139,0,GOLD_III,80,16,15324,230,0,217,0,GOLD_IV,38,14,11906,181,0,177,0,GOLD_IV,80,13,10790,433,0,428,0,GOLD_IV,64,12,9480,196,0,206,0,GOLD_IV,38,12,9468,33,0,26,0,SILVER_I,32,12,9928,233,0,216,0,SILVER_I,53,12,9755,603,0,585,0,GOLD_III,11,12,8742,111,0,106,0,GOLD_IV,73,11,7968
462,0,446,0,GOLD_III,1,17,16750,144,0,139,0,GOLD_III,80,16,15384,316,0,321,0,GOLD_III,10,15,14117,73,0,65,0,GOLD_III,2,17,17074,112,0,109,0,GOLD_III,34,16,15404,174,0,172,0,GOLD_III,0,16,15603,105,0,105,0,GOLD_IV,26,14,11926,251,0,253,0,GOLD_IV,67,15,13860,25,0,24,0,SILVER_II,75,14,12488,29,0,30,0,SILVER_I,53,14,11630
151,0,130,0,GOLD_III,89,17,17157,227,0,206,0,GOLD_III,54,17,16736,169,0,196,0,GOLD_III,38,18,18504,161,0,170,0,GOLD_III,51,18,20887,45,0,40,0,GOLD_IV,58,15,13630,19,0,12,0,SILVER_I,100,18,19630,76,0,69,0,GOLD_III,21,17,18025,80,0,60,0,GOLD_III,75,15,14351,105,0,114,0,GOLD_III,16,14,12690,66,0,76,0,GOLD_IV,75,15,13431
248,0,217,0,GOLD_III,43,15,13745,18,0,8,0,SILVER_I,100,15,13039,38,0,34,0,GOLD_III,26,15,13163,161,0,170,0,GOLD_III,51,14,12397,606,0,593,0,GOLD_III,56,15,14102,141,0,144,0,GOLD_III,28,14,12827,23,0,21,0,GOLD_IV,1,14,12013,77,0,79,0,GOLD_III,13,13,10993,251,0,251,0,GOLD_IV,33,13,10691,90,0,96,0,GOLD_III,16,12,8825
41,0,45,0,GOLD_III,0,16,15237,66,0,52,0,GOLD_II,40,14,12937,40,0,43,0,GOLD_IV,52,15,13529,161,0,170,0,GOLD_III,51,15,13136,230,0,245,0,GOLD_IV,62,13,10471,76,0,73,0,GOLD_IV,20,15,14014,100,0,122,0,GOLD_IV,50,15,13367,96,0,85,0,GOLD_II,0,15,13999,22,0,17,0,SILVER_I,100,13,10447,268,0,241,0,GOLD_I,60,13,10581
286,0,280,0,GOLD_II,15,14,12376,97,0,105,0,GOLD_III,82,13,10223,119,0,137,0,GOLD_III,7,12,9320,161,0,170,0,GOLD_III,51,11,7516,230,0,245,0,GOLD_IV,62,10,7174,70,0,57,0,GOLD_III,14,15,13350,152,0,168,0,GOLD_III,51,13,11320,450,0,416,0,GOLD_III,0,15,14170,101,0,98,0,GOLD_IV,61,14,11855,72,0,91,0,GOLD_III,30,12,8762
67,0,58,0,GOLD_III,29,18,18904,52,0,41,0,GOLD_IV,90,17,16626,37,0,33,0,GOLD_IV,0,18,19565,161,0,170,0,GOLD_III,51,17,17813,421,0,427,0,GOLD_II,4,16,15344,204,0,218,0,GOLD_IV,17,17,16606,342,0,322,0,GOLD_III,19,18,18643,61,0,56,0,GOLD_IV,77,16,15064,282,0,275,0,GOLD_III,61,15,13107,28,0,32,0,GOLD_IV,18,14,12335
