result,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
1,7,5,BRONZE_IV,80,14,12049,18,11,BRONZE_I,100,15,13711,26,29,SILVER_IV,44,15,13321,64,70,SILVER_I,56,15,13761,59,79,SILVER_III,36,13,10074,30,33,SILVER_IV,7,13,10684,55,49,GOLD_IV,57,14,12465,48,45,BRONZE_I,8,13,11068,72,84,SILVER_III,61,13,11375,72,72,SILVER_II,37,11,8234
0,32,17,PLATINUM_IV,1,13,10483,9,6,SILVER_II,97,15,13039,167,159,PLATINUM_III,31,11,7519,14,13,BRONZE_I,73,14,12834,3,7,BRONZE_IV,46,14,11943,22,17,GOLD_III,12,16,14852,9,12,GOLD_III,94,14,11682,14,9,BRONZE_I,49,16,15188,10,9,SILVER_IV,41,14,11462,10,9,SILVER_IV,41,16,16331
1,32,17,PLATINUM_IV,1,14,11666,9,6,SILVER_II,97,15,13137,167,159,PLATINUM_III,31,13,10490,14,13,BRONZE_I,73,14,11802,3,7,BRONZE_IV,46,14,11893,203,182,GOLD_IV,50,13,10123,175,152,PLATINUM_IV,29,11,7459,152,156,GOLD_IV,70,12,9113,229,222,PLATINUM_IV,14,13,11123,431,413,GOLD_IV,1,13,10444
1,38,59,BRONZE_IV,0,16,16325,136,137,SILVER_IV,36,18,18431,65,84,SILVER_IV,15,18,19674,24,40,BRONZE_IV,33,16,14915,3,7,BRONZE_IV,46,16,15111,9,14,BRONZE_IV,49,16,15891,5,7,BRONZE_II,0,15,13980,28,35,BRONZE_I,13,16,15621,34,29,BRONZE_I,6,16,16276,207,180,SILVER_IV,45,14,11816
0,15,16,BRONZE_IV,64,13,10469,180,175,SILVER_I,43,18,19669,161,149,SILVER_III,0,15,14407,50,57,BRONZE_III,62,13,10315,3,7,BRONZE_IV,46,15,13371,10,10,BRONZE_IV,42,17,16841,29,30,BRONZE_I,19,14,12872,352,358,SILVER_IV,1,18,19056,209,198,SILVER_IV,13,16,15229,26,25,BRONZE_I,0,14,12063
0,331,334,BRONZE_I,10,10,6732,472,466,BRONZE_II,14,11,7642,247,237,SILVER_IV,0,10,6172,126,111,SILVER_II,23,10,6983,3,7,BRONZE_IV,46,11,8233,238,231,SILVER_III,1,14,12084,125,144,BRONZE_IV,53,12,9651,284,274,SILVER_II,18,13,10532,81,94,BRONZE_IV,0,10,7073,81,94,BRONZE_IV,0,10,6671
0,67,69,SILVER_IV,30,15,14145,15,17,BRONZE_I,15,18,19572,32,32,BRONZE_I,36,17,18192,15,11,BRONZE_I,41,15,13381,3,7,BRONZE_IV,46,15,13635,25,25,SILVER_IV,0,17,17421,115,127,SILVER_IV,0,17,17576,49,53,SILVER_IV,61,16,15084,67,79,SILVER_III,61,15,13845,30,23,SILVER_IV,14,14,12991
0,14,13,BRONZE_I,73,16,15580,9,6,SILVER_II,97,17,17902,9,6,SILVER_II,97,14,11568,32,17,PLATINUM_IV,1,14,11706,3,7,BRONZE_IV,46,16,15956,30,23,SILVER_IV,14,17,18097,7,11,BRONZE_I,1,16,14932,87,92,GOLD_IV,0,18,19513,277,274,PLATINUM_IV,13,15,14647,7,8,BRONZE_II,73,14,12564
1,7,8,BRONZE_III,60,16,15119,42,61,BRONZE_IV,0,16,15995,7,6,BRONZE_IV,81,16,16338,30,44,BRONZE_IV,70,16,14877,25,73,IRON_IV,0,14,12558,25,73,IRON_IV,0,17,17070,182,160,SILVER_IV,23,18,22560,154,132,BRONZE_IV,14,16,14825,14,16,BRONZE_II,3,16,15197,54,74,BRONZE_III,45,15,14645
1,28,40,BRONZE_II,13,14,12790,147,146,SILVER_IV,40,14,11688,7,6,BRONZE_IV,81,13,11102,158,160,SILVER_IV,23,12,9378,298,289,SILVER_II,29,12,8703,77,95,BRONZE_II,32,14,11469,193,185,BRONZE_III,0,12,9666,154,160,SILVER_IV,54,13,10446,136,136,SILVER_IV,61,12,9076,77,77,BRONZE_I,39,11,7858
