result,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
1,448,442,DIAMOND_III,50,13,11316,104,88,DIAMOND_II,75,14,12261,523,525,DIAMOND_II,70,13,11104,5,5,PLATINUM_III,26,12,9587,189,168,DIAMOND_II,15,11,7982,93,95,DIAMOND_IV,31,13,9981,55,66,PLATINUM_II,9,13,10047,61,55,PLATINUM_I,47,11,7657,159,175,PLATINUM_I,95,10,7159,195,192,DIAMOND_I,75,7,4014
1,197,187,PLATINUM_I,69,14,12442,92,74,DIAMOND_I,59,15,13192,60,44,DIAMOND_IV,80,14,11562,5,5,PLATINUM_III,26,14,12413,548,554,DIAMOND_IV,75,14,11528,96,89,PLATINUM_I,75,14,11610,51,58,PLATINUM_IV,42,12,9677,237,232,DIAMOND_III,24,13,11284,612,589,DIAMOND_IV,0,11,7353,117,122,DIAMOND_I,0,10,6765
1,98,106,PLATINUM_II,14,18,18842,56,59,PLATINUM_I,75,18,18800,42,15,PLATINUM_I,40,18,19602,5,5,PLATINUM_III,26,16,16185,51,34,PLATINUM_I,90,16,15747,43,31,PLATINUM_I,75,18,19673,288,293,PLATINUM_III,39,17,17307,48,30,PLATINUM_I,75,17,16971,105,88,PLATINUM_I,75,15,14102,114,123,PLATINUM_I,75,14,12113
1,28,22,PLATINUM_I,100,18,22332,37,28,PLATINUM_I,75,18,23323,7,7,PLATINUM_III,72,18,20974,5,5,PLATINUM_III,26,18,19571,102,113,DIAMOND_IV,20,18,19627,27,23,DIAMOND_IV,1,17,18237,87,97,PLATINUM_IV,47,17,17671,16,14,PLATINUM_I,75,18,19874,16,14,PLATINUM_I,75,18,20718,40,39,DIAMOND_IV,81,17,16565
0,54,58,PLATINUM_I,75,14,11513,19,24,GOLD_II,27,14,12739,19,6,PLATINUM_IV,45,14,12600,5,5,PLATINUM_III,26,14,12466,19,6,PLATINUM_IV,42,12,9310,39,30,PLATINUM_III,11,15,13658,55,36,PLATINUM_I,75,15,13848,56,59,PLATINUM_I,75,16,15934,78,57,DIAMOND_I,35,15,13245,171,145,DIAMOND_II,39,13,10664
0,29,39,PLATINUM_I,30,15,14555,100,110,PLATINUM_II,80,14,11622,10,14,PLATINUM_III,63,16,15300,741,738,DIAMOND_IV,58,15,13734,109,92,PLATINUM_I,43,13,10124,71,73,PLATINUM_I,82,18,18484,37,50,PLATINUM_I,0,17,17218,306,296,DIAMOND_IV,31,17,17995,110,111,DIAMOND_III,44,15,13229,130,123,DIAMOND_IV,0,13,11213
0,138,127,PLATINUM_I,59,18,25192,193,169,PLATINUM_I,0,18,23500,10,14,PLATINUM_III,63,18,24169,100,110,PLATINUM_II,80,18,20808,21,24,PLATINUM_II,69,17,17926,243,221,DIAMOND_IV,45,18,23843,268,255,PLATINUM_II,55,18,18697,53,46,PLATINUM_I,15,18,23187,159,159,DIAMOND_IV,25,18,22997,226,257,DIAMOND_III,6,17,17722
0,17,22,PLATINUM_II,34,10,6159,379,376,PLATINUM_III,76,10,6693,10,14,PLATINUM_III,63,10,6199,147,146,PLATINUM_IV,15,12,9332,158,161,PLATINUM_III,30,9,5187,144,131,PLATINUM_I,0,9,5706,259,273,PLATINUM_IV,77,12,9301,42,32,PLATINUM_IV,38,11,7536,291,288,PLATINUM_III,8,10,6554,632,636,PLATINUM_II,75,12,9578
0,243,238,PLATINUM_IV,13,10,6952,67,81,PLATINUM_IV,64,11,8224,10,14,PLATINUM_III,63,11,8360,169,168,PLATINUM_II,16,11,7560,158,161,PLATINUM_III,30,9,5727,22,9,PLATINUM_II,26,13,10868,400,393,PLATINUM_I,41,12,8956,15,9,GOLD_II,0,13,10362,66,62,PLATINUM_III,44,11,7692,52,49,PLATINUM_III,55,11,8376
0,244,214,PLATINUM_II,0,15,14105,379,376,PLATINUM_III,76,13,11420,10,14,PLATINUM_III,63,16,15026,68,65,PLATINUM_IV,0,14,12325,158,161,PLATINUM_III,30,14,12538,318,306,PLATINUM_III,64,17,18261,122,104,PLATINUM_II,81,17,17408,132,116,PLATINUM_II,89,17,16695,419,380,PLATINUM_II,0,16,15106,283,269,PLATINUM_II,44,14,12352
