ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
239,0,197,0,DIAMOND_IV,22,16,15284,17,0,18,0,GOLD_IV,53,16,15100,273,0,278,0,GOLD_I,55,16,16211,113,0,127,0,GOLD_III,20,15,13200,63,0,62,0,GOLD_III,73,13,10355,20,0,17,0,GOLD_II,50,16,15358,146,0,138,0,PLATINUM_IV,0,16,14822,54,0,47,0,GOLD_II,58,17,16821,215,0,229,0,GOLD_IV,61,15,13578,269,0,314,0,SILVER_III,65,15,13802
152,0,151,0,PLATINUM_IV,12,14,12914,17,0,18,0,GOLD_IV,53,14,12757,47,0,39,0,GOLD_II,67,14,12851,275,0,277,0,PLATINUM_IV,0,14,11993,63,0,62,0,GOLD_III,73,14,11658,361,0,344,0,PLATINUM_IV,90,17,16796,56,0,53,0,GOLD_II,13,16,15243,164,0,184,0,GOLD_IV,90,17,17066,35,0,30,0,PLATINUM_IV,34,15,13316,111,0,93,0,GOLD_I,81,13,10959
83,0,92,0,GOLD_IV,0,18,26960,123,0,105,0,GOLD_I,40,18,20753,64,0,68,0,SILVER_IV,38,18,22117,133,0,149,0,GOLD_IV,27,18,25684,52,0,52,0,SILVER_I,34,17,17753,329,0,319,0,GOLD_III,7,18,23069,77,0,81,0,SILVER_I,100,18,23836,114,0,118,0,GOLD_IV,70,18,25080,59,0,69,0,SILVER_II,79,18,21680,196,0,179,0,GOLD_IV,40,18,20325
83,0,92,0,GOLD_IV,0,11,8192,141,0,148,0,SILVER_III,75,13,10385,11,0,12,0,SILVER_II,31,10,6538,149,0,126,0,GOLD_IV,0,10,7235,15,0,21,0,SILVER_II,37,10,7016,18,0,17,0,SILVER_I,13,13,10268,60,0,72,0,SILVER_I,51,11,7755,145,0,143,0,SILVER_III,10,13,10207,209,0,194,0,GOLD_II,80,12,9573,102,0,96,0,GOLD_IV,39,10,6596
83,0,92,0,GOLD_IV,0,13,10368,60,0,60,0,GOLD_IV,10,13,10477,69,0,72,0,GOLD_IV,30,15,14562,430,0,422,0,GOLD_IV,36,12,9592,70,0,65,0,GOLD_IV,0,11,8384,245,0,263,0,GOLD_IV,71,16,15523,154,0,162,0,GOLD_IV,9,15,14609,114,0,96,0,GOLD_IV,66,14,11725,143,0,167,0,GOLD_IV,31,14,11784,157,0,154,0,GOLD_IV,45,12,8592
83,0,92,0,GOLD_IV,0,16,14835,336,0,324,0,GOLD_IV,14,14,11859,170,0,184,0,GOLD_IV,13,13,10919,103,0,124,0,GOLD_IV,39,13,10673,257,0,232,0,GOLD_IV,20,11,8084,23,0,24,0,SILVER_III,44,14,12423,31,0,49,0,SILVER_I,63,16,14889,101,0,83,0,GOLD_II,36,15,13752,227,0,178,0,GOLD_IV,43,15,14073,228,0,241,0,GOLD_IV,59,14,12297
83,0,92,0,GOLD_IV,0,17,16798,82,0,76,0,GOLD_III,3,17,17298,274,0,292,0,GOLD_III,4,15,13876,462,0,430,0,GOLD_IV,52,14,12839,59,0,52,0,GOLD_IV,1,13,10850,90,0,93,0,GOLD_IV,4,16,14916,206,0,208,0,GOLD_IV,39,15,14287,282,0,288,0,GOLD_IV,0,15,13391,278,0,292,0,GOLD_IV,54,13,10536,85,0,67,0,GOLD_IV,26,13,10127
237,0,262,0,GOLD_IV,70,17,17742,88,0,94,0,GOLD_III,41,16,15505,227,0,202,0,GOLD_III,8,18,18516,274,0,286,0,GOLD_IV,19,18,20149,374,0,377,0,GOLD_III,0,15,14680,138,0,137,0,GOLD_II,13,18,21295,220,0,235,0,GOLD_IV,59,18,24960,65,0,48,0,GOLD_IV,65,17,18246,39,0,35,0,SILVER_I,47,18,20652,42,0,44,0,GOLD_IV,67,18,18413
69,0,82,0,GOLD_IV,0,15,13938,41,0,48,0,GOLD_IV,47,14,11480,206,0,199,0,GOLD_IV,31,15,13836,264,0,265,0,GOLD_III,32,15,13587,117,0,129,0,GOLD_IV,45,14,11894,230,0,232,0,GOLD_III,5,15,14369,170,0,161,0,GOLD_II,74,14,11874,65,0,48,0,GOLD_IV,65,13,10531,118,0,116,0,GOLD_IV,32,13,11206,96,0,118,0,GOLD_IV,0,12,8692
38,0,33,0,SILVER_II,52,14,11948,70,0,77,0,GOLD_III,42,14,11970,245,0,273,0,SILVER_III,75,15,13642,37,0,22,0,GOLD_III,0,15,13303,105,0,134,0,SILVER_IV,43,11,7720,264,0,263,0,GOLD_IV,53,15,14360,131,0,129,0,GOLD_III,0,11,8476,65,0,48,0,GOLD_IV,65,12,8733,169,0,159,0,GOLD_III,60,13,10398,69,0,78,0,GOLD_IV,0,12,9481
