rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience
30,0,39,0,BRONZE_IV,0,12,9440,215,0,248,0,IRON_III,3,11,8036,129,0,146,0,BRONZE_IV,0,15,13694,42,0,63,0,BRONZE_IV,43,10,6428,57,0,88,0,IRON_II,9,9,5628,38,0,59,0,BRONZE_IV,8,13,10811,22,0,28,0,BRONZE_IV,0,13,10516,38,0,59,0,IRON_II,56,11,8458,33,0,41,0,IRON_I,5,11,8115,245,0,231,0,IRON_I,61,9,5508
30,0,39,0,BRONZE_IV,0,16,16132,117,0,119,0,BRONZE_III,81,15,14203,129,0,146,0,BRONZE_IV,0,18,18747,319,0,335,0,BRONZE_IV,23,16,14875,75,0,91,0,IRON_I,81,15,13145,62,0,67,0,IRON_I,37,17,17536,229,0,238,0,IRON_I,0,16,14964,65,0,71,0,IRON_I,15,17,16832,385,0,405,0,BRONZE_IV,63,16,16285,237,0,223,0,BRONZE_III,24,18,19213
30,0,39,0,BRONZE_IV,0,12,8830,208,0,201,0,BRONZE_III,27,11,8031,129,0,146,0,BRONZE_IV,0,13,10450,49,0,62,0,BRONZE_III,8,10,6463,73,0,80,0,BRONZE_IV,35,10,6435,108,0,128,0,BRONZE_III,57,13,10820,518,0,523,0,BRONZE_III,69,11,8216,168,0,197,0,BRONZE_IV,66,13,9970,50,0,57,0,BRONZE_IV,37,11,8384,198,0,178,0,BRONZE_II,65,9,5945
162,0,158,0,BRONZE_II,95,15,14398,299,0,304,0,BRONZE_III,0,12,9404,20,0,23,0,BRONZE_IV,50,14,12599,59,0,64,0,BRONZE_IV,53,12,9499,457,0,438,0,SILVER_IV,64,12,9178,452,0,446,0,BRONZE_II,13,12,9320,772,0,720,0,SILVER_I,82,12,9527,27,0,34,0,BRONZE_IV,15,11,7983,122,0,126,0,BRONZE_II,0,12,8686,56,0,51,0,BRONZE_III,21,10,6816
56,0,74,0,BRONZE_II,0,17,16710,106,0,116,0,SILVER_I,3,17,16727,271,0,238,0,SILVER_II,48,16,15739,262,0,255,0,SILVER_III,27,16,16357,65,0,49,0,BRONZE_I,51,15,13359,93,0,88,0,SILVER_IV,25,16,16032,90,0,105,0,BRONZE_I,30,15,14151,27,0,34,0,BRONZE_IV,15,13,10109,258,0,258,0,SILVER_IV,26,16,15193,149,0,133,0,SILVER_IV,73,15,13446
27,0,34,0,BRONZE_IV,15,13,10572,71,0,60,0,SILVER_II,0,14,11843,346,0,324,0,SILVER_IV,14,13,10348,18,0,33,0,BRONZE_II,50,14,11580,60,0,63,0,BRONZE_I,9,12,9631,16,0,30,0,BRONZE_IV,58,12,9531,89,0,103,0,BRONZE_I,64,11,8291,27,0,34,0,BRONZE_IV,15,10,6576,159,0,143,0,BRONZE_II,20,11,7656,143,0,147,0,BRONZE_I,15,11,7500
35,0,27,0,GOLD_IV,16,14,12931,90,0,87,0,BRONZE_III,55,16,16141,170,0,164,0,BRONZE_II,55,14,12699,122,0,126,0,BRONZE_III,75,15,13436,182,0,176,0,BRONZE_II,15,14,12121,165,0,160,0,BRONZE_II,38,16,15218,258,0,244,0,BRONZE_III,85,14,12171,27,0,34,0,BRONZE_IV,15,14,12282,199,0,198,0,BRONZE_II,21,12,9864,82,0,68,0,SILVER_IV,22,14,12925
145,0,163,0,BRONZE_I,23,18,23945,49,0,59,0,SILVER_IV,24,18,22549,164,0,153,0,BRONZE_I,100,18,26170,16,0,18,0,BRONZE_IV,30,18,21164,45,0,34,0,SILVER_III,29,18,23090,205,0,186,0,BRONZE_II,21,18,21290,259,0,266,0,BRONZE_II,61,18,22265,31,0,32,0,BRONZE_II,52,18,23697,88,0,98,0,BRONZE_II,41,17,17909,14,0,63,0,IRON_IV,0,16,15685
12,0,17,0,BRONZE_I,53,15,14304,169,0,172,0,SILVER_IV,30,14,11664,130,0,139,0,SILVER_IV,42,14,12385,16,0,18,0,BRONZE_IV,30,14,12032,45,0,34,0,SILVER_III,29,14,11582,39,0,39,0,BRONZE_IV,25,14,12800,10,0,10,0,BRONZE_I,37,16,16408,47,0,45,0,BRONZE_I,16,17,17787,112,0,119,0,BRONZE_III,76,15,13194,316,0,328,0,SILVER_IV,47,13,10888
12,0,17,0,BRONZE_I,53,15,14185,35,0,25,0,BRONZE_II,29,14,12942,130,0,139,0,SILVER_IV,42,15,14006,16,0,18,0,BRONZE_IV,30,12,9082,45,0,34,0,SILVER_III,29,12,9441,42,0,51,0,BRONZE_IV,52,12,8928,44,0,58,0,BRONZE_II,39,14,11515,15,0,18,0,BRONZE_II,46,12,9862,138,0,148,0,BRONZE_II,88,12,9713,27,0,44,0,BRONZE_II,63,11,7385
