result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
0,88,106,BRONZE_IV,23,13,10303,6,6,BRONZE_III,49,8,4887,6,6,BRONZE_III,45,10,6152,6,10,BRONZE_III,99,10,6229,6,6,BRONZE_III,45,8,4911,8,8,BRONZE_II,69,13,9966,62,76,SILVER_IV,8,11,7830,10,11,BRONZE_I,18,12,9943,10,12,BRONZE_I,26,11,7765,10,12,BRONZE_I,26,11,7341
0,30,29,SILVER_I,0,9,5160,7,8,BRONZE_I,30,10,6352,6,6,BRONZE_III,45,10,7018,15,22,BRONZE_II,15,8,5029,5,8,BRONZE_III,75,9,5799,6,6,BRONZE_III,45,13,11213,21,26,SILVER_IV,9,11,7876,7,13,BRONZE_II,22,13,10152,75,79,SILVER_II,95,10,6516,21,23,SILVER_II,0,9,5428
1,6,8,BRONZE_I,23,11,7503,48,53,SILVER_IV,47,12,9899,6,6,BRONZE_III,45,13,10566,12,11,BRONZE_I,73,10,6876,62,84,BRONZE_IV,60,10,6617,34,33,SILVER_II,0,13,10374,34,33,SILVER_II,0,10,6632,34,33,SILVER_II,0,10,6960,34,55,BRONZE_IV,0,10,6544,74,91,IRON_II,87,6,3153
1,19,29,BRONZE_II,45,13,10230,6,6,BRONZE_II,32,11,7590,6,6,BRONZE_III,45,13,10814,6,6,BRONZE_II,32,11,8477,6,6,BRONZE_III,45,11,8482,11,17,BRONZE_II,52,11,8492,15,20,BRONZE_I,69,12,9760,16,22,BRONZE_I,61,12,9755,16,22,BRONZE_I,61,10,6622,25,24,SILVER_IV,27,9,6031
0,30,40,BRONZE_III,84,15,14101,9,11,BRONZE_I,12,17,17124,6,6,BRONZE_III,45,18,20107,23,28,BRONZE_I,14,13,11248,23,28,BRONZE_I,14,14,11751,9,3,BRONZE_II,53,18,20100,40,28,GOLD_IV,0,17,17549,40,28,GOLD_IV,0,16,15291,40,28,GOLD_IV,0,16,15396,6,8,BRONZE_III,45,15,13400
0,269,249,BRONZE_II,39,16,15712,459,397,SILVER_IV,28,16,16217,496,490,BRONZE_III,63,17,16756,272,280,BRONZE_IV,62,15,14570,63,59,BRONZE_II,0,15,13205,59,58,SILVER_IV,35,17,17053,25,27,SILVER_IV,49,15,13328,267,274,BRONZE_II,83,16,16332,34,47,BRONZE_III,75,14,12169,42,51,BRONZE_III,27,14,11947
0,12,14,BRONZE_II,90,18,24899,69,70,BRONZE_III,75,17,18320,621,628,BRONZE_II,1,17,17523,77,85,BRONZE_III,22,17,17534,218,217,SILVER_IV,45,17,16812,139,137,BRONZE_III,32,17,17896,350,346,SILVER_IV,8,18,20385,195,192,BRONZE_IV,68,18,19327,34,47,BRONZE_III,75,18,18466,42,51,BRONZE_III,27,17,17243
0,364,357,BRONZE_III,68,16,15167,268,264,BRONZE_I,35,17,17340,112,107,SILVER_IV,76,17,17693,322,347,BRONZE_II,33,16,16256,315,307,BRONZE_II,62,14,12057,130,132,BRONZE_II,28,17,16530,174,179,BRONZE_II,50,14,12494,340,289,BRONZE_III,14,14,12986,34,47,BRONZE_III,75,15,13872,42,51,BRONZE_III,27,15,14044
1,33,28,SILVER_I,39,17,16820,196,207,BRONZE_IV,72,18,18483,555,580,BRONZE_III,60,16,14998,71,100,BRONZE_IV,29,15,13235,265,257,BRONZE_I,1,15,13933,118,113,BRONZE_IV,20,17,17427,328,309,BRONZE_II,20,18,21083,21,18,BRONZE_IV,86,17,18257,34,47,BRONZE_III,75,17,16893,42,51,BRONZE_III,27,16,15156
0,268,264,BRONZE_I,35,18,22516,112,107,SILVER_IV,76,17,17163,76,40,GOLD_IV,65,18,19980,193,194,BRONZE_IV,17,18,19045,117,130,BRONZE_II,0,17,16747,461,426,BRONZE_II,40,17,17773,48,40,SILVER_IV,31,17,17565,212,212,BRONZE_I,6,16,15914,34,47,BRONZE_III,75,17,17497,42,51,BRONZE_III,27,16,16375
1,271,261,BRONZE_II,18,16,16469,56,74,SILVER_III,56,16,16369,24,46,IRON_III,16,15,13934,229,226,BRONZE_I,0,16,14853,188,193,BRONZE_IV,75,14,12807,258,211,SILVER_III,7,18,19242,162,189,BRONZE_IV,68,16,16359,107,127,BRONZE_IV,75,16,14865,34,47,BRONZE_III,75,16,14911,42,51,BRONZE_III,27,15,13808
0,126,126,BRONZE_III,39,18,19394,197,199,BRONZE_III,57,18,20854,387,379,BRONZE_III,74,18,19931,179,185,SILVER_IV,43,18,22024,221,223,BRONZE_IV,0,17,18320,169,178,BRONZE_II,46,18,20642,274,267,BRONZE_I,64,18,18448,374,365,SILVER_IV,0,18,20046,34,47,BRONZE_III,75,18,20158,42,51,BRONZE_III,27,17,17420
0,39,47,SILVER_IV,5,18,21630,8,9,BRONZE_II,69,15,14665,4,9,BRONZE_III,71,15,13343,149,166,SILVER_III,18,15,13551,149,166,SILVER_III,18,15,13577,28,36,BRONZE_II,49,18,18727,16,19,BRONZE_I,30,18,20473,16,19,BRONZE_I,30,18,19419,13,12,BRONZE_I,52,16,15144,8,6,BRONZE_II,83,16,15404
0,32,21,SILVER_IV,77,14,12746,8,9,BRONZE_II,69,14,11450,4,9,BRONZE_III,71,13,11311,149,166,SILVER_III,18,13,10500,149,166,SILVER_III,18,13,10043,26,18,SILVER_III,31,16,16275,220,187,SILVER_III,0,15,13727,23,30,SILVER_IV,23,14,12647,82,59,SILVER_III,81,14,12025,7,8,BRONZE_II,62,12,9598
0,69,55,BRONZE_I,58,17,17254,129,124,BRONZE_III,75,16,15572,4,9,BRONZE_III,71,15,13371,270,256,BRONZE_I,5,15,13121,200,191,BRONZE_II,14,14,12428,196,186,SILVER_IV,51,18,22371,78,76,BRONZE_I,17,18,20322,180,222,BRONZE_I,0,16,16367,268,247,BRONZE_I,89,17,16886,232,208,BRONZE_II,73,15,13523
