result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
0,255,269,GOLD_III,74,17,17351,127,104,SILVER_I,47,16,15675,55,46,GOLD_III,10,17,17819,234,237,GOLD_IV,0,14,12862,36,38,SILVER_I,72,14,12466,12,19,SILVER_IV,48,15,14203,271,292,GOLD_IV,60,18,18761,52,48,GOLD_IV,45,15,14144,5,12,SILVER_III,48,12,9858,35,40,SILVER_I,39,15,13549
0,25,22,GOLD_IV,1,13,10410,37,36,SILVER_I,100,17,18076,54,49,GOLD_IV,0,17,17475,60,51,GOLD_IV,26,18,18915,183,190,GOLD_IV,60,16,15819,70,79,SILVER_II,89,17,16738,42,66,GOLD_IV,62,18,20601,418,425,GOLD_III,72,18,18579,30,28,SILVER_I,71,16,15116,35,40,SILVER_I,39,17,17523
1,112,94,GOLD_IV,98,17,16958,122,115,GOLD_III,5,17,18164,85,63,GOLD_III,36,17,17534,59,54,PLATINUM_IV,1,15,13787,88,89,SILVER_IV,24,15,14271,478,506,GOLD_IV,0,16,15301,73,83,GOLD_IV,0,17,18057,26,20,SILVER_I,91,18,18787,57,66,GOLD_IV,45,16,15250,35,40,SILVER_I,39,18,18713
1,35,30,SILVER_I,100,17,17909,18,11,SILVER_I,58,18,20259,24,26,SILVER_II,67,15,14622,5,12,SILVER_IV,0,15,13966,8,13,SILVER_III,50,15,13341,18,17,SILVER_I,100,16,15807,45,31,GOLD_IV,1,18,19252,70,82,SILVER_IV,36,15,13348,116,130,SILVER_IV,98,17,17248,35,40,SILVER_I,39,18,19247
0,21,20,SILVER_II,51,13,11071,363,302,GOLD_IV,0,11,7406,29,18,GOLD_IV,41,12,8815,117,140,SILVER_III,10,11,7391,24,37,SILVER_II,22,9,6092,97,96,GOLD_III,36,10,6308,66,45,SILVER_I,3,10,7090,216,226,GOLD_III,0,9,5097,65,58,GOLD_IV,7,9,5076,35,40,SILVER_I,39,11,8049
1,27,18,GOLD_IV,66,13,10976,14,6,SILVER_I,42,12,9277,19,18,SILVER_I,43,13,10460,8,6,GOLD_IV,1,11,7647,43,47,SILVER_I,52,10,6788,46,53,GOLD_IV,82,11,7771,290,280,GOLD_IV,40,11,7380,15,14,GOLD_IV,94,12,8999,49,31,GOLD_III,65,11,8383,49,31,GOLD_III,65,10,6498
1,48,29,GOLD_I,19,17,17619,37,31,GOLD_III,46,14,11971,43,39,GOLD_IV,7,14,11600,14,6,SILVER_I,42,14,12247,43,47,SILVER_I,52,12,9754,32,26,GOLD_IV,74,14,12363,6,12,SILVER_II,75,12,9889,20,19,SILVER_I,90,14,12227,16,16,SILVER_I,100,12,8728,9,10,SILVER_II,75,11,7697
1,12,15,GOLD_IV,24,17,16484,14,6,SILVER_I,42,16,14803,13,12,SILVER_II,64,15,13339,5,8,SILVER_II,75,13,10673,43,47,SILVER_I,52,15,13908,9,4,SILVER_III,53,15,13953,9,4,SILVER_III,53,15,14330,10,11,SILVER_III,92,15,13223,202,239,SILVER_II,55,15,14350,17,12,SILVER_II,82,15,13422
1,18,9,GOLD_IV,38,16,15100,14,6,SILVER_I,42,15,13097,13,21,SILVER_III,94,13,11299,20,27,SILVER_I,65,12,9858,43,47,SILVER_I,52,14,11998,12,22,SILVER_II,35,15,13503,11,11,SILVER_I,0,11,8456,9,11,SILVER_I,35,14,12939,7,14,SILVER_II,70,13,10760,9,12,SILVER_II,67,13,11183
1,8,10,SILVER_III,53,13,11372,14,6,SILVER_I,42,12,8750,43,47,SILVER_I,52,10,6508,55,54,SILVER_III,81,10,6370,43,47,SILVER_I,52,12,9866,17,16,GOLD_IV,0,12,9227,23,24,SILVER_I,44,11,7450,34,33,GOLD_IV,0,11,8361,16,20,SILVER_IV,43,10,6859,13,14,SILVER_I,12,8,4681
1,14,6,SILVER_I,42,17,16736,13,12,SILVER_I,25,18,19179,28,30,SILVER_II,95,14,12784,11,18,SILVER_II,71,12,9313,43,47,SILVER_I,52,15,13090,21,21,SILVER_I,19,14,12082,13,10,GOLD_IV,0,13,10607,17,25,SILVER_III,73,13,11277,17,21,SILVER_III,71,13,10932,31,30,GOLD_III,67,12,9277
1,20,20,SILVER_II,38,15,13456,14,6,SILVER_I,42,15,13600,8,8,SILVER_IV,0,12,9268,47,48,SILVER_I,43,12,9451,43,47,SILVER_I,52,14,12646,33,31,SILVER_III,75,13,10392,94,100,SILVER_II,0,11,8168,6,8,SILVER_III,36,12,9942,4,7,SILVER_IV,84,11,7652,5,9,SILVER_III,70,10,7262
