main_player_win,main_player_miniseries_wins,main_player_losses,main_player_miniseries_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_miniseries_wins,ally_0_losses,ally_0_miniseries_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_miniseries_wins,ally_1_losses,ally_1_miniseries_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_miniseries_wins,ally_2_losses,ally_2_miniseries_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_miniseries_wins,ally_3_losses,ally_3_miniseries_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_miniseries_wins,rival_0_losses,rival_0_miniseries_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_miniseries_wins,rival_1_losses,rival_1_miniseries_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_miniseries_wins,rival_2_losses,rival_2_miniseries_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_miniseries_wins,rival_3_losses,rival_3_miniseries_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_miniseries_wins,rival_4_losses,rival_4_miniseries_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
216,0,205,0,DIAMOND_II,0,9,5467,308,0,267,0,DIAMOND_II,0,10,6740,171,0,196,0,DIAMOND_III,8,10,7128,322,0,317,0,DIAMOND_II,12,8,4586,69,0,49,0,DIAMOND_III,0,7,4022,196,0,197,0,DIAMOND_II,5,10,6640,192,0,167,0,DIAMOND_I,47,12,8775,224,0,217,0,DIAMOND_III,95,11,8358,276,0,242,0,DIAMOND_I,46,9,5845,225,0,214,0,DIAMOND_I,24,9,5513
216,0,205,0,DIAMOND_II,0,12,9109,269,0,252,0,DIAMOND_II,25,12,9501,217,0,193,0,DIAMOND_III,40,11,7733,246,0,232,0,DIAMOND_II,3,11,7392,478,0,440,0,DIAMOND_II,15,9,5493,202,0,180,0,DIAMOND_III,20,13,9988,92,0,77,0,DIAMOND_III,46,12,8836,223,0,215,0,DIAMOND_II,45,13,10477,298,0,286,0,DIAMOND_II,46,11,8561,95,0,90,0,DIAMOND_II,0,11,8351
154,0,146,0,DIAMOND_III,64,17,18076,209,0,205,0,DIAMOND_III,11,16,15321,112,0,119,0,DIAMOND_IV,47,17,16764,125,0,88,0,DIAMOND_II,12,17,17093,181,0,155,0,DIAMOND_III,17,16,16333,140,0,129,0,DIAMOND_III,61,17,17578,62,0,42,0,DIAMOND_III,25,18,18362,164,0,147,0,DIAMOND_II,53,18,18442,149,0,122,0,DIAMOND_IV,46,18,18539,62,0,57,0,DIAMOND_I,69,15,13398
255,0,215,0,DIAMOND_II,7,13,11253,86,0,69,0,DIAMOND_III,39,12,9563,351,0,330,0,DIAMOND_II,29,14,12040,125,0,88,0,DIAMOND_II,12,11,7623,181,0,155,0,DIAMOND_III,17,10,6387,120,0,123,0,DIAMOND_II,50,14,11459,269,0,259,0,DIAMOND_II,50,14,12761,206,0,219,0,DIAMOND_I,0,16,14726,180,0,163,0,DIAMOND_II,72,14,11546,349,0,349,0,DIAMOND_II,75,13,10337
90,0,76,0,DIAMOND_II,46,13,10518,265,0,242,0,DIAMOND_I,32,13,10950,198,0,181,0,DIAMOND_II,93,13,10045,125,0,88,0,DIAMOND_II,12,11,7913,181,0,155,0,DIAMOND_III,17,11,8165,215,0,169,0,DIAMOND_I,0,11,8473,466,0,452,0,DIAMOND_II,47,11,7853,254,0,215,0,DIAMOND_II,38,11,8326,284,0,261,0,DIAMOND_II,48,11,7982,204,0,179,0,DIAMOND_III,75,9,5431
179,0,163,0,DIAMOND_I,6,10,6756,231,0,176,0,DIAMOND_II,87,9,5823,187,0,177,0,DIAMOND_III,61,10,6376,125,0,88,0,DIAMOND_II,12,9,5921,181,0,155,0,DIAMOND_III,17,9,5654,98,0,99,0,DIAMOND_II,43,15,13031,339,0,355,0,DIAMOND_I,0,12,8669,179,0,177,0,DIAMOND_II,21,12,9055,187,0,161,0,MASTER_I,1,11,8225,132,0,104,0,DIAMOND_II,75,9,5663
345,0,330,0,DIAMOND_II,14,12,9799,109,0,91,0,DIAMOND_II,19,13,11058,680,0,676,0,DIAMOND_II,74,14,11608,125,0,88,0,DIAMOND_II,12,12,9555,181,0,155,0,DIAMOND_III,17,11,8173,98,0,99,0,DIAMOND_II,43,12,9875,339,0,355,0,DIAMOND_I,0,11,8065,108,0,117,0,DIAMOND_III,30,12,8770,389,0,359,0,DIAMOND_II,75,12,9249,635,0,609,0,DIAMOND_II,55,10,7258
102,0,100,0,DIAMOND_II,75,18,19272,313,0,325,0,DIAMOND_I,6,18,21609,215,0,205,0,MASTER_I,18,18,22221,208,0,206,0,DIAMOND_I,0,18,19178,163,0,165,0,DIAMOND_I,76,17,16873,653,0,641,0,DIAMOND_I,12,18,21100,84,0,73,0,DIAMOND_I,1,18,23286,41,0,35,0,MASTER_I,1,18,19406,376,0,359,0,MASTER_I,17,18,19192,136,0,119,0,MASTER_I,53,17,16666
102,0,100,0,DIAMOND_II,75,16,15494,110,0,91,0,GRANDMASTER_I,660,17,17349,107,0,111,0,DIAMOND_IV,17,15,14252,71,0,63,0,GRANDMASTER_I,700,16,15341,190,0,162,0,DIAMOND_I,85,13,10694,111,0,82,0,DIAMOND_II,75,17,17318,198,0,192,0,DIAMOND_I,60,18,20147,151,0,130,0,MASTER_I,24,17,17439,210,0,169,0,DIAMOND_I,75,16,14934,92,0,76,0,DIAMOND_I,75,14,12988
102,0,100,0,DIAMOND_II,75,12,9378,339,0,304,0,MASTER_I,265,10,6931,234,0,202,0,DIAMOND_II,75,11,7605,250,0,245,0,DIAMOND_II,75,11,7760,66,0,56,0,DIAMOND_I,17,9,5137,223,0,228,0,DIAMOND_IV,0,12,9241,312,0,303,0,DIAMOND_I,19,13,11295,52,0,36,0,DIAMOND_I,22,14,11671,158,0,158,0,DIAMOND_I,59,11,7404,241,0,188,0,MASTER_I,258,11,8040
