result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience
0,114,134,BRONZE_III,6,14,12466,110,147,IRON_III,58,13,10321,85,92,IRON_I,100,13,10824,62,62,IRON_I,41,10,7254,21,31,IRON_III,44,10,7070,20,38,BRONZE_IV,13,11,7847,16,47,IRON_II,37,11,8020,96,128,IRON_III,26,10,7100,88,107,BRONZE_IV,4,12,8744,68,102,BRONZE_IV,45,11,7470
0,77,86,IRON_III,38,13,10865,2,25,IRON_I,0,13,10882,0,14,BRONZE_IV,0,11,8045,48,51,IRON_II,21,14,11630,16,25,BRONZE_IV,2,13,10504,45,54,BRONZE_I,10,14,12140,45,67,IRON_II,2,13,10606,209,236,BRONZE_IV,43,15,14166,52,43,BRONZE_IV,47,13,10151,215,247,IRON_III,60,13,10528
1,77,86,IRON_III,38,17,17629,167,172,BRONZE_IV,47,18,20131,154,136,BRONZE_IV,83,18,18491,250,238,IRON_I,40,15,14590,112,131,IRON_I,63,15,13526,81,104,IRON_III,65,15,13801,17,35,IRON_III,33,14,12259,25,38,BRONZE_IV,98,16,14958,103,119,BRONZE_IV,16,14,11667,618,634,BRONZE_IV,0,15,13174
0,77,86,IRON_III,38,13,11174,672,712,IRON_III,7,15,13103,32,65,IRON_III,36,11,8175,19,42,BRONZE_IV,13,13,11031,55,76,BRONZE_IV,15,12,8762,112,115,IRON_II,20,15,13271,64,115,IRON_III,37,13,10318,61,81,BRONZE_IV,58,16,15968,37,65,IRON_III,55,13,11366,63,80,BRONZE_IV,0,13,9985
0,77,86,IRON_III,38,15,14113,60,79,BRONZE_IV,75,17,17957,79,81,BRONZE_II,47,18,19509,445,445,BRONZE_IV,62,17,18348,484,532,IRON_I,66,15,13255,77,66,BRONZE_III,42,17,17779,115,122,BRONZE_IV,91,17,17880,28,29,IRON_II,47,18,19730,204,198,BRONZE_IV,63,16,15170,39,41,BRONZE_IV,37,17,18146
0,77,86,IRON_III,38,16,15113,20,20,IRON_II,53,13,10126,79,96,IRON_II,74,13,9975,162,185,IRON_II,59,14,12042,59,58,BRONZE_I,55,14,12128,84,108,IRON_III,91,15,14474,262,303,BRONZE_IV,0,15,13568,49,69,BRONZE_III,0,15,13889,58,61,BRONZE_IV,30,15,13786,127,152,IRON_III,4,14,12711
0,77,86,IRON_III,38,1,0,6,16,IRON_II,97,2,490,93,107,IRON_I,98,3,805,111,122,IRON_II,63,3,904,512,497,BRONZE_IV,74,3,935,57,64,IRON_IV,65,2,331,69,43,BRONZE_IV,1,3,815,281,385,IRON_II,45,3,754,106,130,IRON_II,13,2,602,26,39,BRONZE_IV,12,2,602
1,77,86,IRON_III,38,15,13375,35,47,BRONZE_III,5,15,13421,173,191,IRON_II,26,14,12895,105,107,IRON_II,21,14,11820,64,65,BRONZE_IV,75,13,10728,31,44,BRONZE_III,1,13,10362,9,29,IRON_II,2,11,8273,33,60,BRONZE_IV,0,14,11567,202,202,BRONZE_III,15,12,9097,163,180,BRONZE_IV,52,13,10902
1,8,15,IRON_II,44,11,7669,73,104,IRON_III,15,9,5640,72,98,IRON_I,0,11,7542,453,568,BRONZE_IV,0,9,5322,470,487,IRON_III,88,8,4580,34,32,BRONZE_IV,16,13,10175,169,162,BRONZE_III,9,11,8090,81,134,IRON_IV,45,11,8114,86,102,IRON_III,37,9,5984,6,21,IRON_I,5,8,4946
0,215,257,BRONZE_IV,18,17,16570,148,182,BRONZE_IV,31,16,16097,59,60,IRON_II,17,18,19721,100,93,BRONZE_III,15,18,19486,880,1010,IRON_IV,55,17,17310,134,156,BRONZE_IV,26,18,19332,341,318,BRONZE_III,29,15,14655,545,545,BRONZE_IV,28,14,12354,86,102,IRON_III,37,15,14554,9,26,IRON_II,28,15,13085
