result,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
0,231,256,IRON_I,56,13,10150,152,165,IRON_II,28,11,8191,277,266,BRONZE_IV,0,12,9764,479,467,BRONZE_II,47,12,8913,6,12,IRON_I,17,9,5543,31,53,IRON_II,27,13,10257,137,144,BRONZE_IV,0,13,10675,51,51,IRON_III,75,11,8398,68,81,BRONZE_IV,0,13,10025,255,275,BRONZE_III,23,14,12253
1,396,331,BRONZE_III,71,18,28682,822,841,BRONZE_IV,13,18,19799,147,164,IRON_II,8,18,22778,195,251,IRON_IV,75,18,20312,6,12,IRON_I,17,18,19680,284,245,SILVER_III,27,18,28757,97,113,IRON_III,74,18,23584,206,285,IRON_IV,66,18,22082,118,128,BRONZE_IV,26,18,22913,196,354,IRON_IV,24,16,16090
0,151,160,BRONZE_IV,51,13,10054,81,107,BRONZE_IV,74,13,10045,27,37,IRON_I,13,13,10354,125,140,IRON_II,59,12,9132,6,12,IRON_I,17,12,8860,229,243,BRONZE_III,46,15,13448,196,191,BRONZE_III,0,13,10516,51,92,IRON_III,15,14,11687,105,124,BRONZE_IV,30,12,9128,66,61,BRONZE_IV,8,12,9316
0,296,329,IRON_II,21,10,6673,379,353,BRONZE_III,36,11,8387,164,194,IRON_III,17,12,9000,111,119,BRONZE_IV,75,12,9308,6,12,IRON_I,17,12,8850,156,197,BRONZE_IV,2,14,12240,144,142,BRONZE_IV,53,13,10512,182,184,BRONZE_III,42,14,12398,523,521,BRONZE_III,4,12,9589,377,399,BRONZE_IV,13,11,8315
0,1,11,IRON_II,44,11,7715,221,247,IRON_I,7,11,7628,306,354,IRON_III,88,9,5407,703,780,IRON_III,0,9,5857,6,12,IRON_I,17,8,4643,15,14,IRON_I,80,13,10173,92,102,IRON_III,46,11,7643,73,72,BRONZE_IV,28,12,8957,35,45,IRON_II,67,11,7588,134,113,BRONZE_II,8,10,6837
1,28,69,IRON_IV,0,13,11249,75,70,BRONZE_III,14,13,10152,37,24,BRONZE_IV,0,13,10272,18,17,BRONZE_IV,54,12,8725,6,12,IRON_I,17,12,8782,38,60,BRONZE_IV,12,13,10048,115,112,BRONZE_II,90,10,6643,298,281,SILVER_IV,6,12,8860,388,391,IRON_III,49,10,6193,241,387,IRON_III,0,11,7993
1,196,197,IRON_IV,66,18,18577,138,135,IRON_IV,20,14,12214,162,153,BRONZE_II,13,14,12880,105,119,BRONZE_III,18,16,15489,6,12,IRON_I,17,13,11437,253,273,IRON_III,90,16,14787,41,43,BRONZE_IV,12,14,11828,391,369,BRONZE_IV,32,14,11907,276,274,BRONZE_III,49,14,11994,193,189,BRONZE_IV,14,12,9708
1,3,38,IRON_III,0,17,16724,56,76,BRONZE_IV,10,18,21881,3,38,IRON_III,0,15,14420,21,26,BRONZE_III,14,18,23301,10,21,BRONZE_IV,0,17,16908,18,35,BRONZE_IV,1,18,19303,22,41,IRON_I,92,18,21345,151,155,BRONZE_IV,32,18,19419,247,261,IRON_II,13,18,18598,260,280,BRONZE_II,18,17,17666
1,113,131,IRON_II,0,16,15111,72,51,BRONZE_IV,0,16,15110,736,683,BRONZE_II,0,18,22635,163,165,BRONZE_II,8,16,15432,27,28,IRON_I,60,16,16452,18,35,BRONZE_IV,1,17,17848,22,41,IRON_I,92,17,17667,169,199,BRONZE_IV,0,17,18039,36,29,SILVER_IV,65,18,21475,220,282,IRON_IV,75,17,16749
1,88,109,BRONZE_IV,24,18,24753,111,95,BRONZE_III,60,18,24964,5,15,IRON_III,42,18,22054,175,197,IRON_I,0,18,26813,275,379,IRON_III,0,18,19940,18,35,BRONZE_IV,1,18,22323,22,41,IRON_I,92,18,28373,767,816,IRON_III,21,18,20561,264,253,BRONZE_II,2,18,23415,62,78,IRON_II,62,18,23892
1,145,161,BRONZE_IV,58,17,17004,69,97,IRON_III,32,15,13923,231,207,IRON_I,14,15,13141,169,188,BRONZE_IV,28,14,12456,44,95,IRON_IV,91,11,7927,18,35,BRONZE_IV,1,17,18278,22,41,IRON_I,92,18,18936,14,32,IRON_III,10,15,14127,88,116,IRON_III,13,17,17293,99,80,BRONZE_II,57,18,19328
0,326,279,SILVER_III,54,17,17497,426,425,IRON_I,78,18,20891,85,95,IRON_II,54,16,16432,103,128,IRON_III,55,15,14125,31,23,IRON_II,58,14,11823,18,35,BRONZE_IV,1,15,14584,22,41,IRON_I,92,16,15263,136,141,IRON_I,57,17,17460,289,324,IRON_III,40,16,15844,122,107,IRON_I,50,16,15682
0,50,63,BRONZE_IV,3,14,11758,267,285,BRONZE_III,23,12,9784,51,58,IRON_I,38,14,12703,341,372,BRONZE_IV,56,13,11004,331,354,IRON_I,0,12,9765,24,26,BRONZE_IV,0,12,9498,22,41,IRON_I,92,11,8458,190,185,BRONZE_IV,1,12,9158,51,61,IRON_I,22,13,10739,18,35,BRONZE_IV,1,12,8672
1,203,189,SILVER_II,36,17,17248,82,101,BRONZE_IV,27,16,14994,239,231,BRONZE_II,62,16,16219,239,231,BRONZE_II,62,15,14449,48,56,BRONZE_IV,54,13,11235,53,47,GOLD_II,4,18,21653,22,41,IRON_I,92,16,14754,14,15,BRONZE_I,100,18,21093,14,15,BRONZE_I,100,12,9688,18,35,BRONZE_IV,1,15,14371
1,202,210,BRONZE_II,28,13,10871,352,343,BRONZE_I,20,11,7772,99,71,BRONZE_I,100,12,9550,204,230,BRONZE_IV,13,8,4251,211,207,SILVER_IV,42,8,4873,32,33,BRONZE_II,70,14,11571,633,597,BRONZE_I,89,11,7837,8,9,IRON_I,100,12,8933,39,31,SILVER_II,57,11,7669,181,174,BRONZE_IV,60,11,8305
0,193,147,SILVER_I,0,17,17664,41,35,SILVER_IV,1,16,16028,146,144,SILVER_IV,85,15,13721,760,690,SILVER_IV,25,15,13602,88,94,BRONZE_II,15,13,11325,32,33,BRONZE_II,70,13,11303,108,112,BRONZE_III,19,12,9682,8,9,IRON_I,100,13,10652,71,82,BRONZE_II,80,14,12341,81,78,SILVER_III,33,13,10761
0,293,278,SILVER_IV,18,18,22014,60,63,BRONZE_I,100,18,19323,137,112,BRONZE_III,23,17,16699,38,45,BRONZE_II,16,18,19086,15,27,BRONZE_III,70,15,13981,184,198,BRONZE_II,75,16,15764,11,16,BRONZE_III,81,15,13254,8,9,IRON_I,100,15,14556,363,366,SILVER_IV,0,17,17649,16,30,BRONZE_III,40,15,13607
1,44,67,BRONZE_I,0,14,12959,151,144,BRONZE_II,40,12,8594,68,79,BRONZE_III,21,12,8758,38,57,BRONZE_I,64,10,7155,108,118,BRONZE_II,61,10,6325,32,33,BRONZE_II,70,13,11413,7,23,BRONZE_II,0,11,8520,8,9,IRON_I,100,14,11674,335,300,SILVER_IV,25,12,9953,54,58,SILVER_II,2,12,8771
1,54,58,SILVER_II,2,15,14166,54,58,SILVER_II,2,14,12443,163,149,BRONZE_II,32,13,10106,90,89,SILVER_IV,16,13,11204,49,35,BRONZE_IV,84,13,10801,32,33,BRONZE_II,70,17,17236,178,166,SILVER_IV,12,15,14171,8,9,IRON_I,100,15,13946,25,30,BRONZE_III,59,15,13695,45,52,SILVER_IV,3,13,10705
1,9,15,BRONZE_IV,64,14,12050,34,37,BRONZE_II,69,12,9770,247,245,BRONZE_II,38,14,11479,13,17,BRONZE_II,54,13,10574,18,40,BRONZE_IV,7,11,8129,32,33,BRONZE_II,70,16,15792,19,15,BRONZE_I,39,14,12725,8,9,IRON_I,100,14,11645,110,88,BRONZE_III,12,16,14701,71,80,BRONZE_II,22,14,11644
0,175,171,BRONZE_III,37,18,19784,131,135,BRONZE_II,53,18,18762,150,143,SILVER_IV,75,18,19020,207,221,BRONZE_II,0,16,15160,61,65,BRONZE_III,26,16,16386,44,42,BRONZE_II,7,17,18182,70,70,BRONZE_III,13,16,15854,8,9,IRON_I,100,16,14928,248,254,BRONZE_IV,76,17,17981,228,219,BRONZE_I,23,15,13180
0,120,113,IRON_I,29,17,17810,55,73,BRONZE_IV,15,17,17664,58,87,IRON_III,64,15,14176,260,257,BRONZE_I,19,18,20944,72,71,IRON_II,73,16,16297,121,113,BRONZE_III,19,18,19380,527,526,IRON_II,78,18,19856,225,219,BRONZE_IV,75,17,18222,143,145,BRONZE_IV,75,18,18715,207,218,BRONZE_IV,14,16,16417
0,120,113,IRON_I,29,13,10677,147,176,IRON_IV,66,11,8191,521,506,BRONZE_III,31,11,8338,197,313,IRON_IV,27,10,6153,90,175,IRON_III,21,9,5357,134,186,IRON_III,67,12,9100,119,124,BRONZE_IV,19,13,11116,541,541,BRONZE_IV,25,13,10672,342,374,BRONZE_III,0,12,9646,342,374,BRONZE_III,0,12,8983
1,120,113,IRON_I,29,18,21966,153,177,IRON_II,27,17,17410,290,267,BRONZE_II,43,17,16668,263,253,BRONZE_I,12,18,20329,313,302,IRON_I,69,17,18299,87,105,IRON_III,64,18,22017,147,173,IRON_II,43,16,16479,72,110,IRON_IV,71,18,19452,1,11,IRON_II,6,17,16650,24,40,BRONZE_IV,36,17,16844
0,120,113,IRON_I,29,14,12661,23,29,BRONZE_III,13,14,11929,95,103,BRONZE_IV,27,14,11805,410,399,BRONZE_II,47,14,11677,183,191,IRON_III,0,11,8499,15,32,IRON_I,11,16,15280,93,112,BRONZE_IV,48,15,14529,178,173,BRONZE_II,48,16,14713,201,205,BRONZE_I,8,15,13935,182,192,BRONZE_II,15,14,12516
1,120,113,IRON_I,29,18,19581,41,47,SILVER_IV,79,17,16546,150,165,BRONZE_IV,32,16,15790,85,95,BRONZE_IV,15,14,11595,105,139,IRON_IV,87,13,10357,84,95,BRONZE_IV,69,15,14019,384,423,IRON_II,40,14,11514,216,229,BRONZE_III,43,15,14446,191,204,BRONZE_III,34,14,12153,68,83,BRONZE_III,54,13,10003
1,120,113,IRON_I,29,15,13043,93,92,SILVER_III,45,17,16857,125,144,BRONZE_II,0,16,16281,206,222,SILVER_IV,9,12,9448,220,205,SILVER_IV,0,14,11757,99,90,SILVER_IV,7,14,12801,184,210,IRON_III,15,12,9730,44,57,SILVER_IV,19,13,10473,211,242,SILVER_IV,43,14,11517,89,116,BRONZE_III,36,12,9531
1,120,113,IRON_I,29,17,17460,104,108,IRON_III,26,15,13808,1043,1051,BRONZE_IV,14,16,15255,240,258,BRONZE_IV,61,14,12101,13,45,IRON_IV,91,13,11070,151,154,IRON_II,27,15,14239,434,535,IRON_I,18,14,12493,287,306,IRON_II,3,13,11403,85,114,IRON_IV,29,13,10091,52,56,BRONZE_II,17,13,10655
1,70,71,BRONZE_III,51,18,19540,29,41,BRONZE_IV,0,18,19107,27,25,BRONZE_II,62,18,18949,7,9,IRON_I,100,18,18861,48,63,BRONZE_IV,97,18,18550,66,67,BRONZE_I,29,17,17022,11,10,BRONZE_IV,17,15,13739,157,155,BRONZE_II,44,18,20737,280,278,SILVER_IV,3,15,13505,27,32,BRONZE_IV,82,16,15019
0,18,37,BRONZE_IV,11,12,9017,58,66,BRONZE_III,18,12,9608,112,130,BRONZE_IV,90,13,10489,7,9,IRON_I,100,14,11964,9,21,IRON_I,18,10,7288,71,65,BRONZE_IV,0,14,12952,363,335,BRONZE_II,13,14,11887,59,54,BRONZE_II,0,14,12412,13,12,BRONZE_I,2,15,13097,8,12,BRONZE_IV,5,11,8310
1,18,37,BRONZE_IV,11,17,17763,19,14,SILVER_IV,21,16,15053,91,96,IRON_I,9,15,13816,7,9,IRON_I,100,15,14590,18,22,BRONZE_IV,94,12,9364,313,313,BRONZE_III,75,14,12659,38,38,BRONZE_IV,75,12,9790,11,19,IRON_I,57,13,10571,246,254,BRONZE_III,44,13,11390,41,33,BRONZE_III,92,12,8653
0,18,37,BRONZE_IV,11,12,9661,31,32,BRONZE_III,7,13,11233,11,17,IRON_I,80,10,6417,7,9,IRON_I,100,12,9899,27,31,BRONZE_III,16,10,7131,268,257,BRONZE_II,75,12,9738,209,200,GOLD_IV,33,13,11340,144,119,BRONZE_II,59,13,10066,17,24,BRONZE_II,51,12,9832,34,27,BRONZE_III,56,12,8998
0,574,546,SILVER_IV,37,18,21027,18,37,BRONZE_IV,11,18,21521,137,113,SILVER_III,50,18,21136,7,9,IRON_I,100,18,19270,69,77,BRONZE_II,22,17,16811,91,92,BRONZE_II,0,18,19931,21,26,BRONZE_III,18,18,19284,18,15,GOLD_IV,32,18,21017,19,30,BRONZE_IV,0,18,20032,160,139,IRON_I,55,16,16136
1,204,191,BRONZE_III,72,17,18012,18,37,BRONZE_IV,11,17,18110,146,143,SILVER_IV,0,16,16258,7,9,IRON_I,100,17,16811,348,359,BRONZE_III,75,16,15588,69,77,BRONZE_II,22,18,18643,88,55,SILVER_II,27,15,14514,88,71,SILVER_IV,0,15,14401,300,282,BRONZE_I,26,15,14148,1055,1047,BRONZE_II,42,14,11973
0,29,21,BRONZE_II,48,12,9565,18,37,BRONZE_IV,11,11,8060,5,15,IRON_II,61,11,7871,7,9,IRON_I,100,9,6013,121,104,SILVER_IV,14,9,5466,121,124,BRONZE_II,7,13,10331,12,16,IRON_I,100,12,9013,57,58,BRONZE_II,0,12,9440,102,67,SILVER_III,74,11,8399,69,33,GOLD_IV,1,12,9022
0,69,33,GOLD_IV,1,15,13465,7,15,BRONZE_IV,17,16,14905,11,13,BRONZE_II,68,16,16293,15,23,BRONZE_II,0,15,14337,69,66,SILVER_IV,56,14,12486,69,66,SILVER_IV,56,18,19775,69,66,SILVER_IV,56,13,10387,2,8,IRON_I,1,13,11111,5,8,BRONZE_IV,0,12,9887,8,4,BRONZE_II,1,13,10186
0,46,49,BRONZE_II,22,13,11088,17,7,SILVER_IV,0,15,13565,49,38,BRONZE_I,5,15,13391,33,43,BRONZE_IV,30,13,11100,2,10,IRON_II,80,13,10439,11,16,BRONZE_IV,68,14,12647,7,9,BRONZE_IV,52,13,10459,2,8,IRON_I,1,11,8149,18,26,BRONZE_I,18,12,9942,384,475,IRON_III,63,10,7185
