result,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience
1,49,42,DIAMOND_IV,25,13,10977,56,47,DIAMOND_III,14,12,9371,140,105,DIAMOND_II,30,14,11485,351,340,DIAMOND_IV,42,13,10132,116,97,DIAMOND_III,58,12,9504,634,632,DIAMOND_III,63,14,12949,158,159,DIAMOND_III,63,14,12847,43,33,DIAMOND_IV,30,15,14503,328,318,DIAMOND_III,0,14,12139,143,124,DIAMOND_III,48,12,9640
0,699,694,DIAMOND_IV,94,18,19130,293,255,DIAMOND_IV,27,18,18771,115,92,DIAMOND_III,65,18,20686,124,90,DIAMOND_IV,80,17,17657,163,144,DIAMOND_III,41,16,15536,310,289,DIAMOND_IV,65,17,17048,92,69,DIAMOND_IV,1,17,16763,176,140,DIAMOND_IV,53,17,17710,328,318,DIAMOND_III,0,17,16703,128,116,PLATINUM_I,100,15,14493
1,139,116,DIAMOND_III,47,14,12173,259,230,DIAMOND_III,75,13,11326,356,351,PLATINUM_II,30,15,13116,405,369,DIAMOND_II,0,14,11796,290,281,DIAMOND_IV,76,13,10116,364,331,DIAMOND_IV,35,15,14136,275,227,DIAMOND_II,0,16,16154,161,151,DIAMOND_IV,24,16,14885,328,318,DIAMOND_III,0,15,14547,547,539,PLATINUM_I,27,13,10303
0,460,425,DIAMOND_IV,56,15,14350,462,494,PLATINUM_III,39,14,12876,166,151,DIAMOND_III,30,14,11635,455,450,PLATINUM_II,88,13,11192,359,350,DIAMOND_III,20,12,9447,401,408,DIAMOND_III,0,12,9482,923,893,DIAMOND_III,41,11,7862,309,319,DIAMOND_III,8,12,8701,328,318,DIAMOND_III,0,12,9845,264,247,DIAMOND_IV,0,11,8077
0,201,216,DIAMOND_IV,32,17,17572,570,556,DIAMOND_III,24,16,15139,264,247,DIAMOND_IV,0,15,14556,312,251,DIAMOND_I,92,13,11369,630,561,DIAMOND_III,52,12,9183,401,408,DIAMOND_III,0,14,12380,406,377,DIAMOND_IV,0,14,12278,96,77,DIAMOND_III,35,13,10854,328,318,DIAMOND_III,0,15,13770,432,415,DIAMOND_IV,18,13,10305
1,63,48,DIAMOND_IV,71,15,14516,364,366,DIAMOND_III,30,15,13608,83,65,PLATINUM_I,79,15,14408,682,671,DIAMOND_IV,30,14,11630,226,235,PLATINUM_I,57,13,10522,295,270,DIAMOND_II,41,16,14922,133,130,DIAMOND_IV,75,17,17510,143,135,PLATINUM_I,22,14,12423,328,318,DIAMOND_III,0,16,14835,238,236,DIAMOND_IV,17,13,11218
0,14,14,GOLD_II,79,13,10989,56,37,DIAMOND_II,73,12,9678,435,431,PLATINUM_IV,12,11,8505,88,94,PLATINUM_IV,0,12,9811,206,207,PLATINUM_IV,0,13,9982,284,256,PLATINUM_IV,86,10,7289,164,132,DIAMOND_III,7,12,9311,23,18,DIAMOND_III,75,12,9527,85,89,PLATINUM_II,75,10,6729,56,41,GOLD_I,62,9,5367
1,207,192,PLATINUM_IV,0,9,5503,11,10,SILVER_I,13,9,5668,208,196,PLATINUM_III,22,9,5137,207,175,GOLD_II,33,8,4850,229,188,PLATINUM_I,25,8,4281,284,256,PLATINUM_IV,86,11,8318,164,132,DIAMOND_III,7,10,6347,23,18,DIAMOND_III,75,12,8708,85,89,PLATINUM_II,75,9,5984,56,41,GOLD_I,62,8,4760
0,211,179,PLATINUM_IV,1,17,17799,93,67,PLATINUM_III,0,16,14917,83,75,PLATINUM_IV,33,16,16295,48,32,PLATINUM_IV,75,17,17966,403,407,PLATINUM_III,49,15,13138,284,256,PLATINUM_IV,86,16,14759,164,132,DIAMOND_III,7,15,14580,202,189,DIAMOND_IV,52,16,16386,103,107,DIAMOND_IV,78,15,13314,103,107,DIAMOND_IV,78,13,11192
1,403,407,PLATINUM_III,49,14,12972,46,31,PLATINUM_IV,17,16,16047,103,107,DIAMOND_IV,78,16,15253,42,30,SILVER_II,24,13,11265,65,59,GOLD_III,27,13,11391,284,256,PLATINUM_IV,86,18,19347,164,132,DIAMOND_III,7,17,17250,171,166,SILVER_I,23,17,17911,7,9,PLATINUM_IV,39,16,16178,16,27,BRONZE_I,46,14,12482
