result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience
1,145,147,PLATINUM_IV,32,18,19196,69,81,PLATINUM_IV,0,18,19923,210,195,GOLD_IV,8,17,17064,73,70,GOLD_III,0,16,15839,463,473,PLATINUM_IV,22,16,15784,98,90,PLATINUM_IV,55,18,19195,115,111,PLATINUM_IV,97,15,14082,41,36,GOLD_III,52,18,20016,125,100,GOLD_I,66,18,19310,133,121,GOLD_I,79,16,15230
1,116,76,PLATINUM_IV,0,15,14693,92,108,GOLD_III,21,14,12118,29,30,GOLD_I,53,14,12451,76,92,GOLD_II,0,11,8371,375,372,GOLD_IV,91,11,8475,375,372,PLATINUM_IV,0,15,14009,115,111,PLATINUM_IV,97,16,16268,539,505,PLATINUM_II,0,16,15339,468,433,PLATINUM_III,72,14,12245,497,490,PLATINUM_IV,12,13,11253
1,244,245,GOLD_III,14,15,14358,146,146,PLATINUM_III,36,13,10638,229,242,GOLD_IV,60,13,10949,403,382,PLATINUM_II,23,13,11201,274,245,PLATINUM_IV,0,12,9645,874,830,PLATINUM_I,100,15,14588,115,111,PLATINUM_IV,97,15,13266,120,130,PLATINUM_IV,74,16,16358,198,196,PLATINUM_IV,11,15,13945,150,156,GOLD_II,0,14,12000
1,191,197,PLATINUM_IV,12,17,17277,226,227,PLATINUM_IV,13,16,15620,511,502,PLATINUM_IV,89,16,15626,442,438,GOLD_II,75,18,19221,139,143,PLATINUM_IV,0,14,12393,170,161,PLATINUM_IV,30,18,19600,115,111,PLATINUM_IV,97,18,19131,264,293,GOLD_IV,1,17,17140,205,199,PLATINUM_IV,0,16,15906,181,178,PLATINUM_IV,0,17,17490
1,495,476,PLATINUM_IV,47,16,14892,290,278,PLATINUM_II,2,15,14149,658,656,PLATINUM_III,17,16,14926,853,866,GOLD_I,4,15,13391,253,293,GOLD_IV,24,13,10887,735,713,PLATINUM_IV,96,17,16808,115,111,PLATINUM_IV,97,15,13361,253,252,PLATINUM_IV,0,17,17263,167,186,GOLD_III,58,16,15314,236,242,PLATINUM_IV,24,15,13135
1,286,259,GOLD_IV,41,17,17094,120,108,PLATINUM_IV,14,18,20622,334,318,PLATINUM_IV,14,18,22658,66,70,GOLD_I,15,18,20410,253,258,PLATINUM_IV,0,18,19098,801,792,PLATINUM_IV,16,18,25720,115,111,PLATINUM_IV,97,16,15405,404,403,PLATINUM_IV,0,18,18770,321,316,GOLD_III,54,18,22268,263,259,PLATINUM_IV,50,16,16353
0,227,227,PLATINUM_IV,38,16,15129,74,56,PLATINUM_IV,0,16,14928,279,271,PLATINUM_IV,34,16,14950,458,446,PLATINUM_II,44,14,12387,378,380,GOLD_I,32,13,10473,102,107,PLATINUM_III,0,17,16985,390,389,PLATINUM_IV,12,17,17490,38,32,GOLD_I,18,17,16926,147,150,PLATINUM_IV,16,16,15112,125,122,PLATINUM_IV,76,14,12703
0,430,394,DIAMOND_IV,1,15,14595,74,56,PLATINUM_IV,0,15,13470,548,525,PLATINUM_III,22,16,15198,91,90,GOLD_I,8,16,14792,164,157,PLATINUM_IV,43,12,9026,196,158,PLATINUM_III,56,17,16914,145,161,GOLD_II,56,16,15478,800,788,PLATINUM_II,44,17,16883,245,253,PLATINUM_IV,43,15,13606,662,668,PLATINUM_III,49,14,11983
0,435,439,PLATINUM_IV,44,13,10241,74,56,PLATINUM_IV,0,9,5777,141,124,PLATINUM_IV,30,12,9657,69,66,GOLD_I,68,11,7589,137,125,PLATINUM_II,50,10,6559,202,230,PLATINUM_IV,69,14,11820,397,383,PLATINUM_III,3,12,9164,231,213,PLATINUM_II,0,13,10942,418,413,PLATINUM_IV,44,12,9929,129,132,PLATINUM_IV,44,11,8376
1,49,38,GOLD_I,100,15,14285,74,56,PLATINUM_IV,0,17,17036,173,164,PLATINUM_IV,26,17,16687,188,170,PLATINUM_III,0,18,18395,36,36,PLATINUM_IV,1,15,13162,682,652,PLATINUM_IV,24,17,16987,575,567,PLATINUM_IV,0,15,13409,51,47,PLATINUM_IV,16,15,13087,90,96,PLATINUM_IV,75,16,15989,218,226,PLATINUM_IV,1,12,9685
