result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
1,249,238,PLATINUM_II,0,15,13256,31,30,PLATINUM_II,23,16,15205,140,138,PLATINUM_III,59,16,14884,513,472,PLATINUM_I,52,14,12093,76,87,PLATINUM_III,0,13,10846,42,28,PLATINUM_II,92,13,11348,255,248,GOLD_I,0,14,11799,45,38,PLATINUM_II,75,14,12310,132,134,DIAMOND_IV,43,13,10494,70,54,PLATINUM_I,75,11,7951
0,121,113,DIAMOND_IV,27,12,8750,31,30,PLATINUM_II,23,12,8888,905,899,DIAMOND_III,32,12,9240,239,238,PLATINUM_II,53,10,7226,572,576,DIAMOND_IV,27,9,5912,104,90,DIAMOND_IV,21,15,14407,114,128,PLATINUM_IV,0,12,9831,431,406,PLATINUM_II,71,11,8248,139,112,PLATINUM_I,75,13,10911,109,73,DIAMOND_III,0,11,7726
0,249,238,PLATINUM_II,0,15,13486,31,30,PLATINUM_II,23,14,12437,122,110,PLATINUM_III,90,12,9243,130,128,PLATINUM_II,0,12,8721,6,11,PLATINUM_IV,20,13,10055,517,518,DIAMOND_IV,32,16,14732,291,272,PLATINUM_I,56,14,12875,252,249,DIAMOND_III,72,16,15284,559,535,DIAMOND_III,31,13,10674,89,63,DIAMOND_IV,3,13,11308
1,249,238,PLATINUM_II,0,15,13878,31,30,PLATINUM_II,23,14,12555,286,256,DIAMOND_III,0,16,15958,191,192,PLATINUM_II,16,13,11345,504,489,DIAMOND_IV,62,12,9386,335,321,DIAMOND_IV,3,15,13758,357,357,PLATINUM_II,7,12,9128,147,184,PLATINUM_III,7,12,8679,176,152,PLATINUM_I,39,13,9962,604,591,DIAMOND_IV,55,9,6099
0,121,112,DIAMOND_III,44,15,13376,31,30,PLATINUM_II,23,17,17012,47,69,PLATINUM_II,18,16,14933,142,130,DIAMOND_III,77,16,16282,443,433,PLATINUM_II,43,14,12626,403,417,PLATINUM_III,75,17,18072,34,36,PLATINUM_III,75,18,22160,267,276,PLATINUM_I,21,17,17867,251,254,PLATINUM_I,5,18,18822,26,24,PLATINUM_I,59,16,15070
1,207,196,PLATINUM_II,4,15,13309,73,66,PLATINUM_III,33,14,12005,491,517,PLATINUM_III,33,15,13488,101,91,PLATINUM_III,5,14,12285,337,358,PLATINUM_IV,24,13,10150,196,187,PLATINUM_IV,57,16,16355,180,166,PLATINUM_II,3,15,14276,342,353,PLATINUM_IV,19,16,15924,201,199,PLATINUM_II,16,16,15597,274,273,DIAMOND_IV,37,13,11011
1,37,32,GOLD_I,69,15,13799,111,92,PLATINUM_III,51,14,11597,186,186,PLATINUM_III,0,14,12112,49,43,PLATINUM_IV,67,13,11065,63,72,PLATINUM_IV,3,13,10315,74,80,PLATINUM_IV,53,16,15348,180,166,PLATINUM_II,3,15,13831,255,256,PLATINUM_IV,61,15,14622,88,91,PLATINUM_IV,8,15,13283,104,100,PLATINUM_III,62,14,11661
1,485,478,PLATINUM_I,12,14,12065,118,103,PLATINUM_IV,25,13,11189,172,140,PLATINUM_I,95,15,13488,105,126,PLATINUM_IV,59,12,9737,176,162,PLATINUM_IV,75,13,10385,238,242,PLATINUM_IV,55,16,15128,180,166,PLATINUM_II,3,14,11441,122,134,PLATINUM_III,93,14,12408,128,108,PLATINUM_I,73,15,13810,184,183,PLATINUM_IV,58,13,10996
1,86,90,GOLD_II,30,10,6962,7,12,PLATINUM_IV,40,8,4360,269,285,PLATINUM_IV,35,10,6673,71,63,PLATINUM_IV,0,9,5848,71,63,PLATINUM_IV,0,8,4701,238,242,PLATINUM_IV,55,12,8932,180,166,PLATINUM_II,3,12,9334,122,134,PLATINUM_III,93,12,8582,53,32,PLATINUM_I,22,10,6857,126,78,PLATINUM_III,0,10,6161
1,249,265,PLATINUM_III,0,16,14995,94,112,GOLD_I,35,15,14414,197,191,PLATINUM_IV,51,16,14886,223,223,PLATINUM_III,52,15,13411,417,432,PLATINUM_IV,0,13,11336,397,380,PLATINUM_III,75,18,18752,180,166,PLATINUM_II,3,17,17621,236,233,GOLD_I,100,16,14870,532,518,PLATINUM_III,15,16,15181,285,278,PLATINUM_III,12,15,14409
