result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience
0,16,47,IRON_II,37,14,12451,38,60,IRON_II,52,13,10002,14,19,BRONZE_I,75,13,10829,18,26,BRONZE_II,13,15,13694,9,14,BRONZE_IV,56,13,10739,4,6,BRONZE_IV,98,15,13397,46,56,BRONZE_II,42,15,14060,29,28,SILVER_I,41,16,14733,31,16,SILVER_I,49,15,14230,38,42,BRONZE_I,14,13,10963
1,13,8,SILVER_IV,11,14,11874,75,76,SILVER_IV,0,11,7940,14,19,BRONZE_I,75,11,8192,52,52,SILVER_III,0,13,11038,9,14,BRONZE_IV,56,11,8200,14,19,BRONZE_I,75,12,8955,9,10,BRONZE_II,1,13,10373,45,67,BRONZE_IV,46,12,8918,20,17,SILVER_III,42,11,7524,34,43,BRONZE_III,12,10,6645
1,5,6,BRONZE_III,28,14,12927,39,35,SILVER_II,6,14,12615,14,19,BRONZE_I,75,13,10987,334,335,SILVER_IV,0,14,12756,9,14,BRONZE_IV,56,14,12828,20,22,SILVER_IV,36,15,13817,14,26,BRONZE_IV,59,13,11246,19,40,IRON_III,0,11,8292,109,94,SILVER_III,78,13,9991,16,33,BRONZE_III,0,12,9668
0,75,54,BRONZE_II,60,17,18340,97,103,SILVER_IV,3,16,16063,63,47,BRONZE_I,38,15,14361,87,89,SILVER_III,6,17,17216,97,98,BRONZE_I,51,15,14694,204,189,BRONZE_I,68,18,20072,114,130,SILVER_IV,0,18,20874,409,428,SILVER_II,27,18,20518,246,238,SILVER_IV,30,15,14699,174,147,SILVER_IV,0,17,17911
1,75,54,BRONZE_II,60,16,15888,66,73,SILVER_IV,0,15,14456,63,47,BRONZE_I,38,15,13831,18,17,BRONZE_I,20,15,14167,21,27,BRONZE_I,10,15,13411,41,55,BRONZE_III,61,15,13423,165,154,SILVER_IV,59,13,11250,81,82,SILVER_IV,0,15,13477,115,112,SILVER_III,17,15,14221,339,344,SILVER_III,31,13,10095
0,75,54,BRONZE_II,60,13,10773,172,183,SILVER_IV,55,11,8332,63,47,BRONZE_I,38,13,10617,530,540,SILVER_IV,15,10,6504,68,95,BRONZE_IV,26,10,6830,53,64,SILVER_IV,26,12,9722,34,24,BRONZE_II,83,12,8840,253,252,SILVER_III,67,15,13503,257,199,SILVER_III,18,11,8086,36,48,BRONZE_I,1,11,7639
0,20,23,SILVER_II,56,17,17046,135,142,SILVER_III,81,14,12321,63,47,BRONZE_I,38,13,10629,188,186,SILVER_III,78,14,11627,123,121,SILVER_III,78,14,12989,55,45,GOLD_III,82,18,19154,307,322,SILVER_IV,33,15,13694,22,33,SILVER_IV,20,16,15839,168,141,SILVER_II,0,17,16977,23,17,SILVER_III,43,14,12445
0,74,73,SILVER_III,95,14,12982,271,284,SILVER_IV,28,13,10331,63,47,BRONZE_I,38,10,6127,32,51,SILVER_IV,30,13,10511,20,23,SILVER_II,56,12,8752,226,225,SILVER_II,81,15,13233,431,409,SILVER_I,30,14,12788,16,22,SILVER_III,57,10,6832,113,116,SILVER_II,29,12,9282,181,173,GOLD_IV,14,14,11777
1,3,13,BRONZE_I,77,17,18177,53,63,SILVER_II,47,17,17796,63,47,BRONZE_I,38,15,14050,54,57,SILVER_II,82,18,20615,20,23,SILVER_II,56,18,21103,22,26,BRONZE_I,50,16,16374,197,195,SILVER_II,73,16,15392,44,37,GOLD_IV,1,18,18693,136,129,GOLD_IV,2,17,16998,62,63,SILVER_I,66,16,15535
1,550,542,SILVER_III,23,17,16687,61,73,SILVER_II,26,16,14826,63,47,BRONZE_I,38,15,13219,131,141,SILVER_III,82,16,15573,20,23,SILVER_II,56,18,19331,132,112,SILVER_II,2,16,15672,249,248,SILVER_II,88,17,16777,158,153,SILVER_II,68,15,14167,60,71,SILVER_III,71,17,17024,105,125,SILVER_III,16,13,11025
