result,rival_0_wins,rival_0_losses,rival_0_tier,rival_0_league_points,rival_0_champion_level,rival_0_champion_experience,rival_1_wins,rival_1_losses,rival_1_tier,rival_1_league_points,rival_1_champion_level,rival_1_champion_experience,rival_2_wins,rival_2_losses,rival_2_tier,rival_2_league_points,rival_2_champion_level,rival_2_champion_experience,rival_3_wins,rival_3_losses,rival_3_tier,rival_3_league_points,rival_3_champion_level,rival_3_champion_experience,rival_4_wins,rival_4_losses,rival_4_tier,rival_4_league_points,rival_4_champion_level,rival_4_champion_experience,ally_0_wins,ally_0_losses,ally_0_tier,ally_0_league_points,ally_0_champion_level,ally_0_champion_experience,ally_1_wins,ally_1_losses,ally_1_tier,ally_1_league_points,ally_1_champion_level,ally_1_champion_experience,ally_2_wins,ally_2_losses,ally_2_tier,ally_2_league_points,ally_2_champion_level,ally_2_champion_experience,ally_3_wins,ally_3_losses,ally_3_tier,ally_3_league_points,ally_3_champion_level,ally_3_champion_experience,main_player_win,main_player_losses,main_player_tier,main_player_league_points,main_player_champion_level,main_player_champion_experience
0,402,391,GOLD_I,1,16,15358,49,66,GOLD_III,36,15,13261,93,95,GOLD_IV,85,16,15128,126,138,GOLD_IV,20,13,10902,145,171,SILVER_II,47,13,10645,214,206,GOLD_IV,19,17,17193,223,229,SILVER_II,53,16,16204,238,220,GOLD_III,6,15,14638,390,424,GOLD_IV,0,16,16085,216,216,GOLD_III,60,15,14627
1,481,475,GOLD_II,29,17,16733,58,66,SILVER_II,67,16,16087,49,66,GOLD_III,36,16,16343,126,138,GOLD_IV,20,16,14730,325,321,GOLD_IV,53,14,11883,100,91,GOLD_III,59,14,11801,126,133,GOLD_IV,74,15,13080,235,221,GOLD_I,53,15,14010,213,211,GOLD_IV,21,14,12412,61,66,GOLD_III,7,14,11554
1,567,536,GOLD_II,80,15,14195,145,136,GOLD_II,60,16,16062,49,66,GOLD_III,36,17,16527,126,138,GOLD_IV,20,16,15860,385,375,GOLD_IV,29,15,14128,204,212,GOLD_III,34,16,16399,261,279,SILVER_II,27,17,17153,50,46,GOLD_III,13,16,15182,176,167,SILVER_I,87,14,12484,197,194,SILVER_I,16,15,13123
0,292,277,GOLD_III,49,16,15720,122,118,GOLD_IV,68,18,18801,49,66,GOLD_III,36,16,15578,126,138,GOLD_IV,20,16,15862,50,42,GOLD_II,0,14,12040,50,55,SILVER_I,45,18,21147,149,158,GOLD_IV,18,16,16107,41,41,GOLD_IV,24,18,19995,229,227,GOLD_IV,45,18,18718,758,744,GOLD_IV,17,16,14835
0,19,10,SILVER_I,31,12,9472,59,58,GOLD_III,0,14,11533,18,19,SILVER_II,3,14,12799,62,65,GOLD_IV,0,14,11471,90,87,GOLD_IV,12,13,10235,100,122,GOLD_IV,0,15,14684,116,101,GOLD_III,1,14,12830,344,327,GOLD_III,79,15,14695,182,166,GOLD_II,58,14,11550,144,133,GOLD_IV,66,14,12128
1,259,268,SILVER_I,59,17,16878,204,213,GOLD_IV,2,16,16410,272,264,GOLD_II,64,16,16410,62,65,GOLD_IV,0,17,16692,90,87,GOLD_IV,12,15,13900,14,12,SILVER_II,85,17,17296,243,249,SILVER_III,47,15,13397,152,137,GOLD_III,35,15,14078,579,588,GOLD_IV,7,16,16067,210,218,SILVER_III,76,15,13377
0,90,87,GOLD_IV,12,16,16206,54,51,SILVER_III,24,15,14296,8,11,SILVER_I,56,15,14439,62,65,GOLD_IV,0,13,11200,20,18,SILVER_I,72,13,10402,44,36,GOLD_IV,38,18,22253,154,133,GOLD_III,43,18,18734,24,18,SILVER_I,83,16,16227,40,35,GOLD_IV,42,16,16353,33,27,GOLD_IV,1,16,14820
0,90,87,GOLD_IV,12,18,20746,74,63,GOLD_III,45,17,17381,26,25,BRONZE_I,20,17,18222,62,65,GOLD_IV,0,17,18186,18,28,BRONZE_I,85,16,14899,33,27,GOLD_IV,1,18,24276,104,106,GOLD_IV,0,18,20256,171,178,SILVER_IV,34,18,23752,171,178,SILVER_IV,34,17,18297,171,178,SILVER_IV,34,17,18107
0,597,581,GOLD_III,72,12,9704,8,7,SILVER_II,0,13,10308,501,484,PLATINUM_IV,0,11,7758,62,65,GOLD_IV,0,11,7713,40,44,SILVER_I,40,10,6739,98,98,GOLD_II,76,14,11657,107,104,GOLD_II,14,12,9282,74,79,GOLD_III,0,15,13725,154,151,GOLD_II,37,13,10507,41,49,SILVER_I,62,11,7544
1,27,12,GOLD_IV,0,18,26002,16,18,SILVER_II,42,18,25754,8,7,SILVER_II,0,18,21420,62,65,GOLD_IV,0,18,22560,9,10,SILVER_II,73,17,18016,11,15,SILVER_III,0,18,24112,11,15,SILVER_III,0,18,27083,19,18,SILVER_II,22,18,21435,84,71,GOLD_II,64,18,25290,7,8,SILVER_IV,40,18,21276
0,16,15,SILVER_IV,23,14,11747,10,12,BRONZE_I,7,14,11887,62,65,GOLD_IV,0,12,9288,62,65,GOLD_IV,0,13,11422,31,44,BRONZE_II,27,12,9409,35,30,SILVER_II,66,15,13743,25,21,GOLD_IV,7,15,13984,325,336,SILVER_III,5,15,13349,38,45,SILVER_III,63,14,12453,19,10,SILVER_III,57,13,10578
